NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LARP1	26	5.96330451965332	0.018104522	Yes	
row_1	EEF1E1	48	5.450740337371826	0.034920488	Yes	
row_2	WDR43	54	5.387223243713379	0.05306511	Yes	
row_3	EIF2S2	60	5.300622940063477	0.070910275	Yes	
row_4	MAT2A	62	5.25180196762085	0.08897369	Yes	
row_5	MTAP	85	4.789093971252441	0.103404984	Yes	
row_6	NOP2	91	4.713138580322266	0.11921869	Yes	
row_7	HSPA9	100	4.595105171203613	0.13433394	Yes	
row_8	IL2RA	102	4.590158939361572	0.15010947	Yes	
row_9	MRPL17	118	4.477055549621582	0.16413914	Yes	
row_10	SLC7A5	147	4.288360118865967	0.17625834	Yes	
row_11	MYBBP1A	159	4.208714008331299	0.1897472	Yes	
row_12	RABGGTB	164	4.174664497375488	0.20379567	Yes	
row_13	COPS7A	173	4.098850727081299	0.21719493	Yes	
row_14	PCBP1	188	4.006737232208252	0.22969507	Yes	
row_15	REXO2	190	3.9929111003875732	0.24340537	Yes	
row_16	FUBP1	199	3.9419846534729004	0.2562622	Yes	
row_17	BRIX1	222	3.784864664077759	0.26722097	Yes	
row_18	SRM	224	3.7798802852630615	0.28019464	Yes	
row_19	NSUN2	226	3.771775007247925	0.2931403	Yes	
row_20	DIMT1	243	3.689640522003174	0.30435038	Yes	
row_21	CUL3	249	3.661823034286499	0.31652874	Yes	
row_22	HK2	261	3.5615415573120117	0.32777974	Yes	
row_23	EIF5A	271	3.5260114669799805	0.3391014	Yes	
row_24	TUBA4A	291	3.451639413833618	0.34919822	Yes	
row_25	ZRANB2	302	3.4091804027557373	0.36001915	Yes	
row_26	HSPA4	318	3.348585844039917	0.3701467	Yes	
row_27	NOC4L	359	3.213181495666504	0.3773868	Yes	
row_28	NAF1	365	3.2023470401763916	0.38797638	Yes	
row_29	XPOT	389	3.1106975078582764	0.39650717	Yes	
row_30	FARSB	405	3.064000129699707	0.40565065	Yes	
row_31	DIS3	442	2.955152988433838	0.4123856	Yes	
row_32	SLC25A15	447	2.946988821029663	0.42218894	Yes	
row_33	SHMT2	458	2.9282169342041016	0.4313467	Yes	
row_34	POLR1A	471	2.9052910804748535	0.44023168	Yes	
row_35	MRPL19	540	2.7763102054595947	0.44325167	Yes	
row_36	FAM185A	549	2.756757974624634	0.4520101	Yes	
row_37	CAD	560	2.7120721340179443	0.4604205	Yes	
row_38	UTP18	567	2.6956472396850586	0.46916115	Yes	
row_39	SMYD2	608	2.5967161655426025	0.4742696	Yes	
row_40	NOL10	628	2.5458381175994873	0.48123425	Yes	
row_41	DPH5	638	2.5302743911743164	0.48911276	Yes	
row_42	TMEM147	643	2.5165061950683594	0.49742752	Yes	
row_43	MSTO1	658	2.495328903198242	0.5047014	Yes	
row_44	SLC39A10	671	2.4705235958099365	0.51208293	Yes	
row_45	CAND1	748	2.3341903686523438	0.5128	Yes	
row_46	LARP4	777	2.2853972911834717	0.51799315	Yes	
row_47	ZC3HAV1L	804	2.2509303092956543	0.52326065	Yes	
row_48	CD82	820	2.2335546016693115	0.52953255	Yes	
row_49	DNAJC2	835	2.21451997756958	0.5358354	Yes	
row_50	HUWE1	869	2.1705210208892822	0.5401475	Yes	
row_51	RBMXL1	879	2.158264636993408	0.54673964	Yes	
row_52	E2F3	923	2.1021838188171387	0.5498477	Yes	
row_53	KAT2A	928	2.095154285430908	0.5567055	Yes	
row_54	ALDH18A1	932	2.0833988189697266	0.5636194	Yes	
row_55	SUZ12	977	2.0155036449432373	0.56633097	Yes	
row_56	FASN	979	2.0140769481658936	0.5731987	Yes	
row_57	DUSP4	1052	1.9000099897384644	0.5728014	Yes	
row_58	NPEPL1	1062	1.883521556854248	0.5784435	Yes	
row_59	AEN	1078	1.862473726272583	0.58343226	Yes	
row_60	EIF3B	1080	1.85782790184021	0.58975965	Yes	
row_61	ST3GAL4	1086	1.8521028757095337	0.5956802	Yes	
row_62	MYC	1183	1.7480862140655518	0.5924352	Yes	
row_63	YDJC	1204	1.7223981618881226	0.5964557	Yes	
row_64	HSP90B1	1207	1.7213530540466309	0.6022144	Yes	
row_65	UBA5	1243	1.6833840608596802	0.6046485	Yes	
row_66	RARS2	1255	1.6725660562515259	0.6093676	Yes	
row_67	SF3B3	1388	1.553826093673706	0.6019672	Yes	
row_68	B3GALT6	1417	1.524541974067688	0.6045294	Yes	
row_69	IPO9	1419	1.5205460786819458	0.60969055	Yes	
row_70	CALR	1422	1.518169641494751	0.6147467	Yes	
row_71	TUT1	1464	1.4877594709396362	0.6159237	Yes	
row_72	MPP6	1517	1.4411804676055908	0.61587524	Yes	
row_73	STRN3	1528	1.4311004877090454	0.6198561	Yes	
row_74	BDH1	1616	1.362929105758667	0.6161502	Yes	
row_75	RRN3	1664	1.3264187574386597	0.6161887	Yes	
row_76	STT3A	1750	1.2651649713516235	0.61233824	Yes	
row_77	SPATA5	1779	1.2441712617874146	0.61393094	Yes	
row_78	PRPF8	1781	1.2435016632080078	0.6181341	Yes	
row_79	SPRED1	1819	1.2089951038360596	0.61873424	Yes	
row_80	TNF	1857	1.1795778274536133	0.6192327	Yes	
row_81	DCUN1D2	1891	1.1588138341903687	0.62004644	Yes	
row_82	DNAJC21	1945	1.1170262098312378	0.61878026	Yes	
row_83	ABCC1	1949	1.115222692489624	0.6223463	Yes	
row_84	TFDP1	1961	1.1058663129806519	0.6251058	Yes	
row_85	TMEM68	1995	1.082632064819336	0.6256561	Yes	
row_86	ID2	2030	1.0556106567382812	0.6260162	Yes	
row_87	ZDHHC21	2072	1.0257209539413452	0.62559557	No	
row_88	DNAJA2	2181	0.9688131809234619	0.61849463	No	
row_89	YWHAG	2235	0.9311668276786804	0.61658585	No	
row_90	MTRR	2258	0.9207877516746521	0.6176409	No	
row_91	TGFB1	2265	0.914728045463562	0.62022334	No	
row_92	XBP1	2335	0.8786004781723022	0.6165845	No	
row_93	VMA21	2352	0.8715539574623108	0.6180499	No	
row_94	MRI1	2361	0.8667874932289124	0.62027305	No	
row_95	ACOT7	2405	0.8503227233886719	0.61905235	No	
row_96	XPO5	2456	0.8276522159576416	0.6170759	No	
row_97	PIM3	2469	0.8178266882896423	0.61874264	No	
row_98	ARF4	2543	0.7823454737663269	0.6143839	No	
row_99	NUP160	2771	0.6851981282234192	0.5947869	No	
row_100	GZMB	2775	0.6828221678733826	0.59685767	No	
row_101	IVNS1ABP	2807	0.6680338382720947	0.59616786	No	
row_102	ARMCX4	2812	0.6653944253921509	0.59808165	No	
row_103	NUP153	2836	0.6569348573684692	0.5981276	No	
row_104	ODC1	2841	0.6550030708312988	0.6000055	No	
row_105	SETD6	2864	0.6433318257331848	0.6001012	No	
row_106	IL2RB	2894	0.6288431882858276	0.59946936	No	
row_107	KCNQ5	2906	0.6254032850265503	0.6005675	No	
row_108	RNF11	2952	0.6127004623413086	0.5983316	No	
row_109	TEX2	3005	0.5940384268760681	0.5953538	No	
row_110	TPP2	3089	0.5621250867843628	0.5892658	No	
row_111	GFPT1	3132	0.5510845184326172	0.5871072	No	
row_112	DGKH	3282	0.4965296685695648	0.57440567	No	
row_113	SLAMF7	3341	0.47784242033958435	0.5704455	No	
row_114	MFSD2A	3374	0.46827805042266846	0.5689681	No	
row_115	ARCN1	3387	0.46594494581222534	0.56941813	No	
row_116	CNOT7	3557	0.41228121519088745	0.55449	No	
row_117	GABPB1	3558	0.4118445813655853	0.5559141	No	
row_118	TCOF1	3565	0.40854817628860474	0.5567462	No	
row_119	SIAH2	3620	0.3914363980293274	0.55287427	No	
row_120	CHD1	3626	0.3888930380344391	0.5537352	No	
row_121	BLM	3913	0.31381112337112427	0.5271447	No	
row_122	CDC37L1	3993	0.2902902066707611	0.5205038	No	
row_123	BDP1	4011	0.28551316261291504	0.519846	No	
row_124	ORC4	4037	0.2798154354095459	0.5183944	No	
row_125	AHCTF1	4040	0.27842453122138977	0.5191636	No	
row_126	ETV5	4071	0.2700302004814148	0.51719433	No	
row_127	CLPTM1L	4082	0.26807987689971924	0.5171536	No	
row_128	FMNL3	4199	0.24041996896266937	0.5067599	No	
row_129	MAPRE1	4231	0.23191975057125092	0.504562	No	
row_130	SPATA5L1	4286	0.22050347924232483	0.50009906	No	
row_131	HSD17B12	4293	0.2193881720304489	0.50027704	No	
row_132	ZDHHC13	4311	0.2150399535894394	0.49937558	No	
row_133	RCN2	4378	0.19934628903865814	0.4936782	No	
row_134	HSD17B7	4524	0.1628641039133072	0.48021004	No	
row_135	LATS1	4853	0.09616784006357193	0.44880268	No	
row_136	MRPL52	5012	0.067715585231781	0.4337475	No	
row_137	NUCB1	5129	0.045797813683748245	0.4226808	No	
row_138	KCTD13	5232	0.030396098271012306	0.41291556	No	
row_139	RASA2	5258	0.026193803176283836	0.41058695	No	
row_140	OSBP	5316	0.016174962744116783	0.4051271	No	
row_141	SENP6	5322	0.015658967196941376	0.40469742	No	
row_142	UBQLN1	5761	-0.05842795968055725	0.3625151	No	
row_143	PANK3	5906	-0.08138022571802139	0.3488619	No	
row_144	EIF4G3	5994	-0.09581960737705231	0.34077442	No	
row_145	PEX1	6057	-0.10728234797716141	0.33514577	No	
row_146	GEM	6203	-0.13467556238174438	0.3215801	No	
row_147	RANBP2	6237	-0.1425212025642395	0.3188796	No	
row_148	CLCN3	6272	-0.1485242247581482	0.31610307	No	
row_149	RMI2	6374	-0.1712041050195694	0.3069215	No	
row_150	SEC24C	6599	-0.2247539460659027	0.28602266	No	
row_151	TPR	6796	-0.2727878987789154	0.26799944	No	
row_152	MLX	6843	-0.2858212888240814	0.26453644	No	
row_153	KCNK5	7167	-0.37573927640914917	0.23457967	No	
row_154	GOLIM4	7260	-0.40307337045669556	0.2270708	No	
row_155	SQLE	7304	-0.41887137293815613	0.22435819	No	
row_156	PIKFYVE	7308	-0.420629620552063	0.22552237	No	
row_157	TMEM209	7518	-0.4978082776069641	0.20701924	No	
row_158	SEC16A	7540	-0.5078849196434021	0.20674333	No	
row_159	LRP8	7794	-0.6085538268089294	0.18436535	No	
row_160	PAXBP1	7825	-0.6213528513908386	0.18361089	No	
row_161	CDK6	7828	-0.6221491694450378	0.18556868	No	
row_162	LDLR	8215	-0.7963892221450806	0.15097009	No	
row_163	SLC39A6	8287	-0.8341041803359985	0.1469838	No	
row_164	LYPLA2	8375	-0.8888447284698486	0.14163852	No	
row_165	IBTK	8487	-0.9590392112731934	0.13421354	No	
row_166	SEMA4D	9108	-1.4175868034362793	0.07911928	No	
row_167	BMP2K	9135	-1.438145637512207	0.08157627	No	
row_168	ERN1	9177	-1.4952419996261597	0.08277918	No	
row_169	RASGRP1	9220	-1.5449825525283813	0.08405731	No	
row_170	KCNAB2	9354	-1.67844557762146	0.07699107	No	
row_171	PLEKHA3	9455	-1.806201457977295	0.073559925	No	
row_172	CRY1	9644	-2.1066462993621826	0.06265212	No	
row_173	ELMO2	9836	-2.4887378215789795	0.052775234	No	
row_174	NEDD9	10169	-3.515516757965088	0.032804567	No	
