NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	16	6.480844020843506	0.01957224	Yes	
row_1	GNL3	21	6.126562595367432	0.039150707	Yes	
row_2	NDUFAF4	30	5.845912456512451	0.05742766	Yes	
row_3	NIP7	34	5.753580570220947	0.075887375	Yes	
row_4	PPAN	35	5.748079776763916	0.09461935	Yes	
row_5	EEF1E1	48	5.450740337371826	0.11122158	Yes	
row_6	WDR43	54	5.387223243713379	0.12829395	Yes	
row_7	MAT2A	62	5.25180196762085	0.14473152	Yes	
row_8	CHCHD4	72	4.921378135681152	0.15989885	Yes	
row_9	MTAP	85	4.789093971252441	0.1743449	Yes	
row_10	NOP2	91	4.713138580322266	0.18922053	Yes	
row_11	HSPA9	100	4.595105171203613	0.20342132	Yes	
row_12	WDR74	101	4.591402530670166	0.21838391	Yes	
row_13	IL2RA	102	4.590158939361572	0.23334242	Yes	
row_14	MRPL17	118	4.477055549621582	0.2464814	Yes	
row_15	RRP9	130	4.393106460571289	0.2597337	Yes	
row_16	CNBP	134	4.34966516494751	0.2736183	Yes	
row_17	ATAD3A	144	4.294410705566406	0.28674248	Yes	
row_18	BYSL	156	4.244655609130859	0.29951102	Yes	
row_19	PPA1	183	4.027491092681885	0.3101209	Yes	
row_20	GTPBP4	213	3.8796870708465576	0.31995896	Yes	
row_21	PRMT5	218	3.825890064239502	0.33203992	Yes	
row_22	BRIX1	222	3.784864664077759	0.34408394	Yes	
row_23	SRM	224	3.7798802852630615	0.35630518	Yes	
row_24	NSUN2	226	3.771775007247925	0.3685	Yes	
row_25	PDCD1LG2	230	3.756155252456665	0.38045046	Yes	
row_26	PSME3	237	3.7232120037078857	0.39200336	Yes	
row_27	DIMT1	243	3.689640522003174	0.4035436	Yes	
row_28	TUBA4A	291	3.451639413833618	0.41024554	Yes	
row_29	SRSF6	296	3.436363697052002	0.4210571	Yes	
row_30	URB1	325	3.318186044692993	0.42916206	Yes	
row_31	ADSL	351	3.2343363761901855	0.43728393	Yes	
