NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARMC6	467	2.913853883743286	-0.025770875	No	
row_1	ZBED4	731	2.3545665740966797	-0.035604045	No	
row_2	KPNA4	840	2.2067153453826904	-0.031510256	No	
row_3	BEND5	1317	1.6107374429702759	-0.066692986	No	
row_4	RAD17	1669	1.3234262466430664	-0.09174667	No	
row_5	PGPEP1	1969	1.1015084981918335	-0.11325828	No	
row_6	DGCR8	2046	1.0452390909194946	-0.11370695	No	
row_7	TUSC2	2052	1.0406224727630615	-0.10736225	No	
row_8	MED11	2224	0.9437280297279358	-0.11760692	No	
row_9	ARF1	2281	0.9073037505149841	-0.11703813	No	
row_10	DAG1	2489	0.8073855638504028	-0.13163693	No	
row_11	MANF	3162	0.5381234884262085	-0.19269182	No	
row_12	MEX3B	3438	0.4509989023208618	-0.21616341	No	
row_13	FAU	3449	0.44550788402557373	-0.21420248	No	
row_14	FAM3C	3504	0.4280962646007538	-0.21658449	No	
row_15	MYADM	3720	0.36461886763572693	-0.23485617	No	
row_16	STRBP	3735	0.3612666428089142	-0.23383221	No	
row_17	TUBB4B	4136	0.25573819875717163	-0.27059793	No	
row_18	CACNA1D	4145	0.2530631422996521	-0.269707	No	
row_19	FAIM	4496	0.17001906037330627	-0.30222955	No	
row_20	CXCR6	4899	0.08829529583454132	-0.34028572	No	
row_21	LRIG1	5045	0.06197651848196983	-0.35381484	No	
row_22	PNP	5063	0.059339042752981186	-0.35505947	No	
row_23	TRIM59	5251	0.027379512786865234	-0.37285203	No	
row_24	RASA2	5258	0.026193803176283836	-0.37325686	No	
row_25	KRTCAP2	5268	0.02453453280031681	-0.3739609	No	
row_26	OVGP1	5280	0.02262716181576252	-0.3748697	No	
row_27	TMUB1	5420	-0.0038109919987618923	-0.38820365	No	
row_28	AP5B1	5471	-0.011577215977013111	-0.3929331	No	
row_29	GABPB2	5717	-0.04967792332172394	-0.41615364	No	
row_30	ZBTB8A	5784	-0.06197841465473175	-0.42209026	No	
row_31	SMAD1	5853	-0.07189592719078064	-0.42815402	No	
row_32	SH3BP5L	6076	-0.1106809675693512	-0.448764	No	
row_33	STK40	6080	-0.11160016059875488	-0.44832033	No	
row_34	SART1	6142	-0.12290751188993454	-0.45337677	No	
row_35	ARPC5	6290	-0.15272662043571472	-0.4665029	No	
row_36	ITPKC	6348	-0.16491426527500153	-0.4708994	No	
row_37	YEATS4	6380	-0.1720205843448639	-0.47275048	No	
row_38	NSMCE4A	6430	-0.1846500039100647	-0.47624868	No	
row_39	SSBP2	6432	-0.1851561814546585	-0.47513038	No	
row_40	PBX2	6447	-0.18822014331817627	-0.4752414	No	
row_41	HMGCS1	6467	-0.19298723340034485	-0.47580168	No	
