NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNO1	31	5.830062389373779	0.01825882	Yes	
row_1	NIP7	34	5.753580570220947	0.039038084	Yes	
row_2	GRWD1	49	5.446915626525879	0.057541225	Yes	
row_3	CHST2	86	4.780314922332764	0.071490996	Yes	
row_4	GCSH	105	4.552402019500732	0.08634745	Yes	
row_5	SHMT1	115	4.489349365234375	0.10184281	Yes	
row_6	MRPL17	118	4.477055549621582	0.11796903	Yes	
row_7	MAGOHB	121	4.447060585021973	0.1339859	Yes	
row_8	MRPS7	150	4.276183605194092	0.14687027	Yes	
row_9	EIF3G	151	4.25984525680542	0.16239779	Yes	
row_10	FUBP1	199	3.9419846534729004	0.17223	Yes	
row_11	DCTD	200	3.9393889904022217	0.18658942	Yes	
row_12	MRPS25	223	3.7808709144592285	0.19824749	Yes	
row_13	FASTKD3	229	3.7586262226104736	0.21146539	Yes	
row_14	TXN2	232	3.7528345584869385	0.22495176	Yes	
row_15	CCT8	276	3.504429817199707	0.23357514	Yes	
row_16	MARCKS	282	3.475938320159912	0.24576262	Yes	
row_17	PRDX3	287	3.4644837379455566	0.25800487	Yes	
row_18	G3BP1	295	3.441646099090576	0.2698743	Yes	
row_19	TRMT6	316	3.3524951934814453	0.28016394	Yes	
row_20	PSMD7	328	3.3062021732330322	0.29115358	Yes	
row_21	WDR75	334	3.293093204498291	0.30267456	Yes	
row_22	NIFK	345	3.253063917160034	0.313567	Yes	
row_23	WDR36	350	3.2375288009643555	0.324982	Yes	
row_24	NOC4L	359	3.213181495666504	0.33592212	Yes	
row_25	NAF1	365	3.2023470401763916	0.34711236	Yes	
row_26	UTP15	366	3.2008845806121826	0.35877985	Yes	
row_27	EIF1AX	404	3.0654656887054443	0.36638233	Yes	
row_28	PSMB6	407	3.059798002243042	0.37734252	Yes	
row_29	SHMT2	458	2.9282169342041016	0.38318986	Yes	
row_30	HSP90AA1	459	2.9273252487182617	0.39386022	Yes	
row_31	PES1	477	2.893566370010376	0.40276662	Yes	
row_32	MRPL38	482	2.8814990520477295	0.41288382	Yes	
row_33	ELAC2	498	2.8412015438079834	0.4217924	Yes	
row_34	EIF2B3	551	2.750967025756836	0.4268006	Yes	
row_35	RPL10	569	2.6917612552642822	0.4349714	Yes	
row_36	NAA20	591	2.6348087787628174	0.44254848	Yes	
row_37	TRMT1	602	2.619614839553833	0.45113194	Yes	
row_38	NDUFA12	603	2.6164188385009766	0.46066904	Yes	
row_39	SMYD2	608	2.5967161655426025	0.4697482	Yes	
row_40	NAT10	637	2.530890464782715	0.47627082	Yes	
row_41	NSFL1C	644	2.516216993331909	0.4848635	Yes	
row_42	TIMM23	683	2.447999954223633	0.4901187	Yes	
row_43	NOMO1	694	2.436039686203003	0.49803305	Yes	
row_44	POLR2D	720	2.3721086978912354	0.5042665	Yes	
row_45	MRPL49	730	2.3551836013793945	0.5119826	Yes	
row_46	PPIE	736	2.3520004749298096	0.52007324	Yes	
row_47	METAP2	750	2.3296051025390625	0.52731	Yes	
row_48	NUP43	788	2.2719192504882812	0.5320199	Yes	
row_49	AHSA1	801	2.256523370742798	0.5390869	Yes	
row_50	TNPO1	802	2.2548632621765137	0.54730606	Yes	
row_51	BCAT1	845	2.1989550590515137	0.5512674	Yes	
row_52	QTRT1	848	2.1976094245910645	0.55908483	Yes	
row_53	ZC3H8	855	2.1904492378234863	0.56649005	Yes	
row_54	SNRPD1	861	2.183228015899658	0.5739655	Yes	
row_55	SNRPA1	878	2.158540725708008	0.5802891	Yes	
row_56	ERH	885	2.1491353511810303	0.5875438	Yes	
row_57	POLR3E	902	2.1195411682128906	0.5937253	Yes	
row_58	PHF5A	940	2.072814464569092	0.5977095	Yes	
row_59	CCNH	945	2.0689280033111572	0.6048648	Yes	
row_60	HAT1	946	2.06778621673584	0.6124021	Yes	
row_61	AARSD1	991	2.002941370010376	0.61545587	Yes	
row_62	PPM1G	1008	1.9743667840957642	0.6211082	Yes	
row_63	TMEM97	1015	1.9650577306747437	0.62769186	Yes	
row_64	XRCC5	1030	1.941595435142517	0.6334178	Yes	
row_65	DNAJA3	1048	1.9157612323760986	0.63876	Yes	
row_66	SLC3A2	1073	1.8656079769134521	0.6432437	Yes	
row_67	EMC4	1074	1.8649405241012573	0.6500416	Yes	
row_68	PPWD1	1098	1.8353651762008667	0.6545116	Yes	
row_69	VDAC1	1117	1.8182207345962524	0.6594017	Yes	
row_70	HNRNPDL	1130	1.8036130666732788	0.6648177	Yes	
row_71	RBM26	1165	1.7636770009994507	0.66796464	Yes	
row_72	TYW3	1170	1.7553842067718506	0.6739771	Yes	
row_73	HUS1	1173	1.7532744407653809	0.6801748	Yes	
row_74	MRPS31	1244	1.6825647354125977	0.6795512	Yes	
row_75	RARS2	1255	1.6725660562515259	0.6846826	Yes	
row_76	EIF4G1	1271	1.6568982601165771	0.68927425	Yes	
row_77	UBAP2L	1309	1.6171033382415771	0.69159734	Yes	
row_78	RRP8	1348	1.587504506111145	0.69371593	Yes	
row_79	RPL28	1501	1.4542310237884521	0.68434495	Yes	
row_80	MRPL46	1550	1.4105043411254883	0.68485314	Yes	
row_81	TMEM11	1575	1.393959879875183	0.68761766	Yes	
row_82	NEFH	1582	1.3856545686721802	0.6920893	Yes	
row_83	TACC2	1686	1.310718297958374	0.68692493	Yes	
row_84	PPP1R7	1700	1.3014007806777954	0.69041383	Yes	
row_85	KLHDC4	1708	1.292911171913147	0.6944509	Yes	
row_86	GRSF1	1766	1.2521402835845947	0.69351315	Yes	
row_87	PSMD3	1782	1.2432020902633667	0.69659686	Yes	
row_88	PDHX	1791	1.2331703901290894	0.7003197	Yes	
row_89	THOC3	1807	1.21453058719635	0.70329887	Yes	
row_90	ERLIN1	1850	1.183139681816101	0.7035575	Yes	
row_91	UTP3	2007	1.0739473104476929	0.6924142	Yes	
row_92	PSMC4	2053	1.0395331382751465	0.6918598	Yes	
row_93	SLC31A1	2087	1.0171034336090088	0.69238186	Yes	
row_94	THAP7	2095	1.011544942855835	0.6953934	Yes	
row_95	CLASP1	2098	1.0101269483566284	0.69888234	Yes	
row_96	AKAP1	2214	0.9472447037696838	0.6912347	Yes	
row_97	SREK1IP1	2215	0.9464656114578247	0.6946847	Yes	
row_98	DYNLL2	2222	0.9448121786117554	0.69754946	Yes	
row_99	TADA2A	2262	0.9173595309257507	0.69712883	Yes	
row_100	EFTUD2	2325	0.8833879828453064	0.6943643	Yes	
row_101	MRPL23	2338	0.8772006630897522	0.6964035	Yes	
row_102	POLR2C	2342	0.8762421607971191	0.69930786	Yes	
row_103	ALDOA	2350	0.872502326965332	0.70181257	Yes	
row_104	RBM28	2356	0.8696156740188599	0.7044998	Yes	
row_105	BAG2	2394	0.8555256724357605	0.7040468	No	
row_106	PREP	2439	0.8360342383384705	0.7028471	No	
row_107	CRLS1	2617	0.7529894113540649	0.6885069	No	
row_108	RBM34	2640	0.7406147718429565	0.6890829	No	
row_109	SND1	2718	0.7087672352790833	0.684234	No	
row_110	DHX38	2732	0.7006983160972595	0.6855333	No	
row_111	INTS3	2840	0.6557248830795288	0.6775953	No	
row_112	GFPT1	3132	0.5510845184326172	0.65151525	No	
row_113	RFC2	3224	0.5177375078201294	0.6446187	No	
row_114	NUP188	3307	0.4890182614326477	0.63848615	No	
row_115	MFSD2A	3374	0.46827805042266846	0.6338224	No	
row_116	NUDT1	3397	0.46193361282348633	0.6333826	No	
row_117	TPST1	3404	0.459107369184494	0.63447696	No	
row_118	CTNNAL1	3408	0.45855027437210083	0.63585883	No	
row_119	MCPH1	3524	0.42151176929473877	0.6262949	No	
row_120	CEP83	3650	0.3830057978630066	0.6156254	No	
row_121	SLC12A2	3754	0.35549870133399963	0.6069791	No	
row_122	CCR7	3768	0.35251256823539734	0.60700923	No	
row_123	CD81	3953	0.3018966317176819	0.590349	No	
row_124	LIF	4205	0.239633709192276	0.5669947	No	
row_125	HSD17B12	4293	0.2193881720304489	0.55939674	No	
row_126	DYNLT3	4416	0.18819834291934967	0.54830664	No	
row_127	MDC1	4490	0.17117007076740265	0.54188424	No	
row_128	ST7	4597	0.14467665553092957	0.53217995	No	
row_129	SPATA24	4675	0.1291109025478363	0.5252181	No	
row_130	TYSND1	4784	0.10861058533191681	0.51518935	No	
row_131	YBX1	4808	0.10439805686473846	0.5133498	No	
row_132	NEK6	4862	0.09420933574438095	0.50857735	No	
row_133	NETO2	4863	0.09419719129800797	0.5089207	No	
row_134	GUF1	4871	0.09310317039489746	0.50858444	No	
row_135	PFKP	5184	0.037796132266521454	0.47860634	No	
row_136	ALKBH5	5462	-0.00985126756131649	0.4519048	No	
row_137	CDC20	5494	-0.014125377871096134	0.44896403	No	
row_138	NAA38	6711	-0.25193238258361816	0.33250782	No	
row_139	TMEM209	7518	-0.4978082776069641	0.25652316	No	
row_140	WIPI2	7684	-0.565713107585907	0.24265859	No	
row_141	MORN4	7740	-0.5882540941238403	0.23949395	No	
row_142	DNAJC27	7970	-0.6814153790473938	0.21987352	No	
row_143	TMEM184B	8125	-0.7497021555900574	0.2077414	No	
row_144	NT5DC3	8171	-0.7724617123603821	0.20621344	No	
row_145	GCNT1	8710	-1.0951194763183594	0.15827475	No	
row_146	FRMD4B	9014	-1.3271347284317017	0.13386518	No	
row_147	MTSS1	9067	-1.376533031463623	0.13386346	No	
row_148	OXSR1	9103	-1.4081965684890747	0.13561808	No	
