NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN11	740	2.347698926925659	-0.060069952	No	
row_1	NCF4	778	2.284764289855957	-0.052555412	No	
row_2	ICE1	827	2.223982810974121	-0.046398126	No	
row_3	TSPAN13	935	2.0795300006866455	-0.04663958	No	
row_4	USP25	1451	1.4939078092575073	-0.08912425	No	
row_5	TBRG1	1868	1.170906662940979	-0.1236158	No	
row_6	PDLIM5	2105	1.0053950548171997	-0.14152767	No	
row_7	UBXN7	2703	0.7146660089492798	-0.19571277	No	
row_8	PHF21A	2882	0.6350165009498596	-0.20982088	No	
row_9	RNF138	3181	0.5335244536399841	-0.23601012	No	
row_10	PLEKHA1	3194	0.5272725820541382	-0.23461019	No	
row_11	GIMAP5	3443	0.44809818267822266	-0.2563854	No	
row_12	DMXL1	3503	0.42862212657928467	-0.2600031	No	
row_13	ERMP1	3605	0.39724278450012207	-0.26782903	No	
row_14	LEMD3	3721	0.3643915057182312	-0.27716646	No	
row_15	SMG1	3825	0.3362318277359009	-0.28548163	No	
row_16	HMBOX1	4135	0.2558300793170929	-0.31408077	No	
row_17	PJA2	4139	0.254894495010376	-0.3131335	No	
row_18	CMC1	4202	0.2400296926498413	-0.31795612	No	
row_19	B2M	4265	0.22289039194583893	-0.3228619	No	
row_20	SYNPO	4308	0.21526038646697998	-0.3258733	No	
row_21	USP8	4341	0.20936667919158936	-0.32794756	No	
row_22	RGP1	4390	0.19632621109485626	-0.33163026	No	
row_23	XRN2	4602	0.1440909504890442	-0.35130763	No	
row_24	PHIP	4710	0.12289012223482132	-0.3610444	No	
row_25	VPS26B	4814	0.10406249016523361	-0.3704863	No	
row_26	PARP11	4858	0.09533720463514328	-0.37417623	No	
row_27	DYNLRB1	4882	0.09145252406597137	-0.37595356	No	
row_28	KRCC1	4980	0.07329541444778442	-0.38496533	No	
row_29	TMEM62	5131	0.0456271693110466	-0.39922968	No	
row_30	MBNL1	5171	0.040003933012485504	-0.4028018	No	
row_31	TRIM59	5251	0.027379512786865234	-0.4102981	No	
row_32	BRWD3	5350	0.009533699601888657	-0.41971588	No	
row_33	VPS41	5403	-7.209969917312264E-4	-0.42473412	No	
row_34	INSIG2	5416	-0.0028439939487725496	-0.42587918	No	
row_35	SERTAD3	5581	-0.027985896915197372	-0.4415811	No	
row_36	ERGIC3	5693	-0.04549747332930565	-0.45207977	No	
row_37	NSMCE2	5731	-0.05239979177713394	-0.45539865	No	
row_38	SLCO3A1	5756	-0.05781795457005501	-0.4574358	No	
row_39	PPP2R5E	5849	-0.07115943729877472	-0.46597505	No	
row_40	EIF3H	5982	-0.09359408915042877	-0.47826833	No	
row_41	SYNRG	6056	-0.10710582137107849	-0.48479828	No	
row_42	RFX3	6181	-0.12996524572372437	-0.49614245	No	
row_43	BPTF	6322	-0.1591607928276062	-0.5088901	No	
row_44	ZBTB1	6394	-0.17756924033164978	-0.51488495	No	
row_45	UBR2	6397	-0.17820033431053162	-0.5142133	No	
row_46	FBXO4	6434	-0.1854756772518158	-0.51678985	No	
row_47	NAT2	6435	-0.18553656339645386	-0.51588947	No	
row_48	GPR174	6458	-0.19024068117141724	-0.5170908	No	
row_49	TTF1	6469	-0.19313623011112213	-0.5171192	No	
row_50	ZFAND3	6615	-0.22728438675403595	-0.53001916	No	
row_51	HELZ	6680	-0.24460382759571075	-0.5350127	No	
row_52	CHD8	6753	-0.2619738280773163	-0.54069453	No	
row_53	BTD	6932	-0.3092099726200104	-0.5563837	No	
row_54	XPR1	6956	-0.31594786047935486	-0.5570716	No	
row_55	CFLAR	7021	-0.3355939984321594	-0.56162363	No	
row_56	AKT3	7025	-0.33596229553222656	-0.56028295	No	
row_57	CWC15	7137	-0.36785784363746643	-0.56921726	No	
row_58	SPACA1	7175	-0.378684401512146	-0.5709527	No	
row_59	CDC42	7219	-0.39013412594795227	-0.573212	No	
row_60	CYB5R4	7248	-0.3984370231628418	-0.5739824	No	
row_61	CCDC18	7290	-0.4135501980781555	-0.57593495	No	
row_62	ZFC3H1	7326	-0.4265187680721283	-0.5772451	No	
row_63	MYLPF	7375	-0.44390520453453064	-0.57972634	No	
row_64	CRYZL1	7392	-0.4479118585586548	-0.57909787	No	
row_65	ZCCHC7	7407	-0.454651802778244	-0.5782435	No	
row_66	UBASH3B	7427	-0.46063750982284546	-0.5778429	No	
row_67	USP28	7431	-0.4618493318557739	-0.5758913	No	
row_68	FAM120B	7439	-0.46449244022369385	-0.5743132	No	
row_69	FCHSD2	7452	-0.4693569540977478	-0.5731943	No	
row_70	GNPDA2	7558	-0.513602077960968	-0.5808419	No	
row_71	NCAPD2	7597	-0.5275804400444031	-0.5819513	No	
row_72	PTGER2	7642	-0.5480719804763794	-0.5835408	No	
row_73	NMB	7659	-0.5540027022361755	-0.5823974	No	
row_74	SLC35B3	7859	-0.6361356377601624	-0.5985281	No	
row_75	CIR1	7897	-0.6532487869262695	-0.5989311	No	
row_76	PARP3	7906	-0.6554837822914124	-0.5965227	No	
row_77	ZXDC	8001	-0.6928707361221313	-0.602238	No	
row_78	DDT	8006	-0.6950480937957764	-0.59925133	No	
row_79	FBXO25	8010	-0.6965882778167725	-0.59616053	No	
row_80	TLN1	8080	-0.7290888428688049	-0.59928584	No	
row_81	ERLEC1	8167	-0.7694961428642273	-0.60385674	No	
row_82	HDAC8	8249	-0.8177525997161865	-0.60771054	Yes	
row_83	HACE1	8257	-0.8229974508285522	-0.60439265	Yes	
row_84	CLINT1	8272	-0.828393280506134	-0.60172457	Yes	
row_85	TNIK	8301	-0.8392533659934998	-0.6003558	Yes	
row_86	LDLRAP1	8358	-0.8759050965309143	-0.60151315	Yes	
row_87	SCAPER	8394	-0.9093614816665649	-0.6004801	Yes	
row_88	CHD9	8441	-0.9368568062782288	-0.60037595	Yes	
row_89	MOB1A	8469	-0.9525743126869202	-0.59836066	Yes	
row_90	ATP6V1G3	8470	-0.9529469013214111	-0.5937361	Yes	
row_91	PAPSS1	8483	-0.9568641185760498	-0.59025145	Yes	
row_92	GOLM1	8521	-0.980278730392456	-0.5890674	Yes	
row_93	UVRAG	8533	-0.9873387813568115	-0.58533823	Yes	
row_94	PDE3B	8558	-1.0068836212158203	-0.5827697	Yes	
row_95	PRKCH	8661	-1.0647869110107422	-0.5874527	Yes	
row_96	FBXL3	8673	-1.072602391242981	-0.58330977	Yes	
row_97	IFT140	8715	-1.0981591939926147	-0.58194	Yes	
row_98	PDCD6IP	8722	-1.1002886295318604	-0.57717985	Yes	
row_99	MBNL2	8736	-1.1091755628585815	-0.5730526	Yes	
row_100	TBC1D8B	8835	-1.1863757371902466	-0.5767593	Yes	
row_101	RNF103	8877	-1.2184782028198242	-0.57480556	Yes	
row_102	PTPRE	8880	-1.2204941511154175	-0.5690758	Yes	
