NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	16	6.480844020843506	0.026574975	Yes	
row_1	GRWD1	49	5.446915626525879	0.047114465	Yes	
row_2	WDR43	54	5.387223243713379	0.07010521	Yes	
row_3	NOP2	91	4.713138580322266	0.08707328	Yes	
row_4	WDR74	101	4.591402530670166	0.10612658	Yes	
row_5	CINP	106	4.547486305236816	0.12547328	Yes	
row_6	DKC1	112	4.5052490234375	0.14453988	Yes	
row_7	MAGOHB	121	4.447060585021973	0.16306359	Yes	
row_8	MRPS18B	145	4.292644023895264	0.17946526	Yes	
row_9	SLC7A5	147	4.288360118865967	0.19797787	Yes	
row_10	PPAT	176	4.081175804138184	0.2129779	Yes	
row_11	ECE2	214	3.878424644470215	0.22622693	Yes	
row_12	TIMM9	216	3.8439483642578125	0.242811	Yes	
row_13	RCC2	240	3.7022666931152344	0.25665072	Yes	
row_14	WDR4	246	3.6724400520324707	0.27210334	Yes	
row_15	SYNCRIP	264	3.5561676025390625	0.28588986	Yes	
row_16	MPHOSPH10	269	3.5360121726989746	0.30084723	Yes	
row_17	UMPS	285	3.4682865142822266	0.31444597	Yes	
row_18	RGS16	299	3.419492483139038	0.32802656	Yes	
row_19	MTFP1	323	3.328913927078247	0.3402461	Yes	
row_20	URB1	325	3.318186044692993	0.35454863	Yes	
row_21	PRPS1	341	3.2786359786987305	0.36732438	Yes	
row_22	THYN1	346	3.2529804706573486	0.38105354	Yes	
row_23	EXOSC2	368	3.179539918899536	0.39281848	Yes	
row_24	FAM111A	423	3.010160446166992	0.40065414	Yes	
row_25	ALG3	448	2.944918394088745	0.41111055	Yes	
row_26	BRCC3	488	2.857121706008911	0.41973403	Yes	
row_27	GEMIN4	504	2.829960823059082	0.43056273	Yes	
row_28	ATIC	530	2.7891526222229004	0.4402464	Yes	
row_29	NAT10	637	2.530890464782715	0.44096884	Yes	
row_30	TIMM10	729	2.355945110321045	0.44238406	Yes	
row_31	CMSS1	743	2.3404786586761475	0.45128226	Yes	
row_32	PPP5C	747	2.3349246978759766	0.4611243	Yes	
row_33	METAP2	750	2.3296051025390625	0.47104007	Yes	
row_34	UBFD1	762	2.3069217205047607	0.47998622	Yes	
row_35	CDK7	765	2.3018853664398193	0.4897817	Yes	
row_36	COPS5	775	2.2900633811950684	0.4988483	Yes	
row_37	PIM2	829	2.222820520401001	0.5033641	Yes	
row_38	ILF2	867	2.1771883964538574	0.50923055	Yes	
row_39	TMEM39A	900	2.124612808227539	0.51535285	Yes	
row_40	POLR3E	902	2.1195411682128906	0.5244538	Yes	
row_41	E2F3	923	2.1021838188171387	0.53164035	Yes	
row_42	TARDBP	959	2.04406476020813	0.5371228	Yes	
row_43	BZW2	973	2.0240466594696045	0.5446478	Yes	
row_44	DDX20	998	1.9915823936462402	0.55096716	Yes	
row_45	TMEM97	1015	1.9650577306747437	0.55794585	Yes	
row_46	STK39	1069	1.8710426092147827	0.5609351	Yes	
row_47	TSPAN4	1119	1.8164299726486206	0.56407446	Yes	
row_48	HELLS	1145	1.7875621318817139	0.56941175	Yes	
row_49	ARMT1	1285	1.6432693004608154	0.56308806	Yes	
row_50	PRKAR2A	1289	1.6382321119308472	0.56990683	Yes	
row_51	CDC25A	1333	1.5965558290481567	0.57267284	Yes	
row_52	NUBPL	1457	1.49113929271698	0.5672378	Yes	
row_53	TMEM201	1488	1.462105631828308	0.5706787	Yes	
row_54	MEMO1	1525	1.432368516921997	0.57340986	Yes	
row_55	POLE3	1570	1.3974171876907349	0.5752149	Yes	
row_56	APOO	1589	1.3795971870422363	0.57945937	Yes	
row_57	CETN3	1659	1.3280514478683472	0.57854354	Yes	
row_58	PATL1	1714	1.2903850078582764	0.5789162	Yes	
row_59	XRCC3	1723	1.2845772504806519	0.5837163	Yes	
row_60	GOT1	1784	1.2413311004638672	0.5832953	Yes	
row_61	SPRED1	1819	1.2089951038360596	0.5852507	Yes	
row_62	ZWINT	1846	1.185945749282837	0.5878804	Yes	
row_63	OSGIN2	1851	1.1819243431091309	0.5926222	Yes	
row_64	UHRF1BP1	1929	1.1288411617279053	0.5900675	Yes	
row_65	RPP40	1952	1.1131724119186401	0.5927686	Yes	
row_66	NANP	1968	1.101854681968689	0.5960982	Yes	
row_67	ALYREF	2003	1.0773075819015503	0.59748214	Yes	
row_68	UAP1	2013	1.070966362953186	0.60125846	Yes	
row_69	GSTCD	2015	1.0655473470687866	0.6057856	Yes	
row_70	NOP9	2029	1.0562416315078735	0.60911083	Yes	
row_71	SLC31A1	2087	1.0171034336090088	0.6080072	Yes	
row_72	WDR89	2103	1.0071157217025757	0.6109256	Yes	
row_73	SAE1	2129	0.9927101135253906	0.6128136	Yes	
row_74	CALU	2139	0.9888175129890442	0.6162334	Yes	
row_75	PARP2	2140	0.9885804653167725	0.6205234	Yes	
row_76	NFX1	2170	0.9735136032104492	0.6219409	Yes	
row_77	ABCF2	2269	0.9121872186660767	0.6164133	No	
row_78	DPAGT1	2272	0.9114482402801514	0.62017494	No	
row_79	PLRG1	2372	0.8629045486450195	0.6143367	No	
row_80	HSPA14	2467	0.8183649778366089	0.6087892	No	
row_81	RAD1	2478	0.8132739067077637	0.6113505	No	
row_82	MTHFD2	2555	0.773978054523468	0.6073527	No	
row_83	CDC123	2595	0.7595726847648621	0.6068738	No	
row_84	CRLS1	2617	0.7529894113540649	0.6081087	No	
row_85	SCARB1	2642	0.7405546307563782	0.60899925	No	
row_86	HAUS1	2672	0.7310096025466919	0.6093644	No	
row_87	CDC6	2722	0.7071229219436646	0.6076899	No	
row_88	PCGF6	2756	0.6894799470901489	0.6074877	No	
row_89	TMEM107	2845	0.6536510586738586	0.60180616	No	
row_90	DGCR6	2856	0.6471694707870483	0.6036466	No	
row_91	RBMX2	2910	0.6244816184043884	0.60122633	No	
row_92	SLC29A1	3051	0.5779874920845032	0.5901831	No	
row_93	TYMS	3053	0.5777892470359802	0.5925936	No	
row_94	USP5	3087	0.564733624458313	0.59185	No	
row_95	TBC1D7	3101	0.5595333576202393	0.5930198	No	
row_96	METTL14	3104	0.559180498123169	0.59525275	No	
row_97	PLAA	3191	0.5277828574180603	0.5892186	No	
row_98	HAUS7	3204	0.524098813533783	0.5903314	No	
row_99	MBNL3	3222	0.5185248255729675	0.590936	No	
row_100	CENPJ	3244	0.5119628310203552	0.59112495	No	
row_101	SLC25A1	3245	0.5116952657699585	0.59334546	No	
row_102	PUS3	3276	0.4982883036136627	0.5926039	No	
row_103	TMEM101	3312	0.4881457984447479	0.59133434	No	
row_104	WEE1	3324	0.4831099510192871	0.59236604	No	
row_105	DNA2	3703	0.36946743726730347	0.55738044	No	
row_106	LSM5	3737	0.36042484641075134	0.55575025	No	
row_107	CMTR1	3747	0.35829636454582214	0.5564339	No	
row_108	CKAP2L	3987	0.29222825169563293	0.53456783	No	
row_109	ATAD5	4255	0.22530436515808105	0.50970095	No	
row_110	CDC45	4347	0.20823360979557037	0.5017962	No	
row_111	MCM3	4361	0.2048187106847763	0.50142664	No	
row_112	TM9SF4	4421	0.18695157766342163	0.49652693	No	
row_113	HDAC3	4443	0.18252432346343994	0.4952863	No	
row_114	AGK	4495	0.17007488012313843	0.49108773	No	
row_115	HSD17B7	4524	0.1628641039133072	0.48908418	No	
row_116	CLSPN	4533	0.16028575599193573	0.4890054	No	
row_117	IPP	4561	0.1509585827589035	0.487047	No	
row_118	NBN	4580	0.14777961373329163	0.48594594	No	
row_119	MTBP	4598	0.14454013109207153	0.48492765	No	
row_120	GMPR2	4608	0.1429917812347412	0.484677	No	
row_121	KIF20B	4684	0.12752483785152435	0.4779707	No	
row_122	EME1	4693	0.12611210346221924	0.4777436	No	
row_123	HAUS6	4723	0.11953141540288925	0.4754552	No	
row_124	ELAVL1	4724	0.1191498339176178	0.47597227	No	
row_125	ATAD2	4727	0.11806109547615051	0.476291	No	
row_126	TIMM21	4740	0.11586242914199829	0.47563222	No	
row_127	EIF1AD	4797	0.10569916665554047	0.47067034	No	
row_128	MIS12	4801	0.10524677485227585	0.47083667	No	
row_129	MYBL2	4824	0.10217687487602234	0.46915054	No	
row_130	MBD4	4867	0.09366795420646667	0.4654916	No	
row_131	HNRNPH2	4883	0.09105335921049118	0.46443477	No	
row_132	PLK4	4979	0.07392414659261703	0.45555994	No	
row_133	ZWILCH	4991	0.07106395065784454	0.4548036	No	
row_134	RAD54L	5080	0.05498397722840309	0.4465241	No	
row_135	ARL6	5102	0.05085264891386032	0.44471207	No	
row_136	KPNA1	5114	0.04877806082367897	0.443859	No	
row_137	ANKLE1	5120	0.0475584901869297	0.4435814	No	
row_138	POLR3G	5172	0.03990287706255913	0.43881795	No	
row_139	AURKA	5215	0.03251472860574722	0.43489364	No	
row_140	CRTAP	5315	0.016251934692263603	0.42538133	No	
row_141	HELQ	5339	0.011970789171755314	0.42320698	No	
row_142	CCNA2	5352	0.009331496432423592	0.4220859	No	
row_143	EZH2	5422	-0.00432036817073822	0.41542575	No	
row_144	FMR1	5497	-0.014834550209343433	0.40832722	No	
row_145	CTR9	5502	-0.015349366702139378	0.40800664	No	
row_146	PKM	5722	-0.05028301849961281	0.3870265	No	
row_147	NCAPG	5746	-0.05523451790213585	0.3850399	No	
row_148	CDCA2	5751	-0.05619684234261513	0.38489658	No	
row_149	UBE2C	5907	-0.08143638074398041	0.37024656	No	
row_150	TRIAP1	5980	-0.09341731667518616	0.36368263	No	
row_151	HAUS5	6040	-0.10403581708669662	0.35842314	No	
row_152	E2F8	6049	-0.10585783421993256	0.35810813	No	
row_153	CDC25C	6323	-0.1592627912759781	0.33237395	No	
row_154	ARPC4	6392	-0.17645961046218872	0.32655755	No	
row_155	NEK2	6413	-0.1824924647808075	0.32541355	No	
row_156	DUS2	6476	-0.19492176175117493	0.32025808	No	
row_157	BIRC5	6713	-0.25199952721595764	0.29850778	No	
row_158	BRCA1	6780	-0.2684691250324249	0.29328427	No	
row_159	TOP2A	6863	-0.29128628969192505	0.28661102	No	
row_160	ASF1B	6965	-0.3185229003429413	0.27821684	No	
row_161	CIT	6992	-0.3283645510673523	0.2771251	No	
row_162	MVD	7119	-0.3634156882762909	0.26650584	No	
row_163	MASTL	7276	-0.40741437673568726	0.25317365	No	
row_164	ARHGAP11A	7401	-0.45088672637939453	0.24312755	No	
row_165	ENKD1	7469	-0.47834208607673645	0.23871799	No	
row_166	NUSAP1	7520	-0.49904781579971313	0.23604381	No	
row_167	COMMD10	7588	-0.5245853662490845	0.23183492	No	
row_168	CENPF	7868	-0.6405056715011597	0.20760831	No	
row_169	DEPDC1B	7994	-0.6907128095626831	0.19850616	No	
row_170	MID1IP1	8148	-0.7636829018592834	0.18701038	No	
row_171	NQO1	8250	-0.8179439902305603	0.18078345	No	
row_172	THUMPD2	8605	-1.0309782028198242	0.1509916	No	
row_173	SOCS1	8781	-1.1314507722854614	0.13896224	No	
row_174	ERRFI1	9075	-1.384848713874817	0.116610564	No	
row_175	KIFC1	9087	-1.3937351703643799	0.12159394	No	
row_176	GPSM2	9346	-1.6681851148605347	0.10385967	No	
row_177	CDKN2C	9551	-1.9635486602783203	0.09263412	No	
