NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RREB1	241	3.6934123039245605	-0.005574386	No	
row_1	CDYL2	552	2.7500879764556885	-0.022314537	No	
row_2	PTPN6	1261	1.6649576425552368	-0.082624845	No	
row_3	ZNRF3	1492	1.4590340852737427	-0.097825594	No	
row_4	GGT1	1633	1.3484549522399902	-0.10487637	No	
row_5	TET1	2004	1.0770604610443115	-0.13540459	No	
row_6	SAYSD1	2145	0.9870566725730896	-0.14418395	No	
row_7	SLC29A3	2150	0.9853827953338623	-0.13985655	No	
row_8	LYPD6B	2531	0.7864689230918884	-0.17273901	No	
row_9	DUSP6	2831	0.6576946377754211	-0.1984264	No	
row_10	THEMIS	3059	0.5765212178230286	-0.21755895	No	
row_11	SLC9A6	3161	0.5382868051528931	-0.22472394	No	
row_12	ALG1	3264	0.5035995244979858	-0.23215127	No	
row_13	MAN1A2	3431	0.45269259810447693	-0.24599373	No	
row_14	VOPP1	3689	0.37222179770469666	-0.26899642	No	
row_15	ENC1	3702	0.370060533285141	-0.2683836	No	
row_16	P2RX4	3788	0.3455916941165924	-0.27492732	No	
row_17	PPP1R13B	3861	0.3267434537410736	-0.2803076	No	
row_18	HINFP	3898	0.31725630164146423	-0.2822617	No	
row_19	CDC37L1	3993	0.2902902066707611	-0.28993785	No	
row_20	PCCB	4063	0.27135026454925537	-0.29529378	No	
row_21	MAP3K7	4369	0.20298291742801666	-0.32373467	No	
row_22	ATP8A1	4576	0.1481948047876358	-0.34289083	No	
row_23	CCDC71L	4593	0.14492087066173553	-0.34374058	No	
row_24	TANC1	4600	0.14423494040966034	-0.3436293	No	
row_25	PFKFB2	4694	0.12597133219242096	-0.35199496	No	
row_26	ANKRD23	4765	0.11219412833452225	-0.35820857	No	
row_27	COMMD9	4879	0.0924031063914299	-0.3686634	No	
row_28	FAM120AOS	4981	0.07326292246580124	-0.37805262	No	
row_29	PIP4K2A	5167	0.04054941609501839	-0.3956986	No	
row_30	TMEM170B	5187	0.03767358884215355	-0.3973506	No	
row_31	OVGP1	5280	0.02262716181576252	-0.40611413	No	
row_32	SLC39A14	5305	0.01823180913925171	-0.4083413	No	
row_33	OTUD1	5320	0.015748772770166397	-0.40961602	No	
row_34	RAP2C	5394	7.937800255604088E-4	-0.41665176	No	
