NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_DN	GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_DN	Details ...	155	-0.7472988	-2.8024027	0.0	0.0	0.0	1485	tags=59%, list=14%, signal=67%	
GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN	GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN	Details ...	137	-0.73445594	-2.7213693	0.0	0.0	0.0	1485	tags=55%, list=14%, signal=63%	
GSE7852_TREG_VS_TCONV_DN	GSE7852_TREG_VS_TCONV_DN	Details ...	166	-0.7095179	-2.6863105	0.0	0.0	0.0	1367	tags=48%, list=13%, signal=54%	
GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP	GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP	Details ...	131	-0.70962256	-2.636779	0.0	0.0	0.0	1274	tags=47%, list=12%, signal=52%	
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP	GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP	Details ...	164	-0.70417535	-2.6366618	0.0	0.0	0.0	1497	tags=54%, list=14%, signal=62%	
GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP	GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP	Details ...	177	-0.6941873	-2.6251984	0.0	0.0	0.0	1692	tags=49%, list=16%, signal=58%	
GSE7852_TREG_VS_TCONV_LN_DN	GSE7852_TREG_VS_TCONV_LN_DN	Details ...	147	-0.6957837	-2.6133046	0.0	0.0	0.0	1181	tags=41%, list=11%, signal=46%	
GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP	GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP	Details ...	172	-0.6853437	-2.6063955	0.0	0.0	0.0	1510	tags=49%, list=14%, signal=57%	
GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	Details ...	158	-0.69303507	-2.5994446	0.0	0.0	0.0	1630	tags=52%, list=16%, signal=61%	
GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_DN	GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_DN	Details ...	157	-0.6849687	-2.5915263	0.0	0.0	0.0	1630	tags=57%, list=16%, signal=67%	
GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP	GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP	Details ...	153	-0.68143004	-2.5634112	0.0	0.0	0.0	1512	tags=53%, list=14%, signal=61%	
GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN	GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN	Details ...	160	-0.6875427	-2.559039	0.0	0.0	0.0	1043	tags=41%, list=10%, signal=45%	
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_DN	GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_DN	Details ...	155	-0.6822809	-2.557525	0.0	0.0	0.0	1800	tags=51%, list=17%, signal=61%	
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_DN	GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_DN	Details ...	122	-0.69797516	-2.529904	0.0	0.0	0.0	1473	tags=47%, list=14%, signal=54%	
GSE7460_TCONV_VS_TREG_LN_UP	GSE7460_TCONV_VS_TREG_LN_UP	Details ...	144	-0.68297774	-2.5124893	0.0	0.0	0.0	1024	tags=40%, list=10%, signal=43%	
GSE3920_UNTREATED_VS_IFNG_TREATED_FIBROBLAST_DN	GSE3920_UNTREATED_VS_IFNG_TREATED_FIBROBLAST_DN	Details ...	143	-0.66924834	-2.5044537	0.0	0.0	0.0	1952	tags=56%, list=19%, signal=68%	
GSE30083_SP1_VS_SP3_THYMOCYTE_DN	GSE30083_SP1_VS_SP3_THYMOCYTE_DN	Details ...	126	-0.6878098	-2.4914498	0.0	0.0	0.0	2070	tags=63%, list=20%, signal=78%	
GSE25677_MPL_VS_R848_STIM_BCELL_DN	GSE25677_MPL_VS_R848_STIM_BCELL_DN	Details ...	160	-0.653283	-2.4671376	0.0	0.0	0.0	1722	tags=46%, list=16%, signal=54%	
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	Details ...	104	-0.703279	-2.4632487	0.0	0.0	0.0	2223	tags=56%, list=21%, signal=70%	
