NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_UP	GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_UP	Details ...	162	0.8049354	3.0582376	0.0	0.0	0.0	1416	tags=71%, list=13%, signal=81%	
GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN	GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN	Details ...	166	0.7278794	2.807314	0.0	0.0	0.0	1260	tags=55%, list=12%, signal=62%	
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	Details ...	171	0.7141779	2.7821004	0.0	0.0	0.0	1952	tags=65%, list=19%, signal=78%	
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP	GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP	Details ...	169	0.7127821	2.7237694	0.0	0.0	0.0	1486	tags=59%, list=14%, signal=67%	
GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP	GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP	Details ...	149	0.7044998	2.6879287	0.0	0.0	0.0	2356	tags=70%, list=22%, signal=90%	
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	Details ...	185	0.68808615	2.6852808	0.0	0.0	0.0	2159	tags=56%, list=21%, signal=69%	
GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN	GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN	Details ...	183	0.6875657	2.6707742	0.0	0.0	0.0	1314	tags=52%, list=13%, signal=58%	
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	Details ...	189	0.68463385	2.6693335	0.0	0.0	0.0	2467	tags=63%, list=23%, signal=81%	
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	Details ...	174	0.6856031	2.6567738	0.0	0.0	0.0	1963	tags=56%, list=19%, signal=68%	
GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP	GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP	Details ...	170	0.6811662	2.6532469	0.0	0.0	0.0	1436	tags=48%, list=14%, signal=54%	
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN	Details ...	187	0.676069	2.6454597	0.0	0.0	0.0	2159	tags=53%, list=21%, signal=65%	
GSE369_SOCS3_KO_VS_WT_LIVER_UP	GSE369_SOCS3_KO_VS_WT_LIVER_UP	Details ...	173	0.6959028	2.6410396	0.0	0.0	0.0	2041	tags=66%, list=19%, signal=80%	
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN	Details ...	186	0.67084134	2.6215405	0.0	0.0	0.0	2159	tags=54%, list=21%, signal=66%	
GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_UP	GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_UP	Details ...	166	0.67305964	2.606627	0.0	0.0	0.0	1962	tags=60%, list=19%, signal=72%	
GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_DN	GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_DN	Details ...	173	0.6787663	2.6001816	0.0	0.0	0.0	2447	tags=71%, list=23%, signal=91%	
GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_DN	GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_DN	Details ...	156	0.6835426	2.596625	0.0	0.0	0.0	1589	tags=54%, list=15%, signal=62%	
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN	GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN	Details ...	186	0.6692738	2.5961733	0.0	0.0	0.0	1766	tags=49%, list=17%, signal=58%	
GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN	GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN	Details ...	178	0.66174394	2.5835876	0.0	0.0	0.0	1639	tags=49%, list=16%, signal=57%	
GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_DN	GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_DN	Details ...	171	0.6704292	2.580816	0.0	0.0	0.0	1251	tags=44%, list=12%, signal=50%	
GSE4142_NAIVE_VS_GC_BCELL_DN	GSE4142_NAIVE_VS_GC_BCELL_DN	Details ...	143	0.6807566	2.5628283	0.0	0.0	0.0	1753	tags=52%, list=17%, signal=61%	
GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	Details ...	181	0.6587434	2.5592704	0.0	0.0	0.0	2480	tags=60%, list=24%, signal=77%	
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	Details ...	183	0.65910584	2.558684	0.0	0.0	0.0	2440	tags=62%, list=23%, signal=80%	
