NAME	TITLE	SCORE	
CD86		8.165655	
CHCHD10		7.8598084	
WNT10A		7.8369684	
KLRB1C		7.833756	
RXRA		7.8033924	
UNC93B1		7.5219445	
LTA		7.3781705	
PPID		7.250856	
CISH		7.224389	
SERPINC1		7.2084107	
NPM1		7.2081904	
NKG7		6.694526	
S1PR3		6.6016893	
IRF8		6.5798597	
ENO3		6.5308475	
NOP16		6.486107	
LAP3		6.480844	
SIK1		6.48055	
TBX21		6.2461834	
ENDOD1		6.179735	
NHP2		6.136864	
GNL3		6.1265626	
RPF2		6.088015	
NRN1		6.0676	
WDR77		6.0388227	
B4GALT5		5.9680214	
LARP1		5.9633045	
BID		5.961405	
ATP5G1		5.8625135	
HSPE1		5.861594	
NDUFAF4		5.8459125	
PNO1		5.8300624	
C1QBP		5.8123703	
CD74		5.8071246	
NIP7		5.7535806	
PPAN		5.74808	
NHP2L1		5.7406735	
SWAP70		5.738618	
NFKBID		5.680312	
CAR2		5.637699	
MRPL12		5.616093	
CACYBP		5.6090055	
HSPD1		5.5952888	
IL18		5.543049	
PUS1		5.471493	
TCF4		5.4654627	
PRKCA		5.457051	
CD83		5.4512377	
EEF1E1		5.4507403	
GRWD1		5.4469156	
BCL2L11		5.4120917	
BCL2L1		5.4055476	
PTPRK		5.405018	
FAM136A		5.3929377	
WDR43		5.3872232	
GM11974		5.3745146	
PTGER4		5.3617263	
CD226		5.3386517	
RSL1D1		5.337189	
ERGIC1		5.3272896	
EIF2S2		5.300623	
RUNX2		5.2609744	
MAT2A		5.251802	
IPO4		5.189187	
CCDC50		5.0752745	
METTL1		5.02482	
3110082I17RIK		5.0231767	
TNFSF11		5.0153337	
CD22		4.99037	
NPEPPS		4.98061	
LYAR		4.969549	
RPL7A		4.9685607	
CHCHD4		4.921378	
HEATR3		4.9117656	
MRTO4		4.910591	
MNDA		4.885694	
UNC119		4.8800774	
SMIM10L2A		4.872045	
NOP56		4.8559294	
GBP2		4.8387685	
PHB2		4.8296022	
PPAP2A		4.8209324	
RPL5		4.8193197	
NCF1		4.803916	
NOP58		4.801178	
MTAP		4.789094	
CHST2		4.780315	
PHTF2		4.7719254	
FGR		4.7570868	
CD3EAP		4.7300687	
MAPKAPK3		4.7219963	
NOP2		4.7131386	
IARS		4.7113266	
CORO2A		4.7008877	
STRA6		4.667665	
MIR155HG		4.646804	
CD300LF		4.6445513	
KPNB1		4.640429	
NLE1		4.633649	
FBL		4.607915	
HSPA9		4.595105	
WDR74		4.5914025	
IL2RA		4.590159	
CCT4		4.5712547	
DENR		4.57033	
GCSH		4.552402	
CINP		4.5474863	
SNHG5		4.543225	
COQ4		4.5382757	
NDUFAB1		4.534907	
RCL1		4.5087867	
DUSP22		4.5075445	
DKC1		4.505249	
PHB		4.494336	
PLAC8		4.489917	
SHMT1		4.4893494	
PLIN2		4.4876413	
EEF1G		4.4790897	
MRPL17		4.4770555	
PSME2		4.474828	
SLC7A1		4.4657803	
MAGOHB		4.4470606	
LTV1		4.442068	
AJUBA		4.4360237	
FTSJ3		4.435981	
IFRD2		4.4323025	
PUS7		4.427617	
CTSW		4.425945	
MRPL15		4.421437	
SMYD5		4.412929	
RRP9		4.3931065	
PTGES3		4.3891277	
ECI1		4.3715973	
CASP1		4.3651805	
CNBP		4.349665	
GSAP		4.338417	
SYNGR2		4.3227	
TIMM8A1		4.32077	
HSP90AB1		4.3175764	
COQ7		4.3147273	
HOMER1		4.307103	
NOLC1		4.3013487	
DDX56		4.300354	
TSPAN2		4.29687	
ATAD3A		4.2944107	
MRPS18B		4.292644	
CIRH1A		4.291321	
SLC7A5		4.28836	
TRMT61A		4.282327	
EIF4A1		4.28205	
MRPS7		4.2761836	
EIF3G		4.2598453	
AHR		4.259439	
1700017B05RIK		4.251018	
CAB39		4.2490892	
NCL		4.2450233	
BYSL		4.2446556	
