NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXN2	232	3.7528345584869385	-0.0036533969	No	
row_1	LSM2	473	2.9005680084228516	-0.012339461	No	
row_2	NCF4	778	2.284764289855957	-0.030285865	No	
row_3	ERP29	938	2.074424982070923	-0.03527665	No	
row_4	BSG	957	2.0554099082946777	-0.026741926	No	
row_5	FASN	979	2.0140769481658936	-0.018703591	No	
row_6	TRIM28	1022	1.9500844478607178	-0.013013703	No	
row_7	BTK	1116	1.819981336593628	-0.0129006915	No	
row_8	TSPAN4	1119	1.8164299726486206	-0.004014858	No	
row_9	PLCB3	1146	1.7869216203689575	0.0024050912	No	
row_10	BCKDHB	1283	1.6488604545593262	-0.0024909945	No	
row_11	MEA1	1384	1.5562580823898315	-0.004372344	No	
row_12	MLF2	1522	1.4354732036590576	-0.010431599	No	
row_13	CPSF1	1743	1.2679423093795776	-0.025345996	No	
row_14	PRPF8	1781	1.2435016632080078	-0.02270481	No	
row_15	SF3A1	1838	1.1939893960952759	-0.022146495	No	
row_16	ENTPD6	1855	1.180307149887085	-0.017792579	No	
row_17	GCDH	2006	1.074533462524414	-0.02691171	No	
row_18	EIF2B5	2179	0.9691480994224548	-0.038682777	No	
row_19	GAA	2245	0.9269484877586365	-0.040328607	No	
row_20	TECR	2288	0.9008651375770569	-0.039883014	No	
row_21	DDB1	2422	0.8429474830627441	-0.048517484	No	
row_22	HN1L	2431	0.83875572681427	-0.04509794	No	
row_23	ARFIP2	2557	0.7725796699523926	-0.05331133	No	
row_24	MAP2K2	2956	0.6118394732475281	-0.088699855	No	
row_25	ERAL1	3142	0.5474912524223328	-0.10383429	No	
row_26	IL10RB	3215	0.5198072791099548	-0.10819132	No	
row_27	ZYX	3231	0.5163856744766235	-0.10705927	No	
row_28	SLC25A1	3245	0.5116952657699585	-0.10575747	No	
row_29	CLPTM1	3253	0.5100756883621216	-0.10388416	No	
row_30	RANGAP1	3260	0.5063305497169495	-0.10193298	No	
row_31	IDH2	3299	0.49185195565223694	-0.10314535	No	
row_32	UBTF	3300	0.4916534125804901	-0.10068793	No	
row_33	MUT	3304	0.49025824666023254	-0.098527275	No	
row_34	LZTR1	3323	0.48313796520233154	-0.09785121	No	
row_35	ATXN7L3B	3370	0.4697690010070801	-0.09994676	No	
row_36	ZBTB48	3592	0.40043553709983826	-0.1192938	No	
row_37	MCM5	3629	0.38817083835601807	-0.1208312	No	
row_38	NAGPA	3630	0.3879293203353882	-0.118892215	No	
row_39	ST8SIA4	3749	0.35781702399253845	-0.12850252	No	
row_40	HDAC6	3807	0.3408142030239105	-0.1323052	No	
row_41	BTBD2	3998	0.2895375192165375	-0.14921196	No	
row_42	PTGIR	4041	0.2783951163291931	-0.15187764	No	
row_43	ASCC2	4070	0.27006006240844727	-0.1532326	No	
row_44	ATP9B	4073	0.2698235511779785	-0.15207714	No	
row_45	ATP6V0A1	4104	0.2628021538257599	-0.15366158	No	
row_46	RGS19	4172	0.24765536189079285	-0.15889591	No	
row_47	PMF1	4267	0.22266076505184174	-0.16686335	No	
row_48	BAG6	4303	0.21736691892147064	-0.16915788	No	
row_49	TADA3	4345	0.20874522626399994	-0.1720751	No	
