NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	0	8.165655136108398	0.03336307	No	
row_1	TBX21	18	6.246183395385742	0.05724125	No	
row_2	BCL2L11	50	5.4120917320251465	0.07635899	No	
row_3	SYNGR2	136	4.322700023651123	0.08580882	No	
row_4	MRPS7	150	4.276183605194092	0.10202445	No	
row_5	SNX5	171	4.1128973960876465	0.11689667	No	
row_6	HIVEP3	228	3.7589104175567627	0.12684464	No	
row_7	CUL2	465	2.9173736572265625	0.11596466	No	
row_8	DHRS3	531	2.789059638977051	0.121080555	No	
row_9	PPP1R11	662	2.4871809482574463	0.11868346	No	
row_10	HERPUD1	817	2.2387709617614746	0.1129528	No	
row_11	APOBR	860	2.1878161430358887	0.11783415	No	
row_12	UBE2G1	880	2.1582391262054443	0.12481667	No	
row_13	CLDND1	899	2.124824285507202	0.13175927	No	
row_14	PPM1G	1008	1.9743667840957642	0.12939233	No	
row_15	BST2	1068	1.8711470365524292	0.1313375	No	
row_16	UQCRFS1	1154	1.778124451637268	0.13039075	No	
row_17	POLR1D	1500	1.4543356895446777	0.103002734	No	
row_18	TMEM11	1575	1.393959879875183	0.10154908	No	
row_19	RYBP	1662	1.3268418312072754	0.098661885	No	
row_20	PADI2	1692	1.3074690103530884	0.10120226	No	
row_21	IFITM3	1803	1.2187999486923218	0.095555015	No	
row_22	SPRED1	1819	1.2089951038360596	0.09904557	No	
row_23	DUSP5	1827	1.2039477825164795	0.10328837	No	
row_24	TMED5	2041	1.0488826036453247	0.08699615	No	
row_25	IGBP1	2275	0.9098066091537476	0.06820352	No	
row_26	TMEM120B	2292	0.9001923203468323	0.07033576	No	
row_27	ZCCHC9	2343	0.8760262727737427	0.06908456	No	
row_28	ACTG1	2441	0.8354474306106567	0.06312694	No	
row_29	SKIL	2582	0.7641938328742981	0.052724004	No	
row_30	ATP6V1A	2615	0.7535630464553833	0.05271141	No	
row_31	HEXIM1	2626	0.7511672973632812	0.054814424	No	
row_32	GNG12	2839	0.6560561656951904	0.03701381	No	
row_33	IL2RB	2894	0.6288431882858276	0.03436624	No	
row_34	KCNK6	2930	0.6185716986656189	0.033512272	No	
row_35	NSA2	2974	0.6040183305740356	0.03182597	No	
row_36	VPS35	2978	0.6026925444602966	0.033998612	No	
row_37	TPP2	3089	0.5621250867843628	0.025668338	No	
row_38	ST8SIA6	3115	0.557076632976532	0.025529206	No	
row_39	FGFR1OP	3321	0.4840047359466553	0.0077018933	No	
row_40	PDK3	3357	0.4724697768688202	0.0062509854	No	
row_41	MEX3B	3438	0.4509989023208618	3.6494574E-4	No	
row_42	SLC25A33	3567	0.4079267382621765	-0.01033431	No	
row_43	KDM6B	3585	0.4035218358039856	-0.010327962	No	
row_44	PLEK	3617	0.3936557173728943	-0.011714451	No	
row_45	ERP44	3644	0.3845096230506897	-0.012655264	No	
row_46	ENC1	3702	0.370060533285141	-0.016649991	No	
row_47	MYADM	3720	0.36461886763572693	-0.016802592	No	
row_48	ATXN7L1	3775	0.35029494762420654	-0.020588253	No	
row_49	ANKRD37	3790	0.3442201614379883	-0.02053437	No	
row_50	DNAJB2	3891	0.31874722242355347	-0.028892942	No	
row_51	TATDN2	4033	0.28053081035614014	-0.041368626	No	
row_52	SH3BP5	4042	0.2780650556087494	-0.041005388	No	
row_53	BCL2L14	4521	0.1634102314710617	-0.08651684	No	
row_54	MAP4	4649	0.13551878929138184	-0.098232485	No	
row_55	ATF3	4719	0.12041027843952179	-0.10440654	No	
row_56	COQ10B	4750	0.11439299583435059	-0.10683743	No	
row_57	PCYT1A	4763	0.11233101040124893	-0.107537776	No	
row_58	HNRNPH2	4883	0.09105335921049118	-0.11866222	No	
row_59	GNA13	4954	0.07850456982851028	-0.1251041	No	
row_60	DAD1	5326	0.014677729457616806	-0.16088608	No	
row_61	BRWD3	5350	0.009533699601888657	-0.16306913	No	
row_62	PI4K2A	5469	-0.011212915182113647	-0.17442319	No	
row_63	CASS4	5587	-0.03002256527543068	-0.18560378	No	
row_64	NKIRAS2	5595	-0.030893599614501	-0.18615381	No	
row_65	NEK7	5658	-0.03992215543985367	-0.19198047	No	
row_66	TEN1	5797	-0.0637691542506218	-0.20505196	No	
row_67	RRAGC	5875	-0.07523348182439804	-0.21218346	No	
row_68	PCMTD1	5919	-0.08298268169164658	-0.2159986	No	
row_69	PITPNA	6106	-0.11566407978534698	-0.23349531	No	
row_70	DDIT3	6206	-0.1352464109659195	-0.24250701	No	
row_71	EIF4EBP1	6211	-0.13647885620594025	-0.24233583	No	
row_72	PTGER1	6234	-0.14216522872447968	-0.24388036	No	
row_73	SNX25	6411	-0.18224675953388214	-0.26013893	No	
row_74	ZBTB2	6429	-0.18460986018180847	-0.261027	No	
row_75	HMGCS1	6467	-0.19298723340034485	-0.26381305	No	
row_76	SNAP29	6473	-0.19474375247955322	-0.26350042	No	
row_77	RALA	6484	-0.19635535776615143	-0.26366425	No	
row_78	PNPLA8	6681	-0.24582843482494354	-0.2815952	No	
row_79	VAT1	6704	-0.25056231021881104	-0.28269687	No	
row_80	CRAT	6821	-0.27976661920547485	-0.29276043	No	
row_81	LNX2	6824	-0.2805791199207306	-0.29180726	No	
row_82	TGIF1	6830	-0.28233110904693604	-0.29113677	No	
row_83	FAM107B	6942	-0.31285810470581055	-0.3005821	No	
row_84	GPD1L	7118	-0.36326292157173157	-0.31600448	No	
row_85	SH3PXD2A	7123	-0.36427754163742065	-0.31490254	No	
row_86	KCTD1	7211	-0.3879537582397461	-0.32172245	No	
row_87	APP	7231	-0.3921118378639221	-0.32195592	No	
row_88	PHF13	7358	-0.4385461211204529	-0.33233687	No	
row_89	LASP1	7374	-0.4428003430366516	-0.33197683	No	
row_90	LIN54	7569	-0.516404926776886	-0.34860906	No	
row_91	ST3GAL5	7604	-0.5296158790588379	-0.34972987	No	
row_92	SPG21	7664	-0.5547410249710083	-0.35316324	No	
row_93	EMP3	7687	-0.566543698310852	-0.35297388	No	
row_94	PICALM	7760	-0.5947849750518799	-0.35749957	No	
row_95	ZBED6	7832	-0.624237060546875	-0.3618083	No	
row_96	INSIG1	7921	-0.6612152457237244	-0.3676083	No	
row_97	IER2	7961	-0.6785240173339844	-0.36860377	No	
row_98	ATP6V1E1	7962	-0.6785998344421387	-0.36583117	No	
row_99	LDLR	8215	-0.7963892221450806	-0.38692278	No	
row_100	BBS9	8216	-0.7971977591514587	-0.3836656	No	
row_101	JUNB	8340	-0.8619195222854614	-0.39202687	No	
row_102	PACSIN1	8388	-0.9042534828186035	-0.39287293	No	
row_103	LRRC56	8457	-0.9451631307601929	-0.39558062	No	
