NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.03679329	No	
row_1	CD300LF	96	4.6445512771606445	0.052914474	No	
row_2	CASP1	133	4.365180492401123	0.07230423	No	
row_3	AHR	152	4.259438991546631	0.092878364	No	
row_4	MRPS35	194	3.9668338298797607	0.10969858	No	
row_5	DHODH	251	3.6581015586853027	0.12345297	No	
row_6	PWP2	480	2.8871116638183594	0.11655832	No	
row_7	MDN1	718	2.3808038234710693	0.106142305	No	
row_8	ZFP28	810	2.2457075119018555	0.109118074	No	
row_9	NSUN5	950	2.0657243728637695	0.106515594	No	
row_10	ABHD11	1002	1.984631896018982	0.11198663	No	
row_11	RNF219	1182	1.7486310005187988	0.10386024	No	
row_12	LIPT1	1350	1.5858666896820068	0.09604008	No	
row_13	TSN	1370	1.563944935798645	0.1023977	No	
row_14	TUT1	1464	1.4877594709396362	0.10120994	No	
row_15	DCP2	1572	1.3967416286468506	0.098193385	No	
row_16	TRIM65	1793	1.2322250604629517	0.08340243	No	
row_17	NCKIPSD	1996	1.0825210809707642	0.06956557	No	
row_18	EIF2AK4	1997	1.08085036277771	0.07522745	No	
row_19	TGFB1	2265	0.914728045463562	0.054234464	No	
row_20	ANP32A	2590	0.7603840231895447	0.026928388	No	
row_21	ABCG1	2749	0.6923328638076782	0.015296739	No	
row_22	SBF2	3096	0.5605416893959045	-0.015180758	No	
row_23	ORC3	3230	0.5164591073989868	-0.025319403	No	
row_24	PUS3	3276	0.4982883036136627	-0.027054923	No	
row_25	GNGT2	3356	0.47252342104911804	-0.032208845	No	
row_26	VPS54	3392	0.463849812746048	-0.033159047	No	
row_27	STRN4	3460	0.44295835494995117	-0.03730898	No	
row_28	SCOC	3479	0.4355594217777252	-0.03676566	No	
row_29	OPA1	3611	0.3944692611694336	-0.047350187	No	
row_30	NUDT6	3678	0.3736454248428345	-0.051766634	No	
row_31	ARGLU1	3838	0.3334715962409973	-0.065374695	No	
row_32	SAV1	3870	0.32455453276634216	-0.06666829	No	
row_33	CCDC47	3919	0.31277111172676086	-0.06966533	No	
row_34	INTS7	3949	0.30336517095565796	-0.07087677	No	
row_35	PEX11G	4065	0.2712424397468567	-0.08056165	No	
row_36	DDX54	4101	0.2629393935203552	-0.082564294	No	
row_37	AGL	4220	0.23552305996418	-0.09272601	No	
row_38	METTL10	4434	0.18465858697891235	-0.11232848	No	
row_39	PRPSAP2	4484	0.17301824688911438	-0.11615416	No	
row_40	CRTC1	4489	0.17121188342571259	-0.115643576	No	
row_41	MDC1	4490	0.17117007076740265	-0.11474693	No	
row_42	PHIP	4710	0.12289012223482132	-0.13525239	No	
row_43	DCXR	4760	0.11291561275720596	-0.13939291	No	
row_44	NFS1	4848	0.09695128351449966	-0.14728679	No	
row_45	TRAF3	4881	0.09214390069246292	-0.1498944	No	
row_46	FAM120AOS	4981	0.07326292246580124	-0.15907122	No	
row_47	DDX5	5008	0.06805035471916199	-0.16122562	No	
row_48	TBC1D19	5191	0.03632277250289917	-0.1786114	No	
row_49	TRRAP	5236	0.030135363340377808	-0.18270269	No	
row_50	TTC21B	5261	0.025654125958681107	-0.18488602	No	
row_51	SLC25A28	5358	0.007422237191349268	-0.19411802	No	
row_52	AGRN	5412	-0.002568803960457444	-0.19922288	No	
row_53	AAK1	5457	-0.008900073356926441	-0.2034254	No	
row_54	DTNBP1	5508	-0.01624082587659359	-0.20816891	No	
row_55	PIGN	5634	-0.03626984357833862	-0.22005038	No	
row_56	BIVM	5651	-0.03901897370815277	-0.22139114	No	
row_57	GAN	5676	-0.04278402775526047	-0.22348474	No	
row_58	TESK2	5789	-0.06254637241363525	-0.23397313	No	
row_59	CDC23	5821	-0.066923588514328	-0.23661628	No	
row_60	RBM33	5896	-0.07907388359308243	-0.24334837	No	
row_61	PBX4	5940	-0.08703961968421936	-0.24704501	No	
row_62	RIC8B	5953	-0.08909127116203308	-0.24773718	No	
row_63	STX7	5954	-0.08913365751504898	-0.24727027	No	
row_64	MECP2	5973	-0.09212171286344528	-0.24852599	No	
row_65	POLI	6188	-0.13109612464904785	-0.2685056	No	
row_66	TRAF2	6266	-0.1481858640909195	-0.27516538	No	
row_67	NT5C	6367	-0.16960541903972626	-0.28393412	No	
row_68	SDHAF2	6383	-0.17335596680641174	-0.28447458	No	
row_69	ZCCHC11	6423	-0.183849036693573	-0.28727782	No	
row_70	MTMR11	6539	-0.2089969962835312	-0.29728875	No	
row_71	GALNT12	6580	-0.22010283172130585	-0.29999864	No	
row_72	H2AFJ	6584	-0.22114688158035278	-0.29912993	No	
row_73	PPP1R3F	6598	-0.22447066009044647	-0.2992095	No	
row_74	PHF2	6708	-0.25103670358657837	-0.3084208	No	
row_75	CSK	6725	-0.2557651698589325	-0.30862615	No	
row_76	NDST1	6762	-0.26392775774002075	-0.3107202	No	
row_77	FAM126A	6836	-0.2839069962501526	-0.31628272	No	
row_78	VRK2	6855	-0.2896609902381897	-0.31650367	No	
row_79	TFAM	6921	-0.30687522888183594	-0.3211733	No	
row_80	APBB1IP	6925	-0.308422327041626	-0.3198474	No	
row_81	USE1	7069	-0.3473348617553711	-0.33183768	No	
row_82	TCEA2	7086	-0.35344815254211426	-0.33153135	No	
row_83	MAP2K5	7100	-0.35810449719429016	-0.33091092	No	
row_84	CHKB	7135	-0.36730003356933594	-0.3322703	No	
row_85	MLH3	7174	-0.37857839465141296	-0.3339569	No	
row_86	MED12	7316	-0.4226683974266052	-0.34535944	No	
row_87	AIG1	7411	-0.4569627344608307	-0.35204345	No	
row_88	MFSD8	7421	-0.45893770456314087	-0.3505085	No	
row_89	UBE2D1	7474	-0.48130252957344055	-0.35300902	No	
row_90	PEAK1	7481	-0.48409736156463623	-0.35105258	No	
row_91	STAG2	7482	-0.4851101338863373	-0.3485114	No	
row_92	NFATC2IP	7498	-0.490337073802948	-0.34739143	No	
row_93	USF2	7509	-0.49455180764198303	-0.34576648	No	
row_94	CORO1B	7531	-0.5041528344154358	-0.34515357	No	
row_95	ARHGEF6	7629	-0.5438196063041687	-0.35167232	No	
row_96	ASH1L	7689	-0.5666290521621704	-0.35440186	No	
row_97	SMAD2	7822	-0.6196479797363281	-0.36390337	No	
row_98	SLC35B3	7859	-0.6361356377601624	-0.36404765	No	
row_99	CHD6	7888	-0.6478003263473511	-0.36335826	No	
row_100	WDR48	7908	-0.6559290289878845	-0.36175713	No	
row_101	MED10	8093	-0.7353121042251587	-0.37567452	No	
row_102	BRAT1	8107	-0.7398251891136169	-0.37305447	No	
row_103	MRGPRE	8130	-0.7519065737724304	-0.37124032	No	
row_104	TCTEX1D2	8181	-0.7764986157417297	-0.37200132	No	
row_105	GANC	8344	-0.8645846247673035	-0.38311696	No	
row_106	CAMTA2	8350	-0.8680461645126343	-0.37905267	No	
row_107	DNASE1L3	8353	-0.8710523843765259	-0.37468293	No	
row_108	CHD9	8441	-0.9368568062782288	-0.3781771	No	
row_109	TPD52	8578	-1.015432596206665	-0.38599166	Yes	
row_110	WDFY1	8597	-1.026694893836975	-0.38235176	Yes	
