NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMS	168	4.136326313018799	0.025588932	No	
row_1	PA2G4	254	3.623271942138672	0.053962108	No	
row_2	ELL2	421	3.014075994491577	0.06843113	No	
row_3	XRCC6	622	2.5539777278900146	0.07500375	No	
row_4	ZMIZ1	657	2.4961435794830322	0.09690449	No	
row_5	LMAN1	893	2.132596254348755	0.09587509	No	
row_6	CCND3	982	2.0100550651550293	0.10770047	No	
row_7	XRCC5	1030	1.941595435142517	0.122765645	No	
row_8	STK39	1069	1.8710426092147827	0.13798234	No	
row_9	RRP12	1091	1.8441919088363647	0.15455784	No	
row_10	PMEPA1	1225	1.7033066749572754	0.15897813	No	
row_11	HSD17B14	1268	1.6588637828826904	0.17167279	No	
row_12	SRP19	1647	1.335991621017456	0.1489076	No	
row_13	TSC22D1	1679	1.3140811920166016	0.1591814	No	
row_14	UBE2I	1770	1.2496262788772583	0.16315041	No	
row_15	KRT19	1936	1.1231696605682373	0.15865609	No	
row_16	UAP1	2013	1.070966362953186	0.16216621	No	
row_17	PDLIM5	2105	1.0053950548171997	0.16357766	No	
row_18	AKT1	2128	0.993401050567627	0.17148185	No	
row_19	SPCS3	2357	0.8690052628517151	0.15838717	No	
row_20	VAPA	2453	0.830234169960022	0.15764971	No	
row_21	ADRM1	2607	0.7549996376037598	0.15059464	No	
row_22	NCOA4	2697	0.7162192463874817	0.14928308	No	
row_23	SLC38A2	3019	0.5900042057037354	0.12446221	No	
row_24	FKBP5	3599	0.3989672064781189	0.07298657	No	
row_25	IDI1	3643	0.3850947320461273	0.07274656	No	
row_26	UBE2J1	3677	0.37380799651145935	0.07335128	No	
row_27	PGM3	4035	0.28019434213638306	0.041957125	No	
row_28	B2M	4265	0.22289039194583893	0.022254143	No	
row_29	APPBP2	4287	0.22042329609394073	0.022463033	No	
row_30	MYL12A	4410	0.18992789089679718	0.012683727	No	
row_31	DHCR24	4620	0.14051441848278046	-0.0059325616	No	
row_32	ITGAV	5396	1.1951800115639344E-4	-0.08021488	No	
row_33	GSR	5522	-0.018749095499515533	-0.092007115	No	
row_34	ABCC4	5545	-0.02238950878381729	-0.09389014	No	
row_35	FADS1	5667	-0.04145345464348793	-0.10507013	No	
row_36	CENPN	6045	-0.10465129464864731	-0.14015065	No	
row_37	SORD	6082	-0.1118866354227066	-0.14247349	No	
row_38	HMGCS1	6467	-0.19298723340034485	-0.17733458	No	
row_39	SRF	6634	-0.23168514668941498	-0.19091038	No	
row_40	SLC26A2	6797	-0.27309268712997437	-0.20368543	No	
row_41	DNAJB9	6877	-0.2951417565345764	-0.20828271	No	
row_42	GPD1L	7118	-0.36326292157173157	-0.22762516	No	
row_43	ABHD2	7124	-0.3650609850883484	-0.22442481	No	
row_44	PTPN21	7182	-0.38044846057891846	-0.22605355	No	
row_45	TNFAIP8	7352	-0.4362714886665344	-0.23785481	No	
row_46	RAB4A	7488	-0.48596516251564026	-0.24589628	No	
row_47	RPS6KA3	7609	-0.53030925989151	-0.25205305	No	
row_48	ELK4	7744	-0.5897964239120483	-0.2589521	No	
row_49	DBI	7801	-0.6103975176811218	-0.25816727	No	
row_50	CDK6	7828	-0.6221491694450378	-0.25438845	No	
row_51	INSIG1	7921	-0.6612152457237244	-0.25654197	No	
row_52	HMGCR	7975	-0.6830472350120544	-0.25473732	No	
row_53	INPP4B	8194	-0.7856826782226562	-0.26771334	Yes	
row_54	SAT1	8203	-0.792125403881073	-0.260496	Yes	
row_55	ELOVL5	8290	-0.8355614542961121	-0.26031712	Yes	
row_56	PIAS1	8412	-0.9214270710945129	-0.26262748	Yes	
row_57	IQGAP2	8536	-0.9879786968231201	-0.26445878	Yes	
row_58	NGLY1	8543	-0.9949406385421753	-0.25500548	Yes	
row_59	TPD52	8578	-1.015432596206665	-0.24802941	Yes	
row_60	B4GALT1	8614	-1.0373306274414062	-0.24092847	Yes	
row_61	ACTN1	8660	-1.0645071268081665	-0.23451212	Yes	
row_62	CAMKK2	8814	-1.1599050760269165	-0.23748598	Yes	
row_63	HERC3	8918	-1.2444982528686523	-0.2348147	Yes	
row_64	ACSL3	8967	-1.287947177886963	-0.22643375	Yes	
row_65	NDRG1	8981	-1.3053408861160278	-0.21452275	Yes	
row_66	SEC24D	9226	-1.5492674112319946	-0.2222944	Yes	
row_67	PTK2B	9731	-2.281625986099243	-0.24760523	Yes	
row_68	GNAI3	9820	-2.4656646251678467	-0.2311876	Yes	
row_69	MAP7	9839	-2.4922921657562256	-0.20779207	Yes	
row_70	TMEM50A	10174	-3.5354084968566895	-0.20417109	Yes	
row_71	MAF	10203	-3.6857266426086426	-0.16970497	Yes	
row_72	CDC14B	10223	-3.7846715450286865	-0.13337891	Yes	
row_73	ARID5B	10291	-4.250065326690674	-0.09696273	Yes	
row_74	SGK1	10359	-4.746486186981201	-0.05554293	Yes	
row_75	AKAP12	10481	-6.917952537536621	0.0025880602	Yes	
