NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	0	8.165655136108398	0.08323781	No	
row_1	VCAM1	393	3.0930886268615723	0.07714771	No	
row_2	ITGB1	726	2.3575551509857178	0.06931799	No	
row_3	ACTG2	1047	1.916229248046875	0.05814118	No	
row_4	TSPAN4	1119	1.8164299726486206	0.069843404	No	
row_5	CD274	1230	1.7002699375152588	0.07661874	No	
row_6	ITGA9	1603	1.3718935251235962	0.05490276	No	
row_7	VCL	1858	1.1778604984283447	0.042533252	No	
row_8	MPP5	2227	0.9429448843002319	0.016828602	No	
row_9	HRAS	2268	0.9133395552635193	0.02230009	No	
row_10	ACTG1	2441	0.8354474306106567	0.01430963	No	
row_11	CLDN18	2545	0.7821125984191895	0.012397373	No	
row_12	SYMPK	2625	0.7513707876205444	0.012475008	No	
row_13	TIAL1	2670	0.7316328883171082	0.015710367	No	
row_14	TSC1	2817	0.6633746027946472	0.008461058	No	
row_15	THY1	2826	0.6595978736877441	0.014417012	No	
row_16	NF1	2828	0.6584988832473755	0.021033548	No	
row_17	VASP	2858	0.6463067531585693	0.024838662	No	
row_18	ZYX	3231	0.5163856744766235	-0.005598061	No	
row_19	RHOF	3518	0.42339837551116943	-0.028729305	No	
row_20	CDK8	3575	0.40605628490448	-0.02996439	No	
row_21	GTF2F1	3663	0.3781844973564148	-0.03445864	No	
row_22	ICAM1	3876	0.32317405939102173	-0.051509805	No	
row_23	MPZL1	4050	0.27595245838165283	-0.06529953	No	
row_24	PARD6G	4094	0.2648322582244873	-0.0667266	No	
row_25	TAOK2	4453	0.1788640171289444	-0.09926034	No	
row_26	ICAM4	4501	0.16927975416183472	-0.10204531	No	
row_27	TUBG1	4807	0.10444916784763336	-0.13025123	No	
row_28	RASA1	4809	0.10436352342367172	-0.12928335	No	
row_29	PFN1	4945	0.08008766174316406	-0.14142282	No	
row_30	VAV2	5165	0.04065888375043869	-0.16202563	No	
row_31	ACTN4	5194	0.03557427227497101	-0.16435014	No	
row_32	TRAF1	5225	0.03144509345293045	-0.16690868	No	
row_33	NF2	5266	0.02485557831823826	-0.17049408	No	
row_34	YWHAH	5524	-0.01879950612783432	-0.19496655	No	
row_35	MDK	5738	-0.05363326892256737	-0.2148613	No	
row_36	ICAM5	5748	-0.05562913045287132	-0.21515796	No	
row_37	PKD1	5882	-0.07730017602443695	-0.2271339	No	
row_38	TMEM8B	5916	-0.08258511126041412	-0.22945905	No	
row_39	WASL	5995	-0.09583466500043869	-0.23596774	No	
row_40	ACTB	6060	-0.10759586840867996	-0.24101299	No	
row_41	DLG1	6179	-0.12894177436828613	-0.25102296	No	
row_42	MAPK14	6208	-0.1355065107345581	-0.2523288	No	
row_43	PBX2	6447	-0.18822014331817627	-0.27325085	No	
row_44	ADAM9	6483	-0.1963540017604828	-0.27460822	No	
row_45	EXOC4	6570	-0.21701420843601227	-0.2806494	No	
row_46	DHX16	6757	-0.2626022398471832	-0.29582283	No	
row_47	CRAT	6821	-0.27976661920547485	-0.29901704	No	
row_48	AKT3	7025	-0.33596229553222656	-0.31507412	No	
row_49	MVD	7119	-0.3634156882762909	-0.32029474	No	
row_50	CAP1	7224	-0.3910295367240906	-0.32628953	No	
row_51	HADH	7295	-0.41622430086135864	-0.32876453	No	
row_52	PIK3R3	7390	-0.44772499799728394	-0.3332217	No	
row_53	ARHGEF6	7629	-0.5438196063041687	-0.35051888	No	
row_54	RSU1	7753	-0.5931225419044495	-0.35627702	No	
row_55	RRAS	7880	-0.6438775658607483	-0.3618057	No	
row_56	INSIG1	7921	-0.6612152457237244	-0.35890427	No	
row_57	ADAM15	8025	-0.7029476761817932	-0.3616235	No	
row_58	ARPC2	8037	-0.7080507874488831	-0.35546154	No	
row_59	LDLRAP1	8358	-0.8759050965309143	-0.37724304	No	
row_60	PIK3CB	8479	-0.9558407068252563	-0.37901586	No	
row_61	B4GALT1	8614	-1.0373306274414062	-0.38130158	Yes	
row_62	SHC1	8649	-1.0575604438781738	-0.37378412	Yes	
row_63	ACTN1	8660	-1.0645071268081665	-0.3638926	Yes	
row_64	CTNNA1	8665	-1.0694835186004639	-0.35337454	Yes	
row_65	PLCG1	8752	-1.1184204816818237	-0.35022712	Yes	
row_66	GNAI2	8838	-1.1877391338348389	-0.34627712	Yes	
row_67	EVL	8910	-1.2374809980392456	-0.34047648	Yes	
row_68	IKBKG	8988	-1.3105688095092773	-0.33450666	Yes	
row_69	MSN	9004	-1.3229252099990845	-0.32246077	Yes	
row_70	MYH9	9058	-1.360723614692688	-0.3136764	Yes	
row_71	MYL12B	9304	-1.6235378980636597	-0.3206391	Yes	
row_72	ITGA3	9335	-1.6545482873916626	-0.30665228	Yes	
row_73	INPPL1	9398	-1.7269997596740723	-0.29499796	Yes	
row_74	KCNH2	9399	-1.7291674613952637	-0.27737144	Yes	
row_75	ICAM2	9427	-1.7718204259872437	-0.2619013	Yes	
row_76	RAC2	9430	-1.775589108467102	-0.2439935	Yes	
row_77	MAP4K2	9470	-1.8301607370376587	-0.22908029	Yes	
row_78	JUP	9496	-1.8736342191696167	-0.21238036	Yes	
row_79	PTEN	9580	-2.0087554454803467	-0.19986926	Yes	
row_80	CNN2	9759	-2.349947690963745	-0.19299726	Yes	
row_81	BAIAP2	9838	-2.4911458492279053	-0.175089	Yes	
row_82	AKT2	9842	-2.506977081298828	-0.14982167	Yes	
row_83	GRB7	9940	-2.7460334300994873	-0.1311386	Yes	
row_84	PTPRC	10093	-3.2255778312683105	-0.112845525	Yes	
row_85	ATP1A3	10138	-3.410696029663086	-0.08230074	Yes	
row_86	SKAP2	10149	-3.45644211769104	-0.048026677	Yes	
row_87	MAPK11	10211	-3.745018720626831	-0.015705403	Yes	
row_88	PECAM1	10302	-4.327429294586182	0.019769648	Yes	
