NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRA	4	7.80339241027832	0.122603506	No	
row_1	NEDD4	288	3.463336944580078	0.15009877	No	
row_2	ATXN1	500	2.8368144035339355	0.17461157	No	
row_3	SOAT2	753	2.3275792598724365	0.18717393	No	
row_4	GNPAT	1835	1.1958951950073242	0.10254731	No	
row_5	ABCA1	1889	1.1595016717910767	0.11574856	No	
row_6	PEX26	2000	1.0788342952728271	0.12222233	No	
row_7	PEX13	2032	1.0527353286743164	0.13584675	No	
row_8	ABCD3	2159	0.9786478877067566	0.13920997	No	
row_9	FDXR	2263	0.9157221913337708	0.14378305	No	
row_10	SLC23A2	2287	0.9021953344345093	0.15580063	No	
row_11	SLC35B2	2295	0.8964640498161316	0.16925941	No	
row_12	SOD1	2580	0.7644487023353577	0.15412277	No	
row_13	SULT2B1	2599	0.7573978900909424	0.16433686	No	
row_14	RETSAT	2759	0.6880446672439575	0.1599612	No	
row_15	ACSL5	2797	0.6739031672477722	0.16704065	No	
row_16	SLC29A1	3051	0.5779874920845032	0.15193261	No	
row_17	PECR	3203	0.5243693590164185	0.1457431	No	
row_18	IDH2	3299	0.49185195565223694	0.14440148	No	
row_19	IDI1	3643	0.3850947320461273	0.117638424	No	
row_20	ISOC1	3660	0.3794192671775818	0.12208677	No	
row_21	PEX12	3942	0.3057008683681488	0.10000713	No	
row_22	PEX11G	4065	0.2712424397468567	0.09260409	No	
row_23	PEX19	4163	0.24928776919841766	0.08724806	No	
row_24	PEX7	4192	0.24371904134750366	0.08840903	No	
row_25	PFKM	4566	0.15001504123210907	0.05506933	No	
row_26	DHCR24	4620	0.14051441848278046	0.052210703	No	
row_27	ALDH9A1	5074	0.05617028847336769	0.00973425	No	
row_28	ACSL1	5256	0.026677867397665977	-0.007170839	No	
row_29	OPTN	5427	-0.004623185843229294	-0.023370588	No	
row_30	AR	5447	-0.007201645988970995	-0.02507579	No	
row_31	CYP39A1	5498	-0.014880009926855564	-0.029627334	No	
row_32	FADS1	5667	-0.04145345464348793	-0.045055173	No	
row_33	AMACR	5710	-0.048158079385757446	-0.048316464	No	
row_34	PEX1	6057	-0.10728234797716141	-0.07974518	No	
row_35	PXMP2	6092	-0.11353248357772827	-0.08121037	No	
row_36	CAT	6311	-0.15716595947742462	-0.09960056	No	
row_37	PEX6	6408	-0.1818736493587494	-0.10592336	No	
row_38	PNPLA8	6681	-0.24582843482494354	-0.12808514	No	
row_39	HSD17B11	6742	-0.2587411403656006	-0.12975049	No	
row_40	PRDX5	7018	-0.3352069854736328	-0.15079075	No	
row_41	NPC1	7257	-0.4014928638935089	-0.16724464	No	
row_42	GSTK1	7328	-0.42708590626716614	-0.16721398	No	
row_43	PAOX	7415	-0.4578555226325989	-0.16822992	No	
row_44	MLYCD	7484	-0.48520588874816895	-0.16709182	No	
row_45	GCLM	7708	-0.5737435221672058	-0.1793951	No	
row_46	PEX16	7816	-0.6169246435165405	-0.17991415	No	
row_47	IDH1	8055	-0.7156951427459717	-0.191416	No	
row_48	LIPE	8510	-0.9743804931640625	-0.2195166	No	
row_49	LCK	8866	-1.2135862112045288	-0.23437077	Yes	
row_50	ABCA3	8897	-1.2302826642990112	-0.21785237	Yes	
row_51	HACL1	9001	-1.3206599950790405	-0.20689723	Yes	
row_52	HSD17B4	9032	-1.338549256324768	-0.18867248	Yes	
row_53	FADS2	9069	-1.3768129348754883	-0.17041901	Yes	
row_54	SCP2	9183	-1.5063844919204712	-0.15749393	Yes	
row_55	LONP2	9290	-1.6077255010604858	-0.14230162	Yes	
row_56	CROT	9307	-1.6279956102371216	-0.11817492	Yes	
row_57	ABCD1	9534	-1.9262592792510986	-0.109448865	Yes	
row_58	PIPOX	9813	-2.4517269134521484	-0.097418614	Yes	
row_59	PEX11A	9860	-2.537501335144043	-0.061829165	Yes	
row_60	ABCA2	10160	-3.4745934009552	-0.035688035	Yes	
row_61	PHYH	10307	-4.371854305267334	0.019239845	Yes	
