NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CISH	8	7.22438907623291	0.044496626	No	
row_1	ENDOD1	19	6.17973518371582	0.08225534	No	
row_2	UNC119	76	4.880077362060547	0.107445955	No	
row_3	SLC7A5	147	4.288360118865967	0.12758236	No	
row_4	MYBBP1A	159	4.208714008331299	0.15289496	No	
row_5	FKBP4	292	3.450495481491089	0.16181768	No	
row_6	DHRS3	531	2.789059638977051	0.15639979	No	
row_7	RARA	589	2.6405277252197266	0.16746178	No	
row_8	IL17RB	629	2.5444393157958984	0.17965314	No	
row_9	PPIF	673	2.4664180278778076	0.19097087	No	
row_10	BHLHE40	751	2.3283045291900635	0.19815272	No	
row_11	SLC16A1	961	2.042922258377075	0.19084926	No	
row_12	FASN	979	2.0140769481658936	0.2018337	No	
row_13	NXT1	988	2.0038511753082275	0.21361978	No	
row_14	BCL2	1075	1.864920973777771	0.21703248	No	
row_15	RRP12	1091	1.8441919088363647	0.22714485	No	
row_16	LAD1	1175	1.7525889873504639	0.23014228	No	
row_17	MYC	1183	1.7480862140655518	0.240422	No	
row_18	TMPRSS3	1756	1.261720895767212	0.19330645	No	
row_19	ISG20L2	1757	1.2607481479644775	0.20120597	No	
row_20	KRT19	1936	1.1231696605682373	0.19112149	No	
row_21	ASB13	2092	1.0142111778259277	0.1825667	No	
row_22	CBFA2T3	2193	0.963691234588623	0.17898585	No	
row_23	AKAP1	2214	0.9472447037696838	0.18299723	No	
row_24	SLC19A2	2248	0.925462007522583	0.18562163	No	
row_25	XBP1	2335	0.8786004781723022	0.18285431	No	
row_26	TGIF2	2340	0.8766914010047913	0.18796267	No	
row_27	CLIC3	2349	0.8725464940071106	0.19266029	No	
row_28	SULT2B1	2599	0.7573978900909424	0.17345442	No	
row_29	CD44	2610	0.7540613412857056	0.17721727	No	
row_30	SCARB1	2642	0.7405546307563782	0.17887548	No	
row_31	SLC1A4	3050	0.5780242681503296	0.14334756	No	
row_32	TOB1	3287	0.4954148232936859	0.12375066	No	
row_33	PDZK1	3364	0.47034841775894165	0.11938723	No	
row_34	TMEM164	3477	0.4358351528644562	0.11134469	No	
row_35	FKBP5	3599	0.3989672064781189	0.102205426	No	
row_36	SIAH2	3620	0.3914363980293274	0.102734245	No	
row_37	SVIL	3681	0.3732036054134369	0.09930119	No	
row_38	WFS1	3769	0.352314293384552	0.093140095	No	
row_39	SFN	3810	0.3402238190174103	0.09142422	No	
row_40	SLC22A5	3995	0.2901003360748291	0.0755428	No	
row_41	SH3BP5	4042	0.2780650556087494	0.0728603	No	
row_42	PMAIP1	4183	0.24600370228290558	0.06093498	No	
row_43	FARP1	4264	0.2232600599527359	0.0546386	No	
row_44	ARL3	4277	0.22150951623916626	0.054872233	No	
row_45	DYNLT3	4416	0.18819834291934967	0.0427771	No	
row_46	KRT15	4661	0.13227558135986328	0.020135336	No	
row_47	BLVRB	4668	0.13051097095012665	0.02037594	No	
row_48	ESRP2	4898	0.0883416160941124	-0.0010982386	No	
row_49	BAG1	4933	0.08291058987379074	-0.0038492312	No	
row_50	CANT1	5023	0.06563130766153336	-0.011998988	No	
row_51	LRIG1	5045	0.06197651848196983	-0.013630667	No	
row_52	AR	5447	-0.007201645988970995	-0.052158073	No	
row_53	OPN3	5584	-0.02906085178256035	-0.06505794	No	
row_54	SLC2A1	5765	-0.05912391096353531	-0.082001835	No	
row_55	NADSYN1	5873	-0.07491543143987656	-0.09182485	No	
row_56	SLC37A1	5928	-0.08459708094596863	-0.096489094	No	
