NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRP1	215	3.874541759490967	0.15415142	No	
row_1	ETS2	2360	0.8678755760192871	-0.011113722	No	
row_2	PTCH1	2754	0.689906895160675	-0.017480034	No	
row_3	THY1	2826	0.6595978736877441	0.0054833605	No	
row_4	NF1	2828	0.6584988832473755	0.035070237	No	
row_5	HEY1	4568	0.1496797353029251	-0.123959795	No	
row_6	RASA1	4809	0.10436352342367172	-0.14213449	No	
row_7	CDK5R1	5834	-0.07007595151662827	-0.23659255	No	
row_8	TLE1	6368	-0.16965772211551666	-0.2797554	No	
row_9	NRP2	6501	-0.19917632639408112	-0.28336084	No	
row_10	LDB1	7285	-0.40993696451187134	-0.33952522	No	
row_11	CELSR1	7568	-0.5159642696380615	-0.3431506	No	
row_12	CDK6	7828	-0.6221491694450378	-0.33979705	No	
row_13	MYH9	9058	-1.360723614692688	-0.39562088	Yes	
row_14	PML	9269	-1.585560917854309	-0.34416988	Yes	
row_15	DPYSL2	9611	-2.0622899532318115	-0.28371817	Yes	
row_16	L1CAM	9670	-2.1627819538116455	-0.19175863	Yes	
row_17	TLE3	9867	-2.5552291870117188	-0.095264696	Yes	
row_18	CRMP1	10157	-3.466961145401001	0.033460468	Yes	
