NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	0	8.165655136108398	0.025775937	Yes	
row_1	CISH	8	7.22438907623291	0.047904186	Yes	
row_2	SERPINC1	9	7.208410739898682	0.07065846	Yes	
row_3	IRF8	13	6.579859733581543	0.09113872	Yes	
row_4	ENO3	14	6.530847549438477	0.11175417	Yes	
row_5	SWAP70	37	5.738617897033691	0.12774284	Yes	
row_6	PUS1	44	5.471492767333984	0.14443448	Yes	
row_7	CD83	47	5.451237678527832	0.16144875	Yes	
row_8	BCL2L1	51	5.405547618865967	0.17822213	Yes	
row_9	TNFSF11	67	5.015333652496338	0.19260412	Yes	
row_10	PHTF2	87	4.771925449371338	0.20583121	Yes	
row_11	NOP2	91	4.713138580322266	0.22041893	Yes	
row_12	IL2RA	102	4.590158939361572	0.23394199	Yes	
row_13	PLIN2	116	4.487641334533691	0.24685152	Yes	
row_14	SYNGR2	136	4.322700023651123	0.25866055	Yes	
row_15	AHR	152	4.259438991546631	0.27065647	Yes	
row_16	TNFRSF18	165	4.163341999053955	0.28263897	Yes	
row_17	TNFRSF4	180	4.043571949005127	0.2940501	Yes	
row_18	NRP1	215	3.874541759490967	0.3029949	Yes	
row_19	CCND2	217	3.8307712078094482	0.3149906	Yes	
row_20	UCK2	238	3.7200465202331543	0.32480067	Yes	
row_21	HK2	261	3.5615415573120117	0.3339171	Yes	
row_22	PENK	265	3.5518147945404053	0.34483895	Yes	
row_23	UMPS	285	3.4682865142822266	0.35395095	Yes	
row_24	RGS16	299	3.419492483139038	0.36348873	Yes	
row_25	PLSCR1	385	3.137037992477417	0.36517704	Yes	
row_26	WLS	411	3.0436925888061523	0.37236893	Yes	
row_27	TNFRSF1B	456	2.929502487182617	0.37736425	Yes	
row_28	IL10RA	464	2.9218716621398926	0.38591105	Yes	
row_29	DHRS3	531	2.789059638977051	0.38833702	Yes	
row_30	MYO1E	581	2.665360689163208	0.39201537	Yes	
row_31	HOPX	604	2.6146621704101562	0.39814287	Yes	
row_32	CAPN3	606	2.6070806980133057	0.4062758	Yes	
row_33	TNFRSF9	697	2.430006504058838	0.40524912	Yes	
row_34	MAPKAPK2	728	2.3559515476226807	0.40978685	Yes	
row_35	BHLHE40	751	2.3283045291900635	0.41501045	Yes	
row_36	GSTO1	799	2.2591562271118164	0.41759983	Yes	
row_37	HUWE1	869	2.1705210208892822	0.41778338	Yes	
row_38	RABGAP1L	952	2.0648324489593506	0.41637707	Yes	
row_39	CCND3	982	2.0100550651550293	0.41991958	Yes	
row_40	SLC29A2	1010	1.9699331521987915	0.42352873	Yes	
row_41	GALM	1050	1.9043627977371216	0.42577124	Yes	
row_42	TNFRSF8	1053	1.898692011833191	0.43157145	Yes	
row_43	BCL2	1075	1.864920973777771	0.43542892	Yes	
row_44	ST3GAL4	1086	1.8521028757095337	0.44030896	Yes	
row_45	MYC	1183	1.7480862140655518	0.43654987	Yes	
row_46	DCPS	1234	1.6975852251052856	0.43707666	Yes	
row_47	PHLDA1	1236	1.691545844078064	0.4423196	Yes	
row_48	IRF4	1416	1.5249395370483398	0.42983523	No	
row_49	EOMES	1523	1.4344391822814941	0.4241197	No	
row_50	LCLAT1	1682	1.312557578086853	0.4129943	No	
row_51	TNFRSF21	1715	1.2898306846618652	0.41397345	No	
row_52	IFITM3	1803	1.2187999486923218	0.4094133	No	
row_53	TNFSF10	1856	1.1795953512191772	0.40811172	No	
row_54	AHCY	2273	0.9107756018638611	0.3707857	No	
row_55	TTC39B	2290	0.9004746079444885	0.372082	No	
row_56	PTRH2	2310	0.8896603584289551	0.3730542	No	
row_57	IGF2R	2313	0.8888471722602844	0.37566668	No	
row_58	XBP1	2335	0.8786004781723022	0.37641072	No	
row_59	AGER	2378	0.8617449402809143	0.37507218	No	
row_60	CAPG	2392	0.8560428023338318	0.3765181	No	
row_61	PRNP	2448	0.833339273929596	0.37383363	No	
row_62	CTSZ	2450	0.8319485783576965	0.37636313	No	
row_63	MAP3K8	2482	0.8115199208259583	0.37592906	No	
row_64	PDCD2L	2600	0.7569500803947449	0.36701193	No	
row_65	CD44	2610	0.7540613412857056	0.3685225	No	
row_66	ANXA4	2681	0.7259070873260498	0.36404932	No	
row_67	CDC6	2722	0.7071229219436646	0.36241594	No	
row_68	PTCH1	2754	0.689906895160675	0.36159799	No	
row_69	ODC1	2841	0.6550030708312988	0.35535482	No	
row_70	CXCL10	2850	0.649720311164856	0.35663262	No	
row_71	BMPR2	2866	0.6429656744003296	0.3572127	No	
row_72	IL2RB	2894	0.6288431882858276	0.3565885	No	
row_73	PRAF2	2917	0.6219022274017334	0.3564256	No	
row_74	SH3BGRL2	3056	0.577094554901123	0.34491137	No	
row_75	ETV4	3114	0.5575171709060669	0.34116292	No	
row_76	GATA1	3239	0.513775110244751	0.33080173	No	
row_77	ITIH5	3270	0.5017693042755127	0.32948652	No	
row_78	ARL4A	3434	0.45187628269195557	0.31516108	No	
row_79	CD79B	3437	0.4513517916202545	0.31639257	No	
row_80	GPR65	3717	0.3649837076663971	0.29058295	No	
row_81	S100A1	3746	0.3583570420742035	0.28900832	No	
row_82	P2RX4	3788	0.3455916941165924	0.2861371	No	
row_83	SOCS2	3828	0.3359053432941437	0.28342858	No	
row_84	CD81	3953	0.3018966317176819	0.27239856	No	
row_85	LIF	4205	0.239633709192276	0.24889912	No	
row_86	GBP4	4572	0.14846444129943848	0.21399862	No	
row_87	CCNE1	4748	0.11507700383663177	0.19745038	No	
row_88	ALCAM	4856	0.09541144222021103	0.1874114	No	
row_89	LRIG1	5045	0.06197651848196983	0.16943927	No	
row_90	PNP	5063	0.059339042752981186	0.16798376	No	
row_91	TRAF1	5225	0.03144509345293045	0.15252446	No	
row_92	ITGAV	5396	1.1951800115639344E-4	0.13609654	No	
row_93	IKZF4	5638	-0.03674320504069328	0.112923004	No	
row_94	GABARAPL1	5686	-0.044650353491306305	0.108522005	No	
row_95	AMACR	5710	-0.048158079385757446	0.10645137	No	
row_96	ENPP1	5805	-0.06499175727367401	0.09757265	No	
row_97	CASP3	5884	-0.07752343267202377	0.09027967	No	
row_98	TGM2	5981	-0.09345931559801102	0.08129753	No	
row_99	GPR83	6195	-0.13284914195537567	0.0611332	No	
row_100	DENND5A	6437	-0.1857798844575882	0.038430113	No	
row_101	MAFF	6438	-0.18591786921024323	0.039016988	No	
row_102	CYFIP1	6505	-0.19995877146720886	0.03327014	No	
row_103	SLC2A3	6555	-0.21141164004802704	0.029202271	No	
row_104	SLC39A8	6622	-0.2293640375137329	0.023548245	No	
row_105	SPRED2	6624	-0.22962705790996552	0.024176454	No	
row_106	NT5E	6630	-0.23115119338035583	0.024422929	No	
row_107	CD48	6677	-0.24395492672920227	0.0207477	No	
row_108	TWSG1	6806	-0.2760334312915802	0.009249495	No	
row_109	SNX9	6820	-0.2796918451786041	0.008876096	No	
row_110	CST7	7044	-0.34036770462989807	-0.011599546	No	
row_111	NCOA3	7140	-0.36897969245910645	-0.019615332	No	
row_112	HIPK2	7152	-0.37272465229034424	-0.019501787	No	
row_113	GPX4	7423	-0.46003296971321106	-0.04414163	No	
row_114	CTLA4	7547	-0.510420560836792	-0.05441678	No	
row_115	P4HA1	7564	-0.5144960880279541	-0.0543389	No	
row_116	KLF6	7596	-0.5275002717971802	-0.055669524	No	
row_117	FAM126B	7601	-0.5280928611755371	-0.05438908	No	
row_118	PTGER2	7642	-0.5480719804763794	-0.0565245	No	
row_119	IRF6	7679	-0.5632802844047546	-0.058225367	No	
row_120	POU2F1	7742	-0.5889334678649902	-0.062357817	No	
row_121	GADD45B	7843	-0.6285294890403748	-0.070037484	No	
row_122	MXD1	7866	-0.6383875012397766	-0.07014835	No	
row_123	PIM1	7940	-0.6715916395187378	-0.07508289	No	
row_124	CCR4	8296	-0.8373702764511108	-0.106745765	No	
row_125	SLC1A5	8309	-0.8445554971694946	-0.105239466	No	
row_126	FAH	8400	-0.9129549860954285	-0.111054935	No	
row_127	SHE	8403	-0.915408194065094	-0.10835861	No	
row_128	ADAM19	8569	-1.0117589235305786	-0.12110997	No	
row_129	PRKCH	8661	-1.0647869110107422	-0.1265428	No	
row_130	MYO1C	8699	-1.0884164571762085	-0.12668265	No	
row_131	SOCS1	8781	-1.1314507722854614	-0.13093868	No	
row_132	IL3RA	8822	-1.1669843196868896	-0.13112043	No	
row_133	ITGA6	8963	-1.2851909399032593	-0.14059274	No	
row_134	NDRG1	8981	-1.3053408861160278	-0.1381151	No	
row_135	RNH1	9044	-1.346976637840271	-0.13985468	No	
row_136	FURIN	9229	-1.5522592067718506	-0.152736	No	
row_137	RORA	9249	-1.5698655843734741	-0.14961661	No	
row_138	SNX14	9355	-1.6784467697143555	-0.15446527	No	
row_139	IL18R1	9488	-1.8554984331130981	-0.16136424	No	
row_140	LTB	9517	-1.9022566080093384	-0.15806536	No	
row_141	SMPDL3A	9599	-2.035938262939453	-0.15946625	No	
row_142	CDC42SE2	9619	-2.071531295776367	-0.15476331	No	
row_143	IGF1R	9651	-2.1253538131713867	-0.1510501	No	
row_144	APLP1	9660	-2.140857219696045	-0.14506531	No	
row_145	BATF	9776	-2.3772199153900146	-0.14867456	No	
row_146	IFNGR1	9928	-2.7109415531158447	-0.15470932	No	
row_147	TIAM1	9941	-2.7494029998779297	-0.14719012	No	
row_148	GLIPR2	9948	-2.771911382675171	-0.13902006	No	
