NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.037860695	No	
row_1	IL18	43	5.543048858642578	0.0632782	No	
row_2	PTGER4	56	5.3617262840271	0.09005744	No	
row_3	CHST2	86	4.780314922332764	0.11217409	No	
row_4	SLC7A1	120	4.465780258178711	0.13226776	No	
row_5	AHR	152	4.259438991546631	0.15147866	No	
row_6	EBI3	219	3.8196070194244385	0.16503477	No	
row_7	RGS16	299	3.419492483139038	0.17525718	No	
row_8	TNFRSF1B	456	2.929502487182617	0.17552735	No	
row_9	IL10RA	464	2.9218716621398926	0.19007643	No	
row_10	NAMPT	481	2.8823318481445312	0.20355463	No	
row_11	IL7R	582	2.6633541584014893	0.20781979	No	
row_12	TNFRSF9	697	2.430006504058838	0.20952393	No	
row_13	RIPK2	699	2.424180746078491	0.22205684	No	
row_14	NFKB1	798	2.2595603466033936	0.22441058	No	
row_15	CD82	820	2.2335546016693115	0.23402843	No	
row_16	BST2	1068	1.8711470365524292	0.22004005	No	
row_17	MYC	1183	1.7480862140655518	0.21819165	No	
row_18	CALCRL	1190	1.7393667697906494	0.22667646	No	
row_19	IRAK2	1429	1.5144773721694946	0.21169485	No	
row_20	IL15RA	1480	1.470443606376648	0.21455035	No	
row_21	RGS1	1483	1.468706488609314	0.22200952	No	
row_22	PVR	1534	1.4253618717193604	0.22463016	No	
row_23	CYBB	1577	1.3926640748977661	0.22784925	No	
row_24	TNFSF9	1733	1.275398850440979	0.21959831	No	
row_25	ATP2A2	1847	1.1852773427963257	0.214914	No	
row_26	CDKN1A	1852	1.1818578243255615	0.2206866	No	
row_27	TNFSF10	1856	1.1795953512191772	0.22654353	No	
row_28	ABCA1	1889	1.1595016717910767	0.2295089	No	
row_29	CCRL2	1908	1.1447722911834717	0.23374294	No	
row_30	SLC31A1	2087	1.0171034336090088	0.22193612	No	
row_31	IRF1	2314	0.888796865940094	0.20484816	No	
row_32	ADRM1	2607	0.7549996376037598	0.18072067	No	
row_33	PIK3R5	2766	0.686710000038147	0.1691146	No	
row_34	CXCL10	2850	0.649720311164856	0.16452321	No	
row_35	IL2RB	2894	0.6288431882858276	0.163667	No	
row_36	LY6E	3148	0.5450490117073059	0.14219359	No	
row_37	KIF1B	3266	0.5030154585838318	0.13357058	No	
row_38	CCR7	3768	0.35251256823539734	0.08726173	No	
row_39	P2RX4	3788	0.3455916941165924	0.087236255	No	
row_40	ICAM1	3876	0.32317405939102173	0.0805593	No	
row_41	MMP14	3878	0.32299891114234924	0.08214589	No	
row_42	OSM	3925	0.3112547993659973	0.07934688	No	
row_43	PTGIR	4041	0.2783951163291931	0.06974589	No	
row_44	GCH1	4045	0.2766793966293335	0.07089898	No	
row_45	LIF	4205	0.239633709192276	0.05686773	No	
row_46	ICAM4	4501	0.16927975416183472	0.02940058	No	
row_47	ATP2C1	4607	0.14315548539161682	0.02005603	No	
row_48	TLR2	4818	0.10330452769994736	4.135394E-4	No	
row_49	CXCR6	4899	0.08829529583454132	-0.00681435	No	
row_50	CD69	5212	0.03266723453998566	-0.036626868	No	
row_51	CCL5	5220	0.03164792060852051	-0.037134685	No	
row_52	SLC31A2	5395	7.048820261843503E-4	-0.053852133	No	
row_53	ITGB3	5874	-0.07494158297777176	-0.09939676	No	
row_54	IFNGR2	5984	-0.09447209537029266	-0.10937932	No	
row_55	ITGA5	6354	-0.1665758192539215	-0.14397185	No	
row_56	RHOG	6480	-0.1951899379491806	-0.15496728	No	
row_57	NFKBIA	6616	-0.22769583761692047	-0.16675436	No	
row_58	CD48	6677	-0.24395492672920227	-0.17124936	No	
row_59	CD55	6876	-0.2941712737083435	-0.18874432	No	
row_60	RAF1	7283	-0.40941300988197327	-0.2256274	No	
row_61	PSEN1	7286	-0.41038358211517334	-0.22368167	No	
row_62	AXL	7343	-0.43378695845603943	-0.22680332	No	
row_63	SRI	7379	-0.4446355402469635	-0.22785039	No	
row_64	KLF6	7596	-0.5275002717971802	-0.2458596	No	
row_65	PTGER2	7642	-0.5480719804763794	-0.24732879	No	
row_66	SLC11A2	7656	-0.553760826587677	-0.24569319	No	
row_67	EMP3	7687	-0.566543698310852	-0.24562468	No	
row_68	MXD1	7866	-0.6383875012397766	-0.25940445	No	
row_69	SLAMF1	8097	-0.7358255386352539	-0.27767372	No	
row_70	NMI	8114	-0.7447152733802795	-0.27533165	No	
row_71	LDLR	8215	-0.7963892221450806	-0.28079262	No	
row_72	ACVR2A	8248	-0.8163962960243225	-0.2796147	No	
row_73	BTG2	8615	-1.0376182794570923	-0.30938113	No	
row_74	KCNA3	8692	-1.0831354856491089	-0.3110419	No	
row_75	LCK	8866	-1.2135862112045288	-0.3213446	Yes	
row_76	PTPRE	8880	-1.2204941511154175	-0.31623563	Yes	
row_77	TAPBP	8956	-1.2785625457763672	-0.3167822	Yes	
row_78	ABI1	9035	-1.340325117111206	-0.31729534	Yes	
row_79	SEMA4D	9108	-1.4175868034362793	-0.31682935	Yes	
row_80	RELA	9112	-1.4220902919769287	-0.30970913	Yes	
row_81	LCP2	9146	-1.45304274559021	-0.30531064	Yes	
row_82	RASGRP1	9220	-1.5449825525283813	-0.3042771	Yes	
row_83	ACVR1B	9432	-1.7764832973480225	-0.3152991	Yes	
row_84	IL18R1	9488	-1.8554984331130981	-0.3109181	Yes	
row_85	ATP2B1	9606	-2.0539207458496094	-0.3114615	Yes	
row_86	IFNAR1	9640	-2.102360725402832	-0.3036803	Yes	
row_87	GPR183	9688	-2.193458318710327	-0.29676992	Yes	
row_88	IL18RAP	9696	-2.207991600036621	-0.28593984	Yes	
row_89	EIF2AK2	9715	-2.2516329288482666	-0.27593952	Yes	
row_90	GNAI3	9820	-2.4656646251678467	-0.27308863	Yes	
row_91	PDE4B	10029	-2.981137990951538	-0.27754658	Yes	
row_92	GNA15	10083	-3.19128155708313	-0.26601452	Yes	
row_93	GPR132	10286	-4.22240686416626	-0.26342937	Yes	
row_94	TLR1	10301	-4.299626350402832	-0.24237542	Yes	
row_95	GABBR1	10326	-4.468960762023926	-0.2214003	Yes	
row_96	HIF1A	10367	-4.785515785217285	-0.20031364	Yes	
row_97	P2RX7	10411	-5.2517828941345215	-0.1770862	Yes	
