NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPE1	29	5.861594200134277	0.019930204	Yes	
row_1	PNO1	31	5.830062389373779	0.042447604	Yes	
row_2	CACYBP	41	5.609005451202393	0.0633334	Yes	
row_3	HSPD1	42	5.5952887535095215	0.08503691	Yes	
row_4	EEF1E1	48	5.450740337371826	0.10569589	Yes	
row_5	EIF2S2	60	5.300622940063477	0.12519197	Yes	
row_6	HSPA9	100	4.595105171203613	0.13924192	Yes	
row_7	RRP9	130	4.393106460571289	0.15347603	Yes	
row_8	SLC7A5	147	4.288360118865967	0.16856182	Yes	
row_9	PPA1	183	4.027491092681885	0.18079713	Yes	
row_10	IFRD1	185	4.0230488777160645	0.19630532	Yes	
row_11	UCHL5	198	3.9457056522369385	0.21044905	Yes	
row_12	CCT6A	207	3.906320571899414	0.22482711	Yes	
row_13	PSME3	237	3.7232120037078857	0.23646276	Yes	
row_14	TFRC	256	3.5780036449432373	0.24859962	Yes	
row_15	HK2	261	3.5615415573120117	0.26202738	Yes	
row_16	TUBA4A	291	3.451639413833618	0.27260962	Yes	
row_17	PSMG1	298	3.4283275604248047	0.28532714	Yes	
row_18	HSPA4	318	3.348585844039917	0.29647732	Yes	
row_19	PSMC6	331	3.2981128692626953	0.30810913	Yes	
row_20	TOMM40	336	3.2899556159973145	0.32048342	Yes	
row_21	PSMA4	391	3.0986063480377197	0.32727712	Yes	
row_22	SHMT2	458	2.9282169342041016	0.33224866	Yes	
row_23	NAMPT	481	2.8823318481445312	0.3413	Yes	
row_24	ETF1	489	2.8532042503356934	0.3516899	Yes	
row_25	NUFIP1	502	2.8304407596588135	0.36150765	Yes	
row_26	PSMA3	546	2.765972852706909	0.36807552	Yes	
row_27	PHGDH	607	2.5995421409606934	0.37235278	Yes	
row_28	GTF2H1	663	2.4859423637390137	0.37667325	Yes	
row_29	PSMD12	707	2.4126157760620117	0.38187048	Yes	
row_30	GMPS	724	2.3660964965820312	0.38950002	Yes	
row_31	BHLHE40	751	2.3283045291900635	0.3960153	Yes	
row_32	COPS5	775	2.2900633811950684	0.40267253	Yes	
row_33	SYTL2	780	2.2834556102752686	0.41114274	Yes	
row_34	STIP1	832	2.217149257659912	0.41480765	Yes	
row_35	BCAT1	845	2.1989550590515137	0.42217594	Yes	
row_36	HMBS	944	2.0696840286254883	0.42072076	Yes	
row_37	TMEM97	1015	1.9650577306747437	0.42156923	Yes	
row_38	HSPA5	1134	1.7982889413833618	0.41712597	Yes	
row_39	HSP90B1	1207	1.7213530540466309	0.41683564	Yes	
row_40	PSAT1	1231	1.699216365814209	0.42120105	Yes	
row_41	PDAP1	1265	1.6609686613082886	0.4244504	Yes	
