NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRA	4	7.80339241027832	0.040866252	No	
row_1	MAPKAPK3	90	4.721996307373047	0.057623513	No	
row_2	CASP1	133	4.365180492401123	0.076645456	No	
row_3	FAM162A	162	4.181758403778076	0.09604923	No	
row_4	ST14	186	4.016826629638672	0.115063764	No	
row_5	CCND2	217	3.8307712078094482	0.13241899	No	
row_6	RGS16	299	3.419492483139038	0.14267674	No	
row_7	NOL8	654	2.504379987716675	0.12174288	No	
row_8	CD82	820	2.2335546016693115	0.11762232	No	
row_9	RPS12	826	2.224153757095337	0.12889756	No	
row_10	RPS27L	866	2.179076671600342	0.13665235	No	
row_11	CCND3	982	2.0100550651550293	0.13617699	No	
row_12	SLC3A2	1073	1.8656079769134521	0.13735136	No	
row_13	AEN	1078	1.862473726272583	0.14681114	No	
row_14	RPL18	1245	1.681915044784546	0.13967781	No	
row_15	RRP8	1348	1.587504506111145	0.1382236	No	
row_16	PVT1	1544	1.416174054145813	0.12688595	No	
row_17	TSC22D1	1679	1.3140811920166016	0.12089718	No	
row_18	HINT1	1725	1.2823779582977295	0.12333239	No	
row_19	TNFSF9	1733	1.275398850440979	0.129399	No	
row_20	ADA	1744	1.2677233219146729	0.13513544	No	
row_21	NINJ1	1787	1.2361317873001099	0.13761577	No	
row_22	CDKN1A	1852	1.1818578243255615	0.13768542	No	
row_23	PCNA	1898	1.1550743579864502	0.13944763	No	
row_24	DNTTIP2	2074	1.0232512950897217	0.1279635	No	
row_25	PIDD1	2113	1.0027865171432495	0.12959638	No	
row_26	ISCU	2160	0.9774832725524902	0.13032325	No	
row_27	SLC19A2	2248	0.925462007522583	0.12681717	No	
row_28	FDXR	2263	0.9157221913337708	0.13030663	No	
row_29	TGFB1	2265	0.914728045463562	0.13504577	No	
row_30	HRAS	2268	0.9133395552635193	0.13968104	No	
row_31	HEXIM1	2626	0.7511672973632812	0.10918928	No	
row_32	PMM1	2705	0.7132356762886047	0.1054301	No	
row_33	BLCAP	2706	0.7128249406814575	0.10919842	No	
