NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF8	13	6.579859733581543	0.038119327	No	
row_1	PTGES3	131	4.389127731323242	0.053127825	No	
row_2	UGDH	262	3.5615103244781494	0.061934024	No	
row_3	SHMT2	458	2.9282169342041016	0.0606992	No	
row_4	PGD	508	2.8189244270324707	0.07285295	No	
row_5	MTHFD1	527	2.79106068611145	0.08782161	No	
row_6	MCCC2	550	2.753502368927002	0.102180816	No	
row_7	GART	588	2.6419854164123535	0.114430055	No	
row_8	ADH5	641	2.5203113555908203	0.12450855	No	
row_9	ACP1	713	2.3932011127471924	0.13199905	No	
row_10	GSTO1	799	2.2591562271118164	0.13734096	No	
row_11	BCAT1	845	2.1989550590515137	0.14616993	No	
row_12	TMEM97	1015	1.9650577306747437	0.14167291	No	
row_13	ABHD6	1026	1.947605013847351	0.15236431	No	
row_14	ESR1	1169	1.7609390020370483	0.14924286	No	
row_15	MAOA	1196	1.7322921752929688	0.15710707	No	
row_16	COMT	1302	1.6244910955429077	0.15672792	No	
row_17	LONP1	1507	1.4508978128433228	0.14578813	No	
row_18	ARPP19	1617	1.362831473350525	0.14345865	No	
row_19	XDH	1619	1.361143708229065	0.15150669	No	
row_20	SLC6A6	1623	1.3577284812927246	0.15934193	No	
row_21	NINJ1	1787	1.2361317873001099	0.15106055	No	
row_22	ATP2A2	1847	1.1852773427963257	0.15247779	No	
row_23	ID2	2030	1.0556106567382812	0.14128883	No	
row_24	PDLIM5	2105	1.0053950548171997	0.14018704	No	
row_25	PEMT	2112	1.0035417079925537	0.1456145	No	
row_26	SLC35B1	2137	0.9892599582672119	0.14922525	No	
row_27	SSR3	2176	0.9708088636398315	0.15137905	No	
row_28	AHCY	2273	0.9107756018638611	0.14759512	No	
row_29	ETS2	2360	0.8678755760192871	0.14451632	No	
row_30	NMT1	2400	0.8536575436592102	0.14587298	No	
row_31	PTS	2446	0.8340126276016235	0.14653501	No	
row_32	ETFDH	2517	0.7919130325317383	0.1445406	No	
row_33	ACO2	2570	0.7672318816184998	0.14412978	No	
row_34	PMM1	2705	0.7132356762886047	0.135509	No	
row_35	RETSAT	2759	0.6880446672439575	0.13452819	No	
row_36	PSMB10	3037	0.5839934945106506	0.11138014	No	
row_37	DHPS	3070	0.5726089477539062	0.11172845	No	
row_38	CFB	3316	0.4864901304244995	0.09107481	No	
row_39	ACP2	3347	0.47652357816696167	0.09104058	No	
row_40	TPST1	3404	0.459107369184494	0.088401414	No	
row_41	SLC35D1	3430	0.4527220129966736	0.088705674	No	
row_42	ALAS1	3502	0.4292509853839874	0.08444515	No	
row_43	CSAD	3539	0.41658905148506165	0.08347521	No	
row_44	LPIN2	3911	0.3138887882232666	0.049669955	No	
row_45	GCH1	4045	0.2766793966293335	0.038533274	No	
row_46	GSS	4209	0.2392638921737671	0.02428728	No	
row_47	GSTM4	4579	0.1479051411151886	-0.010318757	No	
row_48	BLVRB	4668	0.13051097095012665	-0.018001843	No	
row_49	DCXR	4760	0.11291561275720596	-0.026078751	No	
row_50	NFS1	4848	0.09695128351449966	-0.033866454	No	
row_51	PPARD	4947	0.07969795167446136	-0.04281539	No	
row_52	SAR1B	5041	0.06296209245920181	-0.05138355	No	
row_53	ALDH9A1	5074	0.05617028847336769	-0.054125275	No	
row_54	PGRMC1	5089	0.05346870794892311	-0.055151895	No	
row_55	GSR	5522	-0.018749095499515533	-0.09659016	No	
row_56	GABARAPL1	5686	-0.044650353491306305	-0.1120006	No	
row_57	CAT	6311	-0.15716595947742462	-0.17107753	No	
row_58	AP4B1	6554	-0.21127599477767944	-0.19308934	No	
row_59	PROS1	7104	-0.3596104085445404	-0.24374135	No	
row_60	SPINT2	7162	-0.3752966523170471	-0.24697816	No	
row_61	CCL25	7205	-0.38654667139053345	-0.24870494	No	
row_62	NPC1	7257	-0.4014928638935089	-0.25120792	No	
row_63	CNDP2	7272	-0.4067985415458679	-0.25012043	No	
row_64	GCLC	7781	-0.6056498885154724	-0.29535687	No	
row_65	DDT	8006	-0.6950480937957764	-0.31274283	No	
row_66	APOE	8021	-0.7020674347877502	-0.30988863	No	
row_67	CYFIP2	8042	-0.7111965417861938	-0.30755693	No	
row_68	IDH1	8055	-0.7156951427459717	-0.30442885	No	
row_69	ASL	8100	-0.7362556457519531	-0.30425555	No	
row_70	ACOX1	8156	-0.7666842341423035	-0.30495816	No	
row_71	NQO1	8250	-0.8179439902305603	-0.30900902	No	
row_72	ELOVL5	8290	-0.8355614542961121	-0.30776063	No	
row_73	SLC1A5	8309	-0.8445554971694946	-0.30443862	No	
row_74	FAH	8400	-0.9129549860954285	-0.30763242	No	
row_75	PTGR1	8591	-1.0217170715332031	-0.3197936	No	
row_76	IGFBP4	8619	-1.0414354801177979	-0.31615922	No	
row_77	TMBIM6	8628	-1.0463535785675049	-0.31066796	No	
row_78	BPHL	8942	-1.266813039779663	-0.333193	No	
row_79	SERTAD1	8972	-1.292659878730774	-0.32824782	No	
row_80	HACL1	9001	-1.3206599950790405	-0.3230389	No	
row_81	ECH1	9260	-1.5818649530410767	-0.3383889	Yes	
row_82	SLC12A4	9294	-1.6121716499328613	-0.3319167	Yes	
row_83	CROT	9307	-1.6279956102371216	-0.32332996	Yes	
row_84	HES6	9317	-1.6357163190841675	-0.3144085	Yes	
row_85	CASP6	9452	-1.801962971687317	-0.31651506	Yes	
row_86	DHRS1	9478	-1.8401583433151245	-0.30790925	Yes	
row_87	JUP	9496	-1.8736342191696167	-0.2983337	Yes	
row_88	ALDH2	9522	-1.9062316417694092	-0.28933257	Yes	
row_89	TKFC	9539	-1.9380912780761719	-0.27927518	Yes	
row_90	EPHX1	9553	-1.9679597616195679	-0.26875052	Yes	
row_91	DDAH2	9585	-2.0154924392700195	-0.25967273	Yes	
row_92	TNFRSF1A	9604	-2.048508644104004	-0.24914703	Yes	
row_93	SMOX	9620	-2.0720715522766113	-0.2381918	Yes	
row_94	CYB5A	9628	-2.0868303775787354	-0.2263788	Yes	
row_95	CBR1	9629	-2.087902069091797	-0.21388613	Yes	
row_96	SLC46A3	9652	-2.125354766845703	-0.20328535	Yes	
row_97	TMEM176B	9662	-2.1434268951416016	-0.19132608	Yes	
row_98	ACOX3	9671	-2.162992477416992	-0.17915358	Yes	
row_99	NDRG2	9682	-2.189516305923462	-0.16701472	Yes	
row_100	POR	9690	-2.198479175567627	-0.15453368	Yes	
row_101	GSTT2	9834	-2.486774206161499	-0.15340838	Yes	
row_102	PINK1	9865	-2.55189847946167	-0.1410249	Yes	
row_103	ENTPD5	9888	-2.596358060836792	-0.12760594	Yes	
row_104	HMOX1	9903	-2.6173505783081055	-0.11329193	Yes	
row_105	FBLN1	9952	-2.781780481338501	-0.10126424	Yes	
row_106	MPP2	10015	-2.93916654586792	-0.0896414	Yes	
row_107	CYP2S1	10110	-3.2895493507385254	-0.0789999	Yes	
row_108	FAS	10185	-3.6099801063537598	-0.06451752	Yes	
row_109	DHRS7	10283	-4.2076311111450195	-0.04867135	Yes	
row_110	HSD11B1	10414	-5.265027046203613	-0.02967239	Yes	
row_111	IL1R1	10472	-6.4541473388671875	0.003462767	Yes	
