NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTTN	197	3.9501850605010986	0.017800631	No	
row_1	MKKS	836	2.213735580444336	-0.022852067	No	
row_2	HAX1	1003	1.9827693700790405	-0.020357724	No	
row_3	RDX	1893	1.1571455001831055	-0.094914146	No	
row_4	CAPG	2392	0.8560428023338318	-0.13474798	No	
row_5	DBNL	2846	0.6534960865974426	-0.17214568	No	
row_6	VASP	2858	0.6463067531585693	-0.16719581	No	
row_7	PRKCD	2954	0.6123350262641907	-0.17062226	No	
row_8	COTL1	3035	0.5844356417655945	-0.17286853	No	
row_9	ARFGEF1	3042	0.5808786153793335	-0.16804683	No	
row_10	SVIL	3681	0.3732036054134369	-0.22580159	No	
row_11	MYADM	3720	0.36461886763572693	-0.22606006	No	
row_12	CCR7	3768	0.35251256823539734	-0.22729467	No	
row_13	ABL1	4184	0.24598664045333862	-0.2648324	No	
row_14	CDC42EP4	4309	0.21517899632453918	-0.27473205	No	
row_15	RASA1	4809	0.10436352342367172	-0.3216464	No	
row_16	MTOR	4841	0.09850779920816422	-0.32370582	No	
row_17	LATS1	4853	0.09616784006357193	-0.3238678	No	
row_18	PFN1	4945	0.08008766174316406	-0.331856	No	
row_19	CAPZA2	5601	-0.032599739730358124	-0.39440694	No	
row_20	MLST8	5612	-0.03419167920947075	-0.39504883	No	
row_21	BBS4	5815	-0.0660819485783577	-0.41381875	No	
row_22	WASL	5995	-0.09583466500043869	-0.43010512	No	
row_23	CAPZA1	6010	-0.09816427528858185	-0.43053642	No	
row_24	WAS	6165	-0.12678654491901398	-0.44413617	No	
row_25	DLG1	6179	-0.12894177436828613	-0.44418555	No	
row_26	GBA2	6219	-0.1381181925535202	-0.4466446	No	
row_27	ARPC5	6290	-0.15272662043571472	-0.45194268	No	
row_28	ARPC4	6392	-0.17645961046218872	-0.459995	No	
row_29	RAC1	6477	-0.19509465992450714	-0.46624285	No	
row_30	CYFIP1	6505	-0.19995877146720886	-0.46697578	No	
row_31	NCK1	6565	-0.21319305896759033	-0.47065645	No	
row_32	ARPC1A	6692	-0.24822358787059784	-0.48044094	No	
row_33	KANK3	6698	-0.24898600578308105	-0.4786072	No	
row_34	MTPN	6724	-0.2556320130825043	-0.4786309	No	
