NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SWAP70	37	5.738617897033691	0.041726246	No	
row_1	CTTN	197	3.9501850605010986	0.05761151	No	
row_2	MKKS	836	2.213735580444336	0.013745672	No	
row_3	HAX1	1003	1.9827693700790405	0.013433174	No	
row_4	MICAL3	1259	1.668766975402832	0.0020868469	No	
row_5	RDX	1893	1.1571455001831055	-0.049635835	No	
row_6	WIPF1	2376	0.8618922233581543	-0.089171916	No	
row_7	CAPG	2392	0.8560428023338318	-0.08385894	No	
row_8	DBNL	2846	0.6534960865974426	-0.12225153	No	
row_9	VASP	2858	0.6463067531585693	-0.11820904	No	
row_10	PRKCD	2954	0.6123350262641907	-0.12250998	No	
row_11	COTL1	3035	0.5844356417655945	-0.12558904	No	
row_12	ARFGEF1	3042	0.5808786153793335	-0.121582165	No	
row_13	PLEK	3617	0.3936557173728943	-0.17365754	No	
row_14	SVIL	3681	0.3732036054134369	-0.17676912	No	
row_15	MYADM	3720	0.36461886763572693	-0.17754507	No	
row_16	CCR7	3768	0.35251256823539734	-0.17928177	No	
row_17	PDXP	4048	0.27657362818717957	-0.2039211	No	
row_18	ABL1	4184	0.24598664045333862	-0.2149583	No	
row_19	CDC42EP4	4309	0.21517899632453918	-0.22518112	No	
row_20	CFL2	4530	0.16092240810394287	-0.24506105	No	
row_21	ARHGAP35	4544	0.1558140367269516	-0.24508129	No	
row_22	RASA1	4809	0.10436352342367172	-0.2696375	No	
row_23	MTOR	4841	0.09850779920816422	-0.27184036	No	
row_24	LATS1	4853	0.09616784006357193	-0.272139	No	
row_25	PFN1	4945	0.08008766174316406	-0.28025535	No	
row_26	PIK3CA	5135	0.044957153499126434	-0.2980702	No	
row_27	WDR1	5470	-0.011236674152314663	-0.33009073	No	
row_28	SH3BP1	5578	-0.027833200991153717	-0.34015757	No	
row_29	CAPZA2	5601	-0.032599739730358124	-0.3420153	No	
row_30	MLST8	5612	-0.03419167920947075	-0.34270686	No	
row_31	BBS4	5815	-0.0660819485783577	-0.36160475	No	
row_32	ABI2	5868	-0.0734407976269722	-0.36602426	No	
row_33	WASL	5995	-0.09583466500043869	-0.3773811	No	
row_34	CAPZA1	6010	-0.09816427528858185	-0.37795237	No	
row_35	WAS	6165	-0.12678654491901398	-0.39175674	No	
row_36	DLG1	6179	-0.12894177436828613	-0.39198905	No	
row_37	GBA2	6219	-0.1381181925535202	-0.39464843	No	
row_38	PPP1R9B	6270	-0.1483168751001358	-0.39828482	No	
row_39	ARPC5	6290	-0.15272662043571472	-0.39890623	No	
row_40	ARPC4	6392	-0.17645961046218872	-0.4072235	No	
row_41	RAC1	6477	-0.19509465992450714	-0.41375935	No	
row_42	CYFIP1	6505	-0.19995877146720886	-0.41477716	No	
row_43	NCK1	6565	-0.21319305896759033	-0.41876683	No	
row_44	ARPC1A	6692	-0.24822358787059784	-0.42892116	No	
row_45	KANK3	6698	-0.24898600578308105	-0.4274371	No	
row_46	MTPN	6724	-0.2556320130825043	-0.4278233	No	
row_47	SNX9	6820	-0.2796918451786041	-0.43474913	No	
row_48	SPTB	6857	-0.2899876832962036	-0.4359217	No	
row_49	CFL1	6889	-0.2981947362422943	-0.43654886	No	
row_50	CAPZB	6924	-0.3079381585121155	-0.43738753	No	
row_51	BAG4	6962	-0.31769129633903503	-0.43843764	No	
row_52	CIT	6992	-0.3283645510673523	-0.43863446	No	
row_53	PRKCE	7313	-0.4216625988483429	-0.46607044	No	
row_54	FLII	7376	-0.4441377818584442	-0.46852615	No	
row_55	SSH3	7412	-0.4571263790130615	-0.46828374	No	
row_56	FCHSD2	7452	-0.4693569540977478	-0.46832934	No	
row_57	TRIOBP	7468	-0.47824883460998535	-0.46599752	No	
row_58	PFN2	7767	-0.5990476012229919	-0.48991877	No	
row_59	ARPC5L	7773	-0.6006110906600952	-0.48566005	No	
row_60	ARF6	7790	-0.6080159544944763	-0.4824004	No	
row_61	CDC42EP3	7875	-0.6421576142311096	-0.4854085	No	
row_62	ARPC2	8037	-0.7080507874488831	-0.4952991	Yes	
row_63	CYFIP2	8042	-0.7111965417861938	-0.4900716	Yes	
row_64	NCK2	8045	-0.7123585343360901	-0.48464268	Yes	
row_65	RHOA	8056	-0.7166740894317627	-0.4799488	Yes	
row_66	TWF1	8127	-0.7500826120376587	-0.48075938	Yes	
row_67	SSH1	8166	-0.7689342498779297	-0.4783449	Yes	
row_68	HCLS1	8200	-0.7879077792167664	-0.47529998	Yes	
row_69	TMOD3	8233	-0.8096892833709717	-0.4719871	Yes	
row_70	GRB2	8245	-0.814365565776825	-0.46661845	Yes	
row_71	MSRB1	8278	-0.8310242295265198	-0.4631372	Yes	
row_72	TMSB4X	8386	-0.8972721695899963	-0.46634334	Yes	
row_73	HIP1R	8391	-0.9084157943725586	-0.4595596	Yes	
row_74	MSRB2	8506	-0.9726372361183167	-0.46284398	Yes	
row_75	ARHGAP18	8553	-1.0036951303482056	-0.4593461	Yes	
