NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PER2	358	3.218944787979126	0.020402005	No	
row_1	ITGB1	726	2.3575551509857178	0.025345312	No	
row_2	TNF	1857	1.1795778274536133	-0.06247574	No	
row_3	P2RY1	2239	0.9300537109375	-0.083063416	No	
row_4	ADORA2A	2270	0.9115440249443054	-0.07047565	No	
row_5	SLC18A2	3526	0.42082804441452026	-0.18308337	No	
row_6	RGS2	3559	0.4117419123649597	-0.17915775	No	
row_7	SLC12A2	3754	0.35549870133399963	-0.19164197	No	
row_8	DTNBP1	5508	-0.01624082587659359	-0.35862172	No	
row_9	ARL6IP5	5564	-0.025881294161081314	-0.36343065	No	
row_10	TOR1A	5799	-0.06416302919387817	-0.38466924	No	
row_11	RAB3GAP1	6696	-0.2486579418182373	-0.46594268	No	
row_12	PSEN1	7286	-0.41038358211517334	-0.51518387	No	
row_13	ARL6IP1	8538	-0.9908973574638367	-0.6177476	No	
row_14	KCNB1	8931	-1.2575767040252686	-0.6338335	No	
row_15	SV2A	9254	-1.5729453563690186	-0.63789535	Yes	
row_16	STXBP1	9268	-1.5854383707046509	-0.61226356	Yes	
row_17	ABAT	9680	-2.1840767860412598	-0.6144587	Yes	
row_18	RAB3A	9736	-2.2969284057617188	-0.5807748	Yes	
row_19	STX1A	9804	-2.4380271434783936	-0.5458443	Yes	
row_20	PINK1	9865	-2.55189847946167	-0.5083159	Yes	
row_21	SYT13	10050	-3.0719099044799805	-0.47380456	Yes	
row_22	KCNA2	10141	-3.4292373657226562	-0.42426816	Yes	
row_23	SLC43A2	10216	-3.762531280517578	-0.36755607	Yes	
row_24	SLC43A1	10267	-4.114279270172119	-0.3025922	Yes	
row_25	GABBR1	10326	-4.468960762023926	-0.23238	Yes	
row_26	P2RX7	10411	-5.2517828941345215	-0.15138014	Yes	
row_27	SYT11	10508	-9.471718788146973	-3.587047E-9	Yes	
