NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGR	88	4.757086753845215	0.04286827	No	
row_1	TMEM38B	1496	1.457044005393982	-0.07603824	No	
row_2	BCOR	1531	1.4264729022979736	-0.06391194	No	
row_3	BMP7	1681	1.312984824180603	-0.06401186	No	
row_4	ATF4	2079	1.020234227180481	-0.09099554	No	
row_5	ROCK2	2169	0.9735248684883118	-0.08901477	No	
row_6	TGFB1	2265	0.914728045463562	-0.08824195	No	
row_7	ERCC2	2596	0.7591966390609741	-0.11162971	No	
row_8	BMPR2	2866	0.6429656744003296	-0.13043438	No	
row_9	GATA1	3239	0.513775110244751	-0.16048647	No	
row_10	MINPP1	3856	0.3282855749130249	-0.21588321	No	
row_11	FBXO5	4021	0.2831849157810211	-0.22852089	No	
row_12	TUFT1	4075	0.26969242095947266	-0.23068404	No	
row_13	TXLNG	4464	0.17679943144321442	-0.2659	No	
row_14	HEY1	4568	0.1496797353029251	-0.2741408	No	
row_15	TCIRG1	5492	-0.013654910959303379	-0.36230206	No	
row_16	ITGB1BP1	5632	-0.03615328297019005	-0.37521115	No	
row_17	ZMPSTE24	5672	-0.041945602744817734	-0.37849027	No	
row_18	LTF	5762	-0.058698948472738266	-0.38637254	No	
row_19	ENPP1	5805	-0.06499175727367401	-0.38969022	No	
row_20	SLC20A1	5993	-0.09565047919750214	-0.4065503	No	
row_21	CNNM4	6013	-0.09877035766839981	-0.40730324	No	
row_22	SBDS	6110	-0.11620427668094635	-0.41523525	No	
row_23	ZBTB40	6302	-0.15395578742027283	-0.43184942	No	
row_24	ATRAID	6665	-0.24059119820594788	-0.46389005	No	
row_25	EIF2AK3	6815	-0.27901333570480347	-0.47513756	No	
row_26	SNX10	6833	-0.28285181522369385	-0.47371453	No	
row_27	TMEM119	7210	-0.3878052532672882	-0.5055074	No	
row_28	TFIP11	7299	-0.4175819754600525	-0.5094248	No	
row_29	FBXL15	7768	-0.599507749080658	-0.5477374	No	
row_30	GPM6B	7944	-0.6720864176750183	-0.55723464	No	
row_31	ROCK1	7964	-0.6789587140083313	-0.5517324	No	
row_32	IFT80	8199	-0.7877734899520874	-0.5656272	No	
row_33	ATG4B	8232	-0.8092014789581299	-0.55996454	No	
row_34	ACVR2A	8248	-0.8163962960243225	-0.5525979	No	
row_35	KLF10	8704	-1.0908011198043823	-0.5843699	No	
row_36	BMP2K	9135	-1.438145637512207	-0.61000526	Yes	
row_37	TRPM4	9166	-1.475752353668213	-0.59696496	Yes	
row_38	SLC4A2	9338	-1.6571729183197021	-0.5954589	Yes	
row_39	ISG15	9481	-1.8457163572311401	-0.58914554	Yes	
row_40	NBR1	9514	-1.8975062370300293	-0.5717495	Yes	
row_41	ATP2B1	9606	-2.0539207458496094	-0.558312	Yes	
row_42	ADRB2	9657	-2.133375883102417	-0.54009515	Yes	
row_43	PTK2B	9731	-2.281625986099243	-0.5224805	Yes	
row_44	NOTCH1	9915	-2.658745765686035	-0.5113243	Yes	
row_45	SRGN	9931	-2.717839479446411	-0.48345754	Yes	
row_46	ECM1	9997	-2.901963710784912	-0.4583894	Yes	
row_47	ANO6	10037	-3.0113272666931152	-0.42965463	Yes	
row_48	AXIN2	10069	-3.161546230316162	-0.39853492	Yes	
row_49	SMAD3	10096	-3.2441225051879883	-0.36604652	Yes	
row_50	FAM20A	10262	-4.08832311630249	-0.33775544	Yes	
row_51	STIM1	10336	-4.546549320220947	-0.2957219	Yes	
row_52	HIF1A	10367	-4.785515785217285	-0.24699795	Yes	
row_53	SBNO2	10387	-5.015576362609863	-0.1947412	Yes	
row_54	P2RX7	10411	-5.2517828941345215	-0.14032055	Yes	
row_55	TGFB3	10461	-6.164294242858887	-0.07854937	Yes	
row_56	S1PR1	10497	-7.693912506103516	0.0010525808	Yes	
