NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAPN3	606	2.6070806980133057	-0.042045817	No	
row_1	GSTO1	799	2.2591562271118164	-0.046402752	No	
row_2	FKBP1A	807	2.247637987136841	-0.03301758	No	
row_3	ANXA6	868	2.1735904216766357	-0.025199097	No	
row_4	STOML2	889	2.13523268699646	-0.013768836	No	
row_5	SUMO1	895	2.132258892059326	-9.127863E-4	No	
row_6	YWHAE	901	2.121267318725586	0.011874511	No	
row_7	TSPAN13	935	2.0795300006866455	0.02170454	No	
row_8	VDAC1	1117	1.8182207345962524	0.015648725	No	
row_9	PTPN6	1261	1.6649576425552368	0.012293358	No	
row_10	TMEM38B	1496	1.457044005393982	-0.0011251704	No	
row_11	PMPCB	1711	1.2909756898880005	-0.01365662	No	
row_12	ATP2A2	1847	1.1852773427963257	-0.019242099	No	
row_13	ATG5	1926	1.1308794021606445	-0.019679157	No	
row_14	TRPM7	2009	1.0733283758163452	-0.020861372	No	
row_15	CYBA	2238	0.9301607012748718	-0.03699786	No	
row_16	PRNP	2448	0.833339273929596	-0.051910408	No	
row_17	ORAI1	2641	0.7405916452407837	-0.06576613	No	
row_18	MCU	2668	0.7322802543640137	-0.06368925	No	
row_19	TMCO1	2678	0.7272008657455444	-0.060007162	No	
row_20	THY1	2826	0.6595978736877441	-0.07003634	No	
row_21	SEC61A1	2830	0.658231258392334	-0.06620791	No	
row_22	CHERP	2843	0.654309093952179	-0.06327064	No	
row_23	CXCL10	2850	0.649720311164856	-0.059784327	No	
row_24	F2RL3	2912	0.6232563853263855	-0.061759647	No	
row_25	CUL5	3113	0.5576151013374329	-0.07753025	No	
row_26	PDPK1	3433	0.4523342251777649	-0.10541823	No	
row_27	PSEN2	3456	0.4439411461353302	-0.10475977	No	
row_28	SLC35G1	3489	0.4325554668903351	-0.105135456	No	
row_29	SLC25A25	3695	0.37106508016586304	-0.122554414	No	
row_30	PRKACA	3725	0.36346736550331116	-0.12307337	No	
row_31	CCR7	3768	0.35251256823539734	-0.124912664	No	
row_32	P2RX4	3788	0.3455916941165924	-0.12458051	No	
row_33	F2R	3823	0.3365781009197235	-0.12574913	No	
row_34	PLA2G6	3926	0.3105132579803467	-0.1336287	No	
row_35	CACNA1D	4145	0.2530631422996521	-0.15303756	No	
row_36	ABL1	4184	0.24598664045333862	-0.15515801	No	
row_37	LETM1	4278	0.2214387059211731	-0.16272812	No	
row_38	RRAD	4379	0.19878360629081726	-0.17111398	No	
row_39	AFG3L2	4422	0.1869170069694519	-0.17398909	No	
row_40	MICU3	4440	0.1829739212989807	-0.17448154	No	
row_41	PKD1L3	4571	0.14865092933177948	-0.18606977	No	
row_42	BAX	4605	0.1435282975435257	-0.18834965	No	
row_43	ATP2C1	4607	0.14315548539161682	-0.18755049	No	
row_44	MCOLN3	4914	0.08691760897636414	-0.21647239	No	
row_45	ATP2B4	4924	0.08522390574216843	-0.21680593	No	
row_46	SESTD1	5020	0.06658640503883362	-0.22553724	No	
row_47	CALM1	5047	0.0612175352871418	-0.22765793	No	
row_48	SMDT1	5213	0.03262333944439888	-0.24334216	No	
row_49	ITGAV	5396	1.1951800115639344E-4	-0.2608667	No	
row_50	FMR1	5497	-0.014834550209343433	-0.27040318	No	
row_51	TMEM165	5552	-0.023090533912181854	-0.27545854	No	
row_52	PDE4D	5629	-0.0359916165471077	-0.28255165	No	
row_53	UBQLN1	5761	-0.05842795968055725	-0.29480055	No	
row_54	PKD1	5882	-0.07730017602443695	-0.30587214	No	
row_55	HTT	6014	-0.0988054871559143	-0.31786844	No	
row_56	GEM	6203	-0.13467556238174438	-0.33512908	No	
row_57	DDIT3	6206	-0.1352464109659195	-0.33447567	No	
row_58	ATP2A1	6255	-0.14678646624088287	-0.33817956	No	
row_59	STIM2	6543	-0.2099035680294037	-0.3645026	No	
row_60	CATSPER2	6652	-0.2360435426235199	-0.37342575	No	
row_61	ITPR2	6679	-0.2445560097694397	-0.37439963	No	
row_62	HAP1	6740	-0.2583633065223694	-0.3785611	No	
row_63	ORAI3	7215	-0.38867563009262085	-0.42177266	No	
row_64	MICU2	7259	-0.40245524048805237	-0.42339584	No	
row_65	PSEN1	7286	-0.41038358211517334	-0.42333245	No	
row_66	PRKCE	7313	-0.4216625988483429	-0.42319852	No	
row_67	SRI	7379	-0.4446355402469635	-0.4266763	No	
row_68	CRACR2A	7414	-0.4576873779296875	-0.42708737	No	
row_69	UBASH3B	7427	-0.46063750982284546	-0.42536154	No	
