NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPID	7	7.250855922698975	0.07245401	Yes	
row_1	HSPE1	29	5.861594200134277	0.12955794	Yes	
row_2	CD74	33	5.807124614715576	0.18783487	Yes	
row_3	HSPA9	100	4.595105171203613	0.22786064	Yes	
row_4	CCT4	103	4.571254730224609	0.2737697	Yes	
row_5	PTGES3	131	4.389127731323242	0.31544992	Yes	
row_6	CCT3	166	4.142268180847168	0.3539708	Yes	
row_7	CCT6A	207	3.906320571899414	0.38953808	Yes	
row_8	CCT5	233	3.7453911304473877	0.42491767	Yes	
row_9	CCT8	276	3.504429817199707	0.45624056	Yes	
row_10	FKBP4	292	3.450495481491089	0.48960304	Yes	
row_11	TCP1	425	3.0090830326080322	0.50731885	Yes	
row_12	PDCD5	470	2.9063775539398193	0.5324191	Yes	
row_13	CCT7	472	2.9042680263519287	0.56161255	Yes	
row_14	ST13	566	2.695758581161499	0.57990015	Yes	
row_15	FKBP1A	807	2.247637987136841	0.57960296	Yes	
row_16	HSPA8	818	2.2368874549865723	0.6012048	Yes	
row_17	PDIA4	859	2.1886072158813477	0.6194492	Yes	
row_18	CHORDC1	890	2.133469820022583	0.63809437	Yes	
row_19	TRAP1	897	2.1300103664398193	0.6590011	Yes	
row_20	HSPA5	1134	1.7982889413833618	0.654555	Yes	
row_21	CCT2	1144	1.7901852130889893	0.6717476	Yes	
row_22	HSPH1	1376	1.559981346130371	0.6653766	Yes	
row_23	P3H1	1423	1.517675757408142	0.6762807	Yes	
row_24	DNAJC24	1434	1.5083930492401123	0.6905357	Yes	
row_25	SDF2L1	1696	1.3034244775772095	0.6787069	No	
row_26	PDCL3	2438	0.8362597227096558	0.6162381	No	
row_27	HSPA14	2467	0.8183649778366089	0.62181205	No	
row_28	HSPA13	2929	0.6186221241950989	0.58394015	No	
row_29	FKBP2	2962	0.6085118651390076	0.58701503	No	
row_30	DNAJB4	3149	0.5446807146072388	0.57471067	No	
row_31	FKBP5	3599	0.3989672064781189	0.53577185	No	
row_32	DNAJB12	3727	0.3628285527229309	0.52727896	No	
row_33	DNAJB2	3891	0.31874722242355347	0.51489687	No	
row_34	DNAJB5	3934	0.30857014656066895	0.51399	No	
row_35	PEX19	4163	0.24928776919841766	0.49468794	No	
row_36	DNAJB1	4714	0.12124504894018173	0.44328412	No	
row_37	BAG1	4933	0.08291058987379074	0.42326102	No	
row_38	TOR1B	5163	0.041156016290187836	0.4017643	No	
row_39	HSPB6	5197	0.03493024408817291	0.39895895	No	
row_40	CRTAP	5315	0.016251934692263603	0.38792777	No	
row_41	TOR1A	5799	-0.06416302919387817	0.34235916	No	
row_42	UNC45A	6017	-0.09978007525205612	0.32260185	No	
row_43	HSPA1B	6104	-0.11560181528329849	0.31553882	No	
row_44	DNAJC5	6628	-0.23079165816307068	0.26782325	No	
row_45	DFFA	6759	-0.2632165253162384	0.25803876	No	
row_46	HSPA1A	6850	-0.28759294748306274	0.25232747	No	
row_47	DNAJC18	6941	-0.3126296401023865	0.24686867	No	
row_48	CSNK2A1	7189	-0.3824092447757721	0.22709112	No	
row_49	DNAJB6	7519	-0.4986439347267151	0.20063962	No	
row_50	DNAJB14	7614	-0.5320262908935547	0.19701067	No	
row_51	SDF2	7889	-0.6479706168174744	0.17732777	No	
row_52	HSPA2	8209	-0.7945796847343445	0.1548176	No	
row_53	DNAJC7	8418	-0.9267191886901855	0.14426102	No	
row_54	GAK	8490	-0.9598431587219238	0.14714728	No	
row_55	PPIB	8555	-1.0055898427963257	0.1511647	No	
row_56	DNAJB13	8934	-1.2603670358657837	0.12770651	No	
row_57	TOR2A	9724	-2.2613539695739746	0.07501677	No	
