NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCYOX1	2080	1.020184874534607	-0.16574839	No	
row_1	SLC26A10	3010	0.5927430987358093	-0.23541027	No	
row_2	SLC12A2	3754	0.35549870133399963	-0.29490176	No	
row_3	CLCN3	6272	-0.1485242247581482	-0.5300676	No	
row_4	CLCN7	6778	-0.2682013511657715	-0.569656	No	
row_5	SLC26A2	6797	-0.27309268712997437	-0.56267226	No	
row_6	SLC26A6	6848	-0.28662940859794617	-0.55830723	No	
row_7	CLCN6	8891	-1.227217435836792	-0.7138388	Yes	
row_8	SLC12A4	9294	-1.6121716499328613	-0.70079815	Yes	
row_9	SLC12A8	9681	-2.1889941692352295	-0.6678579	Yes	
row_10	LRRC8A	9728	-2.2761378288269043	-0.59973603	Yes	
row_11	SLC12A9	9761	-2.35166072845459	-0.52787405	Yes	
row_12	SLC12A6	9879	-2.568972110748291	-0.45719102	Yes	
row_13	ANO6	10037	-3.0113272666931152	-0.37622926	Yes	
row_14	SLC4A8	10268	-4.123136043548584	-0.2668086	Yes	
row_15	SLC12A7	10319	-4.440528392791748	-0.13012153	Yes	
row_16	GABRR2	10350	-4.647321701049805	0.015059139	Yes	
