NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.12206298	Yes	
row_1	RCL1	110	4.508786678314209	0.2046544	Yes	
row_2	NOB1	267	3.5448877811431885	0.26138216	Yes	
row_3	EXOSC7	344	3.2569289207458496	0.31992498	Yes	
row_4	EXOSC2	368	3.179539918899536	0.38196072	Yes	
row_5	TBL3	457	2.929062843322754	0.4327355	Yes	
row_6	TSR1	466	2.9159536361694336	0.49087757	Yes	
row_7	BOP1	478	2.8917932510375977	0.5482454	Yes	
row_8	UTP20	572	2.6815292835235596	0.5935427	Yes	
row_9	ERI3	992	2.002744436264038	0.5940269	Yes	
row_10	RRS1	1087	1.8490773439407349	0.62241244	Yes	
row_11	NOP14	1588	1.3805376291275024	0.6025999	Yes	
row_12	EXOSC3	1661	1.3269238471984863	0.62253624	Yes	
row_13	ABT1	1748	1.2659112215042114	0.6399044	Yes	
row_14	EXOSC9	1753	1.2632741928100586	0.6650422	Yes	
row_15	NOL9	1939	1.1221702098846436	0.67006195	Yes	
row_16	RPP40	1952	1.1131724119186401	0.69140434	Yes	
row_17	NOP9	2029	1.0562416315078735	0.705491	Yes	
row_18	EXOSC8	2085	1.0178048610687256	0.72080463	Yes	
row_19	EXOSC10	2297	0.8960273265838623	0.7187756	No	
row_20	BMS1	2820	0.6626753807067871	0.6823626	No	
row_21	RPS21	2853	0.6483086347579956	0.6924063	No	
row_22	RRP36	4527	0.16183599829673767	0.53606856	No	
row_23	UTP23	6015	-0.09946046769618988	0.39621556	No	
row_24	ERI1	6169	-0.12787823379039764	0.38420236	No	
row_25	KRI1	7971	-0.6818200945854187	0.22615749	No	
row_26	ERI2	8188	-0.7812047004699707	0.22133186	No	
