NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNX27	1636	1.3446143865585327	-0.12866908	No	
row_1	CHMP2B	1812	1.2125968933105469	-0.120422065	No	
row_2	ARL8B	2018	1.0621474981307983	-0.118140705	No	
row_3	SNX16	2477	0.8142721056938171	-0.14514461	No	
row_4	HOOK1	2729	0.7021812200546265	-0.15467297	No	
row_5	MVB12A	2887	0.6307353377342224	-0.15668865	No	
row_6	VCP	2943	0.6152405142784119	-0.1492748	No	
row_7	AKTIP	2961	0.608884871006012	-0.13836	No	
row_8	HOOK3	3151	0.5434861779212952	-0.14523092	No	
row_9	MTM1	3986	0.2926710247993469	-0.218913	No	
row_10	CHMP3	4692	0.126191183924675	-0.28369448	No	
row_11	TRAK1	5133	0.045317601412534714	-0.32481414	No	
row_12	TGFBRAP1	5282	0.022247161716222763	-0.33850107	No	
row_13	VPS41	5403	-7.209969917312264E-4	-0.3499552	No	
row_14	HMGXB4	5431	-0.005486031994223595	-0.35242274	No	
row_15	EPG5	5459	-0.009300347417593002	-0.35481173	No	
row_16	RAB12	5486	-0.013142862357199192	-0.357026	No	
row_17	TSG101	5622	-0.035333648324012756	-0.36920094	No	
row_18	M6PR	5903	-0.08058492094278336	-0.3943023	No	
row_19	VPS4B	5991	-0.09554105252027512	-0.40064973	No	
row_20	VPS33B	6192	-0.13256411254405975	-0.41703463	No	
row_21	SNAPIN	6465	-0.19215638935565948	-0.43907368	No	
row_22	RNF157	6593	-0.22363021969795227	-0.44660616	No	
row_23	VPS33A	6737	-0.25804272294044495	-0.45495915	No	
row_24	VPS11	7033	-0.3373187482357025	-0.4762069	No	
row_25	VIPAS39	8004	-0.6948633193969727	-0.5546043	Yes	
row_26	ATG14	8020	-0.7015144228935242	-0.5415907	Yes	
row_27	CLEC16A	8052	-0.7153396010398865	-0.5298216	Yes	
row_28	STX8	8360	-0.8776074647903442	-0.54108936	Yes	
row_29	SCYL2	8408	-0.9188916683197021	-0.5266574	Yes	
row_30	TPCN2	8513	-0.9756613969802856	-0.5165041	Yes	
row_31	GPRASP1	8764	-1.125009536743164	-0.517229	Yes	
row_32	UEVLD	8886	-1.2244961261749268	-0.50357586	Yes	
row_33	VPS16	8888	-1.2256020307540894	-0.47843102	Yes	
row_34	VPS18	8983	-1.3073146343231201	-0.46049178	Yes	
row_35	HOOK2	9165	-1.4750847816467285	-0.44741246	Yes	
row_36	LYST	9329	-1.6490334272384644	-0.42903045	Yes	
row_37	VPS39	9342	-1.6642390489578247	-0.39590344	Yes	
row_38	UBXN6	9418	-1.7537992000579834	-0.36695325	Yes	
row_39	ADRB2	9657	-2.133375883102417	-0.34576464	Yes	
row_40	KIF13A	9816	-2.4590892791748047	-0.31022218	Yes	
row_41	AP3D1	10038	-3.020979404449463	-0.2691292	Yes	
row_42	BIN1	10108	-3.280125379562378	-0.20817187	Yes	
row_43	DENND3	10137	-3.3988380432128906	-0.14085118	Yes	
row_44	MGRN1	10180	-3.591116428375244	-0.0709087	Yes	
row_45	DTX3L	10382	-4.960660457611084	0.012042211	Yes	
