NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEDD4	288	3.463336944580078	0.0034540552	No	
row_1	HSPA8	818	2.2368874549865723	-0.027253458	No	
row_2	SNX27	1636	1.3446143865585327	-0.09363416	No	
row_3	CHMP2B	1812	1.2125968933105469	-0.099547096	No	
row_4	ARL8B	2018	1.0621474981307983	-0.10969256	No	
row_5	IGF2R	2313	0.8888471722602844	-0.12994182	No	
row_6	CHMP7	2347	0.8732960224151611	-0.12526596	No	
row_7	SNX16	2477	0.8142721056938171	-0.13033956	No	
row_8	ATP13A2	2657	0.7366399168968201	-0.14091225	No	
row_9	NCOA4	2697	0.7162192463874817	-0.13822363	No	
row_10	HOOK1	2729	0.7021812200546265	-0.13489285	No	
row_11	MVB12A	2887	0.6307353377342224	-0.14430416	No	
row_12	GGA3	2890	0.6301999688148499	-0.13883501	No	
row_13	VCP	2943	0.6152405142784119	-0.13830195	No	
row_14	AKTIP	2961	0.608884871006012	-0.13446482	No	
row_15	VPS35	2978	0.6026925444602966	-0.13058725	No	
row_16	HOOK3	3151	0.5434861779212952	-0.14222284	No	
row_17	AP4M1	3178	0.533877432346344	-0.1399238	No	
row_18	AP1G1	3243	0.512065589427948	-0.14146997	No	
row_19	VPS54	3392	0.463849812746048	-0.15151612	No	
row_20	NAGPA	3630	0.3879293203353882	-0.1707913	No	
row_21	MTM1	3986	0.2926710247993469	-0.20225419	No	
row_22	CHMP6	4099	0.2635294795036316	-0.21064264	No	
row_23	CHMP3	4692	0.126191183924675	-0.26636106	No	
row_24	RBSN	4733	0.11707521975040436	-0.2691507	No	
row_25	CLN3	4893	0.08924904465675354	-0.28361833	No	
row_26	HGS	5105	0.050108492374420166	-0.30343133	No	
row_27	TRAK1	5133	0.045317601412534714	-0.30561715	No	
row_28	TGFBRAP1	5282	0.022247161716222763	-0.3196303	No	
row_29	VPS41	5403	-7.209969917312264E-4	-0.33114788	No	
row_30	HMGXB4	5431	-0.005486031994223595	-0.3336915	No	
row_31	EPG5	5459	-0.009300347417593002	-0.3362009	No	
row_32	RAB12	5486	-0.013142862357199192	-0.33857968	No	
row_33	TSG101	5622	-0.035333648324012756	-0.35122684	No	
row_34	GCC2	5653	-0.03937581926584244	-0.35375413	No	
row_35	VPS52	5697	-0.04642919450998306	-0.35746652	No	
row_36	AP3M1	5837	-0.07013211399316788	-0.3701852	No	
row_37	VPS53	5860	-0.0727364644408226	-0.37164456	No	
row_38	M6PR	5903	-0.08058492094278336	-0.37495404	No	
row_39	VPS4B	5991	-0.09554105252027512	-0.38245073	No	
row_40	CHMP2A	6138	-0.12222728878259659	-0.39537367	No	
row_41	VPS33B	6192	-0.13256411254405975	-0.39927262	No	
row_42	CHMP5	6444	-0.18707942962646484	-0.42169654	No	
row_43	SNAPIN	6465	-0.19215638935565948	-0.42189103	No	
row_44	RNF157	6593	-0.22363021969795227	-0.43207842	No	
row_45	CCDC91	6601	-0.22481253743171692	-0.43073112	No	
row_46	VPS33A	6737	-0.25804272294044495	-0.44137764	No	
row_47	HSPA1A	6850	-0.28759294748306274	-0.44954994	No	
row_48	VPS51	6867	-0.2913997173309326	-0.44846877	No	
row_49	ANKFY1	6883	-0.29655224084854126	-0.4472453	No	
row_50	VPS11	7033	-0.3373187482357025	-0.45852414	No	
row_51	USE1	7069	-0.3473348617553711	-0.45876515	No	
row_52	ALS2	7157	-0.37408703565597534	-0.4637596	No	
row_53	ZFYVE16	7238	-0.39491063356399536	-0.46789476	No	
row_54	NPC1	7257	-0.4014928638935089	-0.46601668	No	
row_55	VIPAS39	8004	-0.6948633193969727	-0.5314158	No	
row_56	ATG14	8020	-0.7015144228935242	-0.52655447	No	
row_57	CLEC16A	8052	-0.7153396010398865	-0.5231055	No	
row_58	STX8	8360	-0.8776074647903442	-0.5447042	Yes	
row_59	SCYL2	8408	-0.9188916683197021	-0.5409632	Yes	
row_60	GAK	8490	-0.9598431587219238	-0.54011947	Yes	
row_61	TPCN2	8513	-0.9756613969802856	-0.53346765	Yes	
row_62	HGSNAT	8635	-1.0491383075714111	-0.5356632	Yes	
row_63	GPRASP1	8764	-1.125009536743164	-0.5378493	Yes	
row_64	UEVLD	8886	-1.2244961261749268	-0.53846955	Yes	
row_65	VPS16	8888	-1.2256020307540894	-0.52755576	Yes	
row_66	PLEKHM1	8903	-1.2334506511688232	-0.51781994	Yes	
row_67	VPS18	8983	-1.3073146343231201	-0.51366276	Yes	
row_68	HOOK2	9165	-1.4750847816467285	-0.5177939	Yes	
row_69	VPS4A	9193	-1.5171880722045898	-0.5067576	Yes	
row_70	LAMP1	9273	-1.5893841981887817	-0.5000666	Yes	
row_71	LYST	9329	-1.6490334272384644	-0.49053487	Yes	
row_72	VPS39	9342	-1.6642390489578247	-0.4767371	Yes	
row_73	LAMP2	9417	-1.7494860887527466	-0.46812767	Yes	
row_74	UBXN6	9418	-1.7537992000579834	-0.45237297	Yes	
row_75	CHMP1A	9558	-1.9725725650787354	-0.44800168	Yes	
row_76	TMEM106B	9594	-2.028791666030884	-0.43313786	Yes	
row_77	ADRB2	9657	-2.133375883102417	-0.41992745	Yes	
row_78	CHMP4B	9678	-2.1836748123168945	-0.40223175	Yes	
row_79	CHMP1B	9748	-2.3274364471435547	-0.3879503	Yes	
row_80	AP3B1	9791	-2.407599687576294	-0.3703558	Yes	
row_81	KIF13A	9816	-2.4590892791748047	-0.35057017	Yes	
row_82	GRN	9817	-2.459601879119873	-0.32847512	Yes	
row_83	PINK1	9865	-2.55189847946167	-0.31006452	Yes	
row_84	LAPTM5	9908	-2.6335697174072266	-0.2904401	Yes	
row_85	SORL1	9979	-2.867133378982544	-0.2714065	Yes	
row_86	EHD3	10022	-2.9539084434509277	-0.2489044	Yes	
