NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TREX1	1334	1.596392273902893	-0.10687048	No	
row_1	TFEB	1561	1.4006112813949585	-0.11027862	No	
row_2	CHMP2B	1812	1.2125968933105469	-0.11842804	No	
row_3	ABCA1	1889	1.1595016717910767	-0.11062041	No	
row_4	CLN8	1951	1.1134779453277588	-0.10197618	No	
row_5	CCDC115	2017	1.0621628761291504	-0.09438198	No	
row_6	ARL8B	2018	1.0621474981307983	-0.08056908	No	
row_7	RAB14	2118	0.9973369836807251	-0.07707089	No	
row_8	GAA	2245	0.9269484877586365	-0.077071324	No	
row_9	TMEM199	2277	0.9086255431175232	-0.06822087	No	
row_10	LAPTM4B	2533	0.7859350442886353	-0.08239727	No	
row_11	HOOK1	2729	0.7021812200546265	-0.091922335	No	
row_12	AKTIP	2961	0.608884871006012	-0.10610501	No	
row_13	VPS35	2978	0.6026925444602966	-0.09979798	No	
row_14	HOOK3	3151	0.5434861779212952	-0.10918629	No	
row_15	ACP2	3347	0.47652357816696167	-0.121645965	No	
row_16	NAGPA	3630	0.3879293203353882	-0.14358154	No	
row_17	CHMP3	4692	0.126191183924675	-0.24345213	No	
row_18	HPS4	4703	0.12367437034845352	-0.24280055	No	
row_19	MTOR	4841	0.09850779920816422	-0.25462702	No	
row_20	CLN3	4893	0.08924904465675354	-0.2583458	No	
row_21	CLN6	4896	0.08882563561201096	-0.257382	No	
row_22	RAB20	5010	0.06797963380813599	-0.26730928	No	
row_23	MYO7A	5397	-1.539719960419461E-4	-0.30423802	No	
row_24	TMEM165	5552	-0.023090533912181854	-0.31867176	No	
row_25	LAMTOR1	6170	-0.12792308628559113	-0.37603992	No	
row_26	SNAPIN	6465	-0.19215638935565948	-0.40166956	No	
row_27	TMEM175	6527	-0.20603618025779724	-0.40482634	No	
row_28	VPS33A	6737	-0.25804272294044495	-0.42146674	No	
row_29	SPG11	6937	-0.3109368681907654	-0.43646252	No	
row_30	NAGLU	7294	-0.41613292694091797	-0.46511132	No	
row_31	PIKFYVE	7308	-0.420629620552063	-0.46088493	No	
row_32	MFSD8	7421	-0.45893770456314087	-0.46563223	No	
row_33	TPCN2	8513	-0.9756613969802856	-0.557326	Yes	
row_34	TMEM9	8586	-1.019608736038208	-0.55095494	Yes	
row_35	MBTPS1	8695	-1.0850874185562134	-0.54717666	Yes	
row_36	BECN1	8924	-1.2545688152313232	-0.55267537	Yes	
row_37	CLN5	8962	-1.2851680517196655	-0.53950214	Yes	
row_38	VPS18	8983	-1.3073146343231201	-0.5244144	Yes	
row_39	HOOK2	9165	-1.4750847816467285	-0.5225487	Yes	
row_40	CORO1A	9252	-1.5723302364349365	-0.5103291	Yes	
row_41	LYST	9329	-1.6490334272384644	-0.49615526	Yes	
row_42	ZKSCAN3	9332	-1.6504236459732056	-0.47488338	Yes	
row_43	PPT1	9469	-1.8287098407745361	-0.4641134	Yes	
row_44	TMEM106B	9594	-2.028791666030884	-0.44959337	Yes	
row_45	AP3B1	9791	-2.407599687576294	-0.43703568	Yes	
row_46	GRN	9817	-2.459601879119873	-0.4074412	Yes	
row_47	LAPTM5	9908	-2.6335697174072266	-0.3818032	Yes	
row_48	GBA	9961	-2.8001248836517334	-0.35036358	Yes	
row_49	HPS1	10021	-2.950589418411255	-0.31763694	Yes	
row_50	TPP1	10023	-2.9560225009918213	-0.27929044	Yes	
row_51	ARSB	10072	-3.1719448566436768	-0.2426327	Yes	
row_52	ATP6AP2	10099	-3.251559019088745	-0.20283474	Yes	
row_53	GNPTAB	10183	-3.601602077484131	-0.16393808	Yes	
row_54	SCARB2	10324	-4.46625280380249	-0.1192504	Yes	
row_55	P2RX7	10411	-5.2517828941345215	-0.05918067	Yes	
row_56	HEXB	10412	-5.256989002227783	0.00918485	Yes	
