NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPF2	22	6.088015079498291	0.12655133	Yes	
row_1	FTSJ3	124	4.435980796813965	0.21066488	Yes	
row_2	DDX18	170	4.116891384124756	0.29337204	Yes	
row_3	GTPBP4	213	3.8796870708465576	0.3713526	Yes	
row_4	RPL7L1	305	3.392265558242798	0.43436402	Yes	
row_5	ZNHIT3	309	3.3785650730133057	0.50547165	Yes	
row_6	ZNHIT6	317	3.351102352142334	0.5756178	Yes	
row_7	URB1	325	3.318186044692993	0.6450684	Yes	
row_8	NIFK	345	3.253063917160034	0.71199936	Yes	
row_9	PES1	477	2.893566370010376	0.7606609	Yes	
row_10	BOP1	478	2.8917932510375977	0.8217683	Yes	
row_11	RPL7	704	2.4203128814697266	0.85147184	Yes	
row_12	WDR12	1485	1.4665417671203613	0.8081336	No	
row_13	RPL35	1677	1.3149930238723755	0.8177203	No	
row_14	NOL9	1939	1.1221702098846436	0.8165618	No	
