NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNX3	792	2.2666854858398438	-0.034600887	No	
row_1	ABCA1	1889	1.1595016717910767	-0.11829165	No	
row_2	ARF1	2281	0.9073037505149841	-0.1392082	No	
row_3	SMURF1	2781	0.6805956959724426	-0.17454673	No	
row_4	STAP1	3249	0.5107697248458862	-0.20990428	No	
row_5	SNX18	3429	0.45305684208869934	-0.21879725	No	
row_6	XKR8	3811	0.3399738073348999	-0.24903327	No	
row_7	ARHGAP12	4960	0.07761739194393158	-0.35728467	No	
row_8	HGS	5105	0.050108492374420166	-0.37013206	No	
row_9	AURKB	5465	-0.010311707854270935	-0.40423703	No	
row_10	FCHO2	5569	-0.02659989707171917	-0.41359386	No	
row_11	SH3BP1	5578	-0.027833200991153717	-0.41385394	No	
row_12	XKR5	5650	-0.03886505216360092	-0.419932	No	
row_13	CHMP2A	6138	-0.12222728878259659	-0.4642367	No	
row_14	CLCN3	6272	-0.1485242247581482	-0.474251	No	
row_15	RAC1	6477	-0.19509465992450714	-0.49020383	No	
row_16	RHOG	6480	-0.1951899379491806	-0.48685986	No	
row_17	RAB31	6605	-0.22520974278450012	-0.49462566	No	
row_18	SNX9	6820	-0.2796918451786041	-0.5100016	No	
row_19	CDC42	7219	-0.39013412594795227	-0.54095304	No	
row_20	ALKBH4	7783	-0.6059989333152771	-0.58375585	No	
row_21	RHOA	8056	-0.7166740894317627	-0.5967579	No	
row_22	APPL2	8223	-0.8021414279937744	-0.598087	No	
row_23	ELMO1	8369	-0.882712185382843	-0.59595096	No	
row_24	BECN1	8924	-1.2545688152313232	-0.6261481	Yes	
row_25	NCKAP1L	8982	-1.3068561553955078	-0.60792476	Yes	
row_26	MYH9	9058	-1.360723614692688	-0.5904453	Yes	
row_27	RHOBTB2	9120	-1.4307105541229248	-0.57036096	Yes	
row_28	SNX33	9215	-1.5388665199279785	-0.55147004	Yes	
row_29	ITGB2	9274	-1.5902782678604126	-0.5282093	Yes	
row_30	RAC2	9430	-1.775589108467102	-0.51085794	Yes	
row_31	ITGAM	9450	-1.801298975944519	-0.48005024	Yes	
row_32	F2RL1	9866	-2.5537760257720947	-0.47344065	Yes	
row_33	ANO6	10037	-3.0113272666931152	-0.43514213	Yes	
row_34	BIN2	10052	-3.0765321254730225	-0.38076156	Yes	
row_35	MFGE8	10191	-3.6302621364593506	-0.3281971	Yes	
row_36	RHOH	10331	-4.496543884277344	-0.26003927	Yes	
row_37	ABCA7	10335	-4.537087440490723	-0.17815644	Yes	
row_38	GSN	10360	-4.751636028289795	-0.09439393	Yes	
row_39	ARHGAP25	10454	-5.987391471862793	0.005157965	Yes	
