NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACER2	2410	0.8477718234062195	-0.2066269	No	
row_1	SMPD4	2656	0.736843466758728	-0.20980732	No	
row_2	PRKCD	2954	0.6123350262641907	-0.22135818	No	
row_3	SMPDL3B	4161	0.24962390959262848	-0.32954103	No	
row_4	NEU1	5090	0.053341738879680634	-0.41658708	No	
row_5	ENPP2	5116	0.04842906817793846	-0.4176447	No	
row_6	ACER3	5541	-0.0216397512704134	-0.4574906	No	
row_7	GBA2	6219	-0.1381181925535202	-0.5182752	No	
row_8	GLA	6905	-0.3026571571826935	-0.5753151	No	
row_9	ZPBP2	7704	-0.5723975896835327	-0.63574266	No	
row_10	NEU3	7872	-0.6414663791656494	-0.63409674	No	
row_11	SMPD2	7895	-0.6504124402999878	-0.61837655	No	
row_12	ASAH1	8430	-0.9334969520568848	-0.64373267	No	
row_13	FUCA1	8913	-1.2387428283691406	-0.65576696	Yes	
row_14	NAGA	9253	-1.572555422782898	-0.6450177	Yes	
row_15	PPT1	9469	-1.8287098407745361	-0.61542445	Yes	
row_16	SMPDL3A	9599	-2.035938262939453	-0.57195187	Yes	
row_17	SGPL1	9846	-2.516005754470825	-0.52648634	Yes	
row_18	HEXA	9917	-2.6674158573150635	-0.46008697	Yes	
row_19	GBA	9961	-2.8001248836517334	-0.38747683	Yes	
row_20	MGST2	10010	-2.932429313659668	-0.31171897	Yes	
row_21	SMPD1	10090	-3.2183468341827393	-0.23108484	Yes	
row_22	GM2A	10347	-4.626353740692139	-0.1287587	Yes	
row_23	HEXB	10412	-5.256989002227783	0.009155981	Yes	
