NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT5	25	5.968021392822266	0.033898983	No	
row_1	CPTP	685	2.444523334503174	-0.014740917	No	
row_2	HACD2	749	2.3296611309051514	-0.006639374	No	
row_3	ST3GAL4	1086	1.8521028757095337	-0.027753927	No	
row_4	HTRA2	1189	1.7420440912246704	-0.026986016	No	
row_5	DEGS1	1498	1.4562771320343018	-0.047810167	No	
row_6	B4GALNT1	1663	1.326572299003601	-0.05554524	No	
row_7	PIGA	1683	1.3122507333755493	-0.049392886	No	
row_8	PIGW	1720	1.2868269681930542	-0.045033604	No	
row_9	ELOVL1	1727	1.2809417247772217	-0.037818838	No	
row_10	GPAA1	1732	1.2781721353530884	-0.030428171	No	
row_11	PIGF	1786	1.2397270202636719	-0.027993832	No	
row_12	PIGB	1801	1.2191252708435059	-0.021926155	No	
row_13	ST6GALNAC4	1941	1.1202764511108398	-0.02850689	No	
row_14	CLN8	1951	1.1134779453277588	-0.022600073	No	
row_15	PIGU	2110	1.0046650171279907	-0.031715315	No	
row_16	PEMT	2112	1.0035417079925537	-0.025706321	No	
row_17	PLA2G15	2283	0.9032157063484192	-0.036595277	No	
row_18	TECR	2288	0.9008651375770569	-0.03150008	No	
row_19	B4GALT4	2393	0.8555641770362854	-0.03631811	No	
row_20	ACER2	2410	0.8477718234062195	-0.032702435	No	
row_21	VAPA	2453	0.830234169960022	-0.03169924	No	
row_22	SMPD4	2656	0.736843466758728	-0.046684414	No	
row_23	PRKCD	2954	0.6123350262641907	-0.071582824	No	
row_24	PIGQ	2982	0.6021792888641357	-0.07052143	No	
row_25	TEX2	3005	0.5940384268760681	-0.069027685	No	
row_26	ST8SIA6	3115	0.557076632976532	-0.07614354	No	
row_27	PIGC	3150	0.5445799827575684	-0.076107204	No	
row_28	ORMDL2	3220	0.5185922384262085	-0.07960214	No	
row_29	SAMD8	3301	0.49152302742004395	-0.0843219	No	
row_30	ST3GAL2	3365	0.4701990783214569	-0.087533	No	
row_31	CERS6	3738	0.3598279058933258	-0.12119583	No	
row_32	ST8SIA4	3749	0.35781702399253845	-0.1199827	No	
row_33	PPP2R1A	3751	0.3572237193584442	-0.11790579	No	
row_34	PIGL	3772	0.35105985403060913	-0.11769753	No	
row_35	PLA2G6	3926	0.3105132579803467	-0.13055399	No	
row_36	ST6GALNAC6	3982	0.29416608810424805	-0.13406502	No	
row_37	KDSR	4059	0.27298393845558167	-0.13972883	No	
row_38	SMPDL3B	4161	0.24962390959262848	-0.14794417	No	
row_39	ORMDL1	4383	0.19734683632850647	-0.16804269	No	
row_40	AGK	4495	0.17007488012313843	-0.17770575	No	
row_41	PIGG	4578	0.14806237816810608	-0.18470782	No	
row_42	BAX	4605	0.1435282975435257	-0.1863404	No	
row_43	PPP2CA	4827	0.10092534869909286	-0.20702554	No	
row_44	CLN6	4896	0.08882563561201096	-0.21303873	No	
row_45	PIGS	4937	0.08204562962055206	-0.21639462	No	
row_46	PIGK	5046	0.06133925914764404	-0.22643009	No	
row_47	NEU1	5090	0.053341738879680634	-0.23024973	No	
row_48	ENPP2	5116	0.04842906817793846	-0.2323645	No	
row_49	TM9SF2	5267	0.024660812690854073	-0.24667092	No	
row_50	OSBP	5316	0.016174962744116783	-0.25119856	No	
row_51	ST3GAL3	5495	-0.01415267214179039	-0.26826745	No	
row_52	ACER3	5541	-0.0216397512704134	-0.2724727	No	
row_53	PIGN	5634	-0.03626984357833862	-0.2811187	No	
row_54	HACD1	5677	-0.042846594005823135	-0.28490582	No	
row_55	PIGP	5679	-0.04312784969806671	-0.2847398	No	
row_56	PIGT	5865	-0.07317356020212173	-0.30212423	No	
row_57	CERS5	6084	-0.11210277676582336	-0.32245225	No	
row_58	PIGV	6087	-0.11286653578281403	-0.32195833	No	
row_59	GBA2	6219	-0.1381181925535202	-0.33374333	No	
row_60	CERS2	6318	-0.15887491405010223	-0.34222165	No	
row_61	B4GALT3	6377	-0.1716833859682083	-0.34676698	No	
row_62	HACD3	6387	-0.174296572804451	-0.34657398	No	
row_63	GPLD1	6422	-0.18344847857952118	-0.3487347	No	
row_64	GLB1	6613	-0.22682933509349823	-0.36566618	No	
row_65	PGAP3	6705	-0.2507072389125824	-0.37291119	No	
row_66	DPM1	6829	-0.2822275161743164	-0.38304842	No	
row_67	PRKAA1	6841	-0.2848960757255554	-0.3823753	No	
row_68	GLA	6905	-0.3026571571826935	-0.3866057	No	
row_69	SIRT3	7059	-0.3442806899547577	-0.39925674	No	
row_70	ARV1	7082	-0.3505149483680725	-0.39924452	No	
row_71	SGPP1	7383	-0.4454014003276825	-0.42544767	No	
