NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFAF4	30	5.845912456512451	0.06082093	Yes	
row_1	CHCHD4	72	4.921378135681152	0.110513605	Yes	
row_2	NDUFAB1	109	4.53490686416626	0.15647462	Yes	
row_3	FASTKD3	229	3.7586262226104736	0.18602026	Yes	
row_4	SDHAF1	403	3.067816734313965	0.20286196	Yes	
row_5	NDUFAF6	406	3.0600149631500244	0.2360121	Yes	
row_6	NDUFB6	592	2.632450819015503	0.24695966	Yes	
row_7	ACAD9	595	2.6249969005584717	0.27536985	Yes	
row_8	NDUFA12	603	2.6164188385009766	0.30320722	Yes	
row_9	NDUFS7	700	2.4227633476257324	0.3204023	Yes	
row_10	NDUFA9	764	2.3019936084747314	0.33944508	Yes	
row_11	UQCC2	908	2.1178205013275146	0.3488117	Yes	
row_12	SAMM50	971	2.025770425796509	0.36494064	Yes	
row_13	NDUFAF5	1016	1.9645626544952393	0.3821283	Yes	
row_14	UQCRFS1	1154	1.778124451637268	0.3883688	Yes	
row_15	NDUFA5	1250	1.6767194271087646	0.39753082	Yes	
row_16	NDUFA10	1258	1.6689893007278442	0.41504502	Yes	
row_17	NDUFB4	1277	1.6526912450790405	0.4313271	Yes	
row_18	COX17	1296	1.630185604095459	0.44736394	Yes	
row_19	NDUFB10	1324	1.602718710899353	0.4622387	Yes	
row_20	NDUFB8	1340	1.5902373790740967	0.4781279	Yes	
row_21	COA3	1359	1.575156569480896	0.49356514	Yes	
row_22	BCS1L	1382	1.55715811252594	0.50842285	Yes	
row_23	NDUFS3	1387	1.5548985004425049	0.5249815	Yes	
row_24	NDUFAF2	1426	1.5161062479019165	0.537858	Yes	
row_25	UQCC1	1449	1.495224118232727	0.5520408	Yes	
row_26	NUBPL	1457	1.49113929271698	0.5676172	Yes	
row_27	NDUFAF7	1495	1.4571915864944458	0.5799476	Yes	
row_28	SDHAF3	1606	1.3696510791778564	0.5843258	Yes	
row_29	IMMP2L	1667	1.3243732452392578	0.59300405	Yes	
row_30	NDUFC2	1688	1.3103126287460327	0.60536385	Yes	
row_31	NDUFB2	2096	1.0103328227996826	0.57735413	No	
row_32	NDUFB5	2195	0.9626771807670593	0.57844836	No	
row_33	NDUFAF1	2218	0.9463885426521301	0.5866511	No	
row_34	NDUFA8	2399	0.8538303971290588	0.57869816	No	
row_35	TMEM126A	2546	0.7820229530334473	0.57322234	No	
row_36	COA4	2562	0.7701270580291748	0.58017564	No	
row_37	TMEM126B	2662	0.7335144877433777	0.57867706	No	
row_38	NDUFS8	2727	0.7031208276748657	0.5802027	No	
row_39	COX16	2789	0.6772266030311584	0.58173376	No	
row_40	AIFM1	2822	0.6603174805641174	0.5858608	No	
row_41	COX20	2972	0.6045542359352112	0.5781637	No	
row_42	COX19	2979	0.6026734709739685	0.5841552	No	
row_43	OMA1	3055	0.5777471661567688	0.5832602	No	
row_44	NDUFA6	3102	0.5593410730361938	0.58494484	No	
row_45	NDUFS1	3267	0.502350926399231	0.57469606	No	
row_46	NDUFB7	3390	0.46475595235824585	0.56806415	No	
row_47	SURF1	3421	0.4551877975463867	0.5701478	No	
row_48	NDUFB3	3476	0.43626272678375244	0.56972444	No	
row_49	SLC25A33	3567	0.4079267382621765	0.5655411	No	
row_50	NDUFA2	3854	0.3293665945529938	0.5417116	No	
row_51	COA5	3954	0.3017885684967041	0.53550893	No	
row_52	FOXRED1	4234	0.2312730997800827	0.5112817	No	
row_53	NDUFA3	4339	0.20987194776535034	0.50359815	No	
row_54	NDUFC1	4385	0.1972103714942932	0.5014329	No	
row_55	NDUFB9	4395	0.19485169649124146	0.50269324	No	
row_56	TACO1	4468	0.17644478380680084	0.49771324	No	
row_57	LYRM7	4567	0.14983302354812622	0.48995075	No	
row_58	TIMM21	4740	0.11586242914199829	0.47472388	No	
row_59	NDUFA11	5004	0.06847769767045975	0.4502567	No	
row_60	NDUFA13	5027	0.06463421136140823	0.44885185	No	
row_61	TMEM186	5344	0.01161795575171709	0.41868412	No	
row_62	SCO1	5621	-0.03527611494064331	0.3926089	No	
row_63	SDHAF4	5749	-0.055651940405368805	0.38104004	No	
row_64	NDUFS4	5845	-0.0706983432173729	0.3727029	No	
row_65	NDUFS2	5978	-0.09296979755163193	0.3610613	No	
row_66	SDHAF2	6383	-0.17335596680641174	0.3242195	No	
row_67	OXA1L	6445	-0.1874903291463852	0.32041442	No	
row_68	SMIM20	6455	-0.18983666598796844	0.32162008	No	
row_69	COX18	6521	-0.20428471267223358	0.31761453	No	
row_70	NDUFB11	6787	-0.269718736410141	0.29514834	No	
row_71	TFAM	6921	-0.30687522888183594	0.2857416	No	
row_72	COX14	7087	-0.35347479581832886	0.27377483	No	
row_73	NDUFA1	7419	-0.4585697650909424	0.24703905	No	
row_74	TTC19	7876	-0.6422903537750244	0.21032159	No	
row_75	NDUFAF3	8359	-0.8775787353515625	0.17367527	No	
row_76	PET100	8863	-1.2109534740447998	0.13864815	No	
row_77	UQCC3	9411	-1.7399883270263672	0.105167195	No	
