NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.11889291	Yes	
row_1	MRPL12	40	5.616093158721924	0.20028295	Yes	
row_2	PUS1	44	5.471492767333984	0.2828284	Yes	
row_3	TBRG4	174	4.0942583084106445	0.33248395	Yes	
row_4	FASTKD3	229	3.7586262226104736	0.38422516	Yes	
row_5	TRMT5	377	3.1571292877197266	0.41797367	Yes	
row_6	ELAC2	498	2.8412015438079834	0.4495194	Yes	
row_7	SUPV3L1	528	2.790513277053833	0.4889934	Yes	
row_8	TRMT10C	891	2.133017063140869	0.48669335	Yes	
row_9	LRPPRC	949	2.0660817623138428	0.5125247	Yes	
row_10	PNPT1	951	2.065568685531616	0.5436995	Yes	
row_11	TARS2	1004	1.9813899993896484	0.56872654	Yes	
row_12	FASTKD2	1077	1.8634841442108154	0.59005743	Yes	
row_13	EARS2	1287	1.6401481628417969	0.5949161	Yes	
row_14	TRNT1	1371	1.5638768672943115	0.6106602	Yes	
row_15	TEFM	1373	1.5631587505340576	0.63422906	Yes	
row_16	SLIRP	1591	1.3781195878982544	0.6343564	Yes	
row_17	PPARGC1B	1665	1.3259432315826416	0.647454	Yes	
row_18	GRSF1	1766	1.2521402835845947	0.65685433	Yes	
row_19	MTERF4	2122	0.9961355924606323	0.6380121	No	
row_20	TFB1M	2247	0.9265493750572205	0.64018995	No	
row_21	METTL4	2289	0.900791585445404	0.6499091	No	
row_22	POLRMT	2673	0.7307308912277222	0.6243733	No	
row_23	YARS2	2731	0.7008005380630493	0.6295359	No	
row_24	HSD17B10	2769	0.6855514645576477	0.63637877	No	
row_25	MTO1	2816	0.6636104583740234	0.64202946	No	
row_26	FASTKD1	3125	0.5535195469856262	0.6209777	No	
row_27	PDE12	3134	0.5507680177688599	0.62855124	No	
row_28	SLC25A33	3567	0.4079267382621765	0.5934463	No	
row_29	DARS2	4076	0.2695235311985016	0.5489838	No	
row_30	TFB2M	4147	0.2526855170726776	0.5461202	No	
row_31	TRMT61B	4419	0.1874253749847412	0.5230618	No	
row_32	FASTK	4522	0.16338808834552765	0.51578856	No	
row_33	RPUSD4	4631	0.13912370800971985	0.5075746	No	
row_34	AARS2	5075	0.056082870811223984	0.46609205	No	
row_35	TRIT1	5331	0.0139982420951128	0.44193703	No	
row_36	FASTKD5	6030	-0.10259894281625748	0.37679175	No	
row_37	SARS2	6254	-0.1464964747428894	0.3577004	No	
row_38	CDK5RAP1	6524	-0.20533797144889832	0.33510426	No	
row_39	PRKAA1	6841	-0.2848960757255554	0.30922136	No	
row_40	TFAM	6921	-0.30687522888183594	0.30631813	No	
row_41	FOXO3	7536	-0.5068802833557129	0.25531995	No	
row_42	WARS2	8018	-0.7009337544441223	0.21996854	No	
row_43	MTERF2	8831	-1.180533766746521	0.1602485	No	
