NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNX5	171	4.1128973960876465	0.033421878	No	
row_1	BCL2	1075	1.864920973777771	-0.030453054	No	
row_2	UBE3A	1444	1.4987483024597168	-0.047540423	No	
row_3	CLIC4	1698	1.302371621131897	-0.055995204	No	
row_4	TMPRSS3	1756	1.261720895767212	-0.046177164	No	
row_5	ATP1A1	1843	1.190119981765747	-0.04000242	No	
row_6	CCDC115	2017	1.0621628761291504	-0.043706153	No	
row_7	ADORA2A	2270	0.9115440249443054	-0.056796797	No	
row_8	TMEM199	2277	0.9086255431175232	-0.046370838	No	
row_9	SLC9A6	3161	0.5382868051528931	-0.124392055	No	
row_10	DMXL1	3503	0.42862212657928467	-0.15185007	No	
row_11	SLC12A2	3754	0.35549870133399963	-0.17148109	No	
row_12	MAPK1	3867	0.3251020908355713	-0.17826803	No	
row_13	ATP6V0A1	4104	0.2628021538257599	-0.19768092	No	
row_14	TM9SF4	4421	0.18695157766342163	-0.22567128	No	
row_15	NEDD4L	4535	0.15973587334156036	-0.23455599	No	
row_16	PDK2	4690	0.1265678107738495	-0.24776757	No	
row_17	SLC9A7	4741	0.11558695882558823	-0.2511552	No	
row_18	AVPR2	4766	0.11208642274141312	-0.25209594	No	
row_19	CLN3	4893	0.08924904465675354	-0.26307863	No	
row_20	CLN6	4896	0.08882563561201096	-0.26219472	No	
row_21	RAB20	5010	0.06797963380813599	-0.2721903	No	
row_22	KCTD7	5044	0.06214151158928871	-0.27459738	No	
row_23	SLC4A7	5233	0.030379226431250572	-0.29222864	No	
row_24	TCIRG1	5492	-0.013654910959303379	-0.31676412	No	
row_25	TMEM165	5552	-0.023090533912181854	-0.3221332	No	
row_26	ATP6V1H	6074	-0.11031783372163773	-0.37067798	No	
row_27	CLCN3	6272	-0.1485242247581482	-0.38774052	No	
row_28	MAPK3	6441	-0.18602046370506287	-0.4015727	No	
row_29	SNAPIN	6465	-0.19215638935565948	-0.40144834	No	
row_30	TMEM175	6527	-0.20603618025779724	-0.40479407	No	
row_31	EXT1	6529	-0.20630258321762085	-0.40239218	No	
row_32	VPS33A	6737	-0.25804272294044495	-0.41908625	No	
row_33	SLC26A6	6848	-0.28662940859794617	-0.42614746	No	
row_34	RNASEK	7266	-0.4045591354370117	-0.46117303	No	
row_35	ATP6AP1	7475	-0.48149746656417847	-0.47525755	No	
row_36	ATP6V0A2	8175	-0.7733311653137207	-0.53281707	No	
row_37	SLC9A8	8464	-0.9484387040138245	-0.5489077	Yes	
row_38	SLC9A1	8519	-0.9789230227470398	-0.54222614	Yes	
row_39	TMEM9	8586	-1.019608736038208	-0.53620094	Yes	
row_40	ATP6V0D1	8652	-1.0611400604248047	-0.5295772	Yes	
row_41	ATP1B3	8709	-1.0945366621017456	-0.52168745	Yes	
row_42	CHP1	8798	-1.1431046724319458	-0.5162734	Yes	
row_43	GNAI2	8838	-1.1877391338348389	-0.5056277	Yes	
row_44	CLN5	8962	-1.2851680517196655	-0.5018446	Yes	
row_45	EXT2	8987	-1.3105475902557373	-0.48827603	Yes	
row_46	SLC12A4	9294	-1.6121716499328613	-0.4980544	Yes	
row_47	MLLT6	9328	-1.6474251747131348	-0.481269	Yes	
row_48	SLC4A2	9338	-1.6571729183197021	-0.46206787	Yes	
row_49	KCNH2	9399	-1.7291674613952637	-0.44687784	Yes	
row_50	PPT1	9469	-1.8287098407745361	-0.43134436	Yes	
row_51	TMEM106B	9594	-2.028791666030884	-0.41865423	Yes	
row_52	ATP1B1	9674	-2.1709156036376953	-0.39993516	Yes	
row_53	SLC12A8	9681	-2.1889941692352295	-0.37400827	Yes	
row_54	SLC12A9	9761	-2.35166072845459	-0.353101	Yes	
row_55	GRN	9817	-2.459601879119873	-0.32858917	Yes	
row_56	SLC12A6	9879	-2.568972110748291	-0.30332765	Yes	
row_57	MAFG	10025	-2.9620158672332764	-0.28134987	Yes	
row_58	ATP6AP2	10099	-3.251559019088745	-0.24897341	Yes	
row_59	ATP1A3	10138	-3.410696029663086	-0.21131946	Yes	
row_60	SLC4A8	10268	-4.123136043548584	-0.17375256	Yes	
row_61	HVCN1	10282	-4.205541610717773	-0.12408222	Yes	
row_62	SLC12A7	10319	-4.440528392791748	-0.07376899	Yes	
row_63	SLC9A9	10495	-7.579963207244873	0.0012444295	Yes	
