NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QBP	32	5.812370300292969	0.011297913	Yes	
row_1	MAGOHB	121	4.447060585021973	0.013668723	Yes	
row_2	NCL	155	4.245023250579834	0.02096906	Yes	
row_3	TBRG4	174	4.0942583084106445	0.029375846	Yes	
row_4	PRMT7	189	3.9930367469787598	0.037925903	Yes	
row_5	SNRPD3	196	3.9591190814971924	0.04718171	Yes	
row_6	PRMT5	218	3.825890064239502	0.05462463	Yes	
row_7	RRP1B	220	3.8092150688171387	0.064001374	Yes	
row_8	METTL16	221	3.7860822677612305	0.07341934	Yes	
row_9	SYNCRIP	264	3.5561676025390625	0.078117244	Yes	
row_10	SRSF6	296	3.436363697052002	0.08360355	Yes	
row_11	ZRANB2	302	3.4091804027557373	0.091590144	Yes	
row_12	PRPF19	361	3.2075374126434326	0.09384057	Yes	
row_13	PRPF31	375	3.1682252883911133	0.100437656	Yes	
row_14	GEMIN6	390	3.106204032897949	0.10678169	Yes	
row_15	NCBP2	394	3.093069553375244	0.114179485	Yes	
row_16	SRSF7	432	2.9767565727233887	0.11792991	Yes	
row_17	TXNL4A	436	2.9675939083099365	0.12501557	Yes	
row_18	CLNS1A	453	2.9335432052612305	0.13073258	Yes	
row_19	LSM2	473	2.9005680084228516	0.13607128	Yes	
row_20	U2AF2	492	2.847628116607666	0.14137703	Yes	
row_21	GEMIN4	504	2.829960823059082	0.14733021	Yes	
row_22	TRA2A	534	2.7841200828552246	0.15139158	Yes	
row_23	LSM3	539	2.776625871658325	0.15790343	Yes	
row_24	LSM7	555	2.735093832015991	0.16322556	Yes	
row_25	TSEN2	576	2.6739089488983154	0.16790166	Yes	
row_26	LUC7L	614	2.5817081928253174	0.1706694	Yes	
row_27	STRAP	620	2.560087203979492	0.17654386	Yes	
row_28	RBM8A	623	2.5522077083587646	0.182695	Yes	
row_29	RNPS1	632	2.5350122451782227	0.18821079	Yes	
row_30	LUC7L3	696	2.4307961463928223	0.18803522	Yes	
row_31	PRPF39	708	2.4110889434814453	0.19294645	Yes	
row_32	GEMIN5	712	2.3950796127319336	0.19860797	Yes	
row_33	MAGOH	717	2.381319761276245	0.20413649	Yes	
row_34	POLR2D	720	2.3721086978912354	0.20983964	Yes	
row_35	HNRNPC	732	2.3542542457580566	0.21460947	Yes	
row_36	PPIE	736	2.3520004749298096	0.22016384	Yes	
row_37	SMNDC1	755	2.3210842609405518	0.2241598	Yes	
row_38	HSPA8	818	2.2368874549865723	0.22360067	Yes	
row_39	SNRPD1	861	2.183228015899658	0.22488335	Yes	
row_40	HSF1	863	2.1819655895233154	0.23021227	Yes	
row_41	DDX1	870	2.1693758964538574	0.23501605	Yes	
row_42	SNRPA1	878	2.158540725708008	0.23969412	Yes	
row_43	RBMXL1	879	2.158264636993408	0.24506286	Yes	
row_44	TRA2B	904	2.119415283203125	0.24796458	Yes	
row_45	SREK1	909	2.115712881088257	0.2528324	Yes	
row_46	HNRNPA3	910	2.115518093109131	0.2580948	Yes	
row_47	SRSF10	931	2.084455728530884	0.26130462	Yes	
row_48	PHF5A	940	2.072814464569092	0.2656707	Yes	
row_49	PNPT1	951	2.065568685531616	0.26982117	Yes	
row_50	DHX15	955	2.062919855117798	0.27465644	Yes	
row_51	TARDBP	959	2.04406476020813	0.2794448	Yes	
row_52	DDX20	998	1.9915823936462402	0.28064582	Yes	
row_53	SNRNP70	1011	1.9692658185958862	0.28435922	Yes	
row_54	SMN1	1014	1.9678218364715576	0.2890567	Yes	
row_55	SNRPD2	1029	1.9434586763381958	0.2925084	Yes	
row_56	TGS1	1033	1.9362365007400513	0.2970285	Yes	
row_57	U2AF1	1072	1.8673869371414185	0.2979206	Yes	
row_58	PRDX6	1089	1.8451075553894043	0.3009301	Yes	
row_59	PPWD1	1098	1.8353651762008667	0.3047055	Yes	
row_60	EIF4A3	1104	1.826635479927063	0.30875546	Yes	
row_61	SF3A3	1118	1.8166595697402954	0.3119905	Yes	
row_62	PPIL3	1139	1.7943583726882935	0.3144787	Yes	
row_63	RBM26	1165	1.7636770009994507	0.31639674	Yes	
row_64	ZPR1	1184	1.7464958429336548	0.31896344	Yes	
row_65	HNRNPLL	1200	1.7276579141616821	0.32177952	Yes	
row_66	DDX39B	1214	1.7152656316757202	0.32476234	Yes	
row_67	DCPS	1234	1.6975852251052856	0.3271086	Yes	
row_68	WBP11	1239	1.685196042060852	0.3309055	Yes	
row_69	SRSF3	1252	1.6751505136489868	0.33388728	Yes	
row_70	CWC27	1256	1.6712841987609863	0.33774835	Yes	
row_71	LSM8	1264	1.6621637344360352	0.34119165	Yes	
row_72	CELF1	1304	1.6210192441940308	0.34137213	Yes	
row_73	HTATSF1	1308	1.618327021598816	0.34510145	Yes	
row_74	BCAS2	1320	1.6065950393676758	0.3480115	Yes	
row_75	SNRPA	1321	1.6058889627456665	0.35200617	Yes	
row_76	PPIH	1326	1.6012487411499023	0.35559425	Yes	
row_77	SRSF1	1383	1.5568795204162598	0.35393617	Yes	
row_78	ISY1	1385	1.5559405088424683	0.35770783	Yes	
row_79	SF3B3	1388	1.553826093673706	0.36137548	Yes	
row_80	PRPF40A	1402	1.5398460626602173	0.36392194	Yes	
row_81	RBM15B	1407	1.5349653959274292	0.36734512	Yes	
row_82	SNRPE	1427	1.5157277584075928	0.369239	Yes	
row_83	PABPC1	1432	1.5094395875930786	0.3725987	Yes	
row_84	SRSF9	1445	1.4983713626861572	0.37514076	Yes	
row_85	TUT1	1464	1.4877594709396362	0.3770638	Yes	
row_86	TSEN15	1467	1.4848873615264893	0.38055998	Yes	
row_87	SRSF11	1475	1.474953532218933	0.3835376	Yes	
row_88	HNRNPK	1489	1.460379958152771	0.38588637	Yes	
row_89	PRPF3	1497	1.456421971321106	0.3888179	Yes	
row_90	ECD	1499	1.4553788900375366	0.39233944	Yes	
row_91	PDCD11	1502	1.4540926218032837	0.395759	Yes	
row_92	THOC1	1510	1.447059154510498	0.39866722	Yes	
row_93	TCERG1	1527	1.4317547082901	0.4006485	Yes	
row_94	PPP1R8	1543	1.4186731576919556	0.40269598	Yes	
row_95	RBM17	1557	1.4042789936065674	0.40490523	Yes	
row_96	NUP98	1583	1.3846731185913086	0.40588048	Yes	
row_97	RBM14	1590	1.3788906335830688	0.40871793	Yes	
row_98	SNRPG	1596	1.375427484512329	0.4116455	Yes	
row_99	SNRNP40	1629	1.3543497323989868	0.411854	Yes	
row_100	GEMIN7	1637	1.3445934057235718	0.41450733	Yes	
row_101	RAVER1	1653	1.3336869478225708	0.41634342	Yes	
row_102	SRRM1	1693	1.3063737154006958	0.4157412	Yes	
row_103	PRPF4B	1713	1.2905137538909912	0.41707486	Yes	
row_104	PPP4R2	1729	1.2787888050079346	0.4187744	Yes	
row_105	PABPN1	1730	1.2787058353424072	0.4219552	Yes	
row_106	CSTF2T	1741	1.2715476751327515	0.42413056	Yes	
row_107	SNRPB	1742	1.2680326700210571	0.4272848	Yes	
row_108	CPSF1	1743	1.2679423093795776	0.43043885	Yes	
row_109	USP39	1758	1.2593082189559937	0.4321887	Yes	
row_110	LSM6	1765	1.2536792755126953	0.43471465	Yes	
row_111	GRSF1	1766	1.2521402835845947	0.43782938	Yes	
row_112	PNN	1772	1.2482728958129883	0.44044065	Yes	
row_113	PRPF8	1781	1.2435016632080078	0.44274378	Yes	
row_114	NONO	1783	1.2429951429367065	0.445737	Yes	
row_115	FXR1	1797	1.2272733449935913	0.44750592	Yes	
row_116	THOC3	1807	1.21453058719635	0.4496382	Yes	
row_117	SF3B5	1809	1.2140909433364868	0.45255953	Yes	
row_118	SAP18	1824	1.2057229280471802	0.45417607	Yes	
row_119	RBM27	1836	1.1958755254745483	0.4560644	Yes	
row_120	SF3A1	1838	1.1939893960952759	0.45893574	Yes	
row_121	CSTF1	1844	1.190014362335205	0.4614021	Yes	
row_122	SNRPB2	1879	1.167508840560913	0.46094826	Yes	
row_123	GEMIN2	1885	1.1631345748901367	0.46334776	Yes	
row_124	SF3B4	1909	1.1440941095352173	0.4639221	Yes	
row_125	SCAF1	1946	1.1167523860931396	0.4631445	Yes	
row_126	DBR1	1954	1.1096333265304565	0.4652134	Yes	
row_127	CDK12	1984	1.091678261756897	0.46506476	Yes	
row_128	ALYREF	2003	1.0773075819015503	0.46596682	Yes	
row_129	HNRNPL	2024	1.0594723224639893	0.46662697	Yes	
row_130	RBM7	2034	1.052221417427063	0.4683555	Yes	
row_131	HNRNPA2B1	2061	1.034718632698059	0.4683615	Yes	
row_132	RBM19	2067	1.03151273727417	0.4704336	Yes	
row_133	ARL6IP4	2086	1.0172123908996582	0.47118613	Yes	
