NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFAF4	30	5.845912456512451	0.100752525	Yes	
row_1	NDUFAB1	109	4.53490686416626	0.17367965	Yes	
row_2	NDUFAF6	406	3.0600149631500244	0.19962877	Yes	
row_3	NDUFB6	592	2.632450819015503	0.22860804	Yes	
row_4	ACAD9	595	2.6249969005584717	0.2749454	Yes	
row_5	NDUFA12	603	2.6164188385009766	0.32065284	Yes	
row_6	NDUFS7	700	2.4227633476257324	0.35442153	Yes	
row_7	NDUFA9	764	2.3019936084747314	0.38920352	Yes	
row_8	NDUFAF5	1016	1.9645626544952393	0.40003642	Yes	
row_9	NDUFA5	1250	1.6767194271087646	0.4074876	Yes	
row_10	NDUFA10	1258	1.6689893007278442	0.4364017	Yes	
row_11	NDUFB4	1277	1.6526912450790405	0.46397558	Yes	
row_12	NDUFB10	1324	1.602718710899353	0.48798758	Yes	
row_13	NDUFB8	1340	1.5902373790740967	0.5147412	Yes	
row_14	BCS1L	1382	1.55715811252594	0.5384235	Yes	
row_15	NDUFS3	1387	1.5548985004425049	0.56560206	Yes	
row_16	NDUFAF2	1426	1.5161062479019165	0.5888434	Yes	
row_17	NUBPL	1457	1.49113929271698	0.61240685	Yes	
row_18	NDUFAF7	1495	1.4571915864944458	0.6346996	Yes	
row_19	NDUFC2	1688	1.3103126287460327	0.6395747	Yes	
row_20	NDUFB2	2096	1.0103328227996826	0.61858404	Yes	
row_21	NDUFB5	2195	0.9626771807670593	0.6262813	Yes	
row_22	NDUFAF1	2218	0.9463885426521301	0.64095354	Yes	
row_23	NDUFA8	2399	0.8538303971290588	0.63888437	Yes	
row_24	TMEM126A	2546	0.7820229530334473	0.6387919	Yes	
row_25	TMEM126B	2662	0.7335144877433777	0.64080244	Yes	
row_26	NDUFS8	2727	0.7031208276748657	0.6471486	Yes	
row_27	NDUFA6	3102	0.5593410730361938	0.62131804	No	
row_28	NDUFS1	3267	0.502350926399231	0.61454797	No	
row_29	NDUFB7	3390	0.46475595235824585	0.6111257	No	
row_30	NDUFB3	3476	0.43626272678375244	0.6107347	No	
row_31	NDUFA2	3854	0.3293665945529938	0.580541	No	
row_32	FOXRED1	4234	0.2312730997800827	0.5484175	No	
row_33	NDUFA3	4339	0.20987194776535034	0.54219776	No	
row_34	NDUFC1	4385	0.1972103714942932	0.54139245	No	
row_35	NDUFB9	4395	0.19485169649124146	0.5439861	No	
row_36	TIMM21	4740	0.11586242914199829	0.51316196	No	
row_37	NDUFA11	5004	0.06847769767045975	0.48923957	No	
row_38	NDUFA13	5027	0.06463421136140823	0.48828256	No	
row_39	TMEM186	5344	0.01161795575171709	0.45828682	No	
row_40	NDUFS4	5845	-0.0706983432173729	0.41175252	No	
row_41	NDUFS2	5978	-0.09296979755163193	0.40078455	No	
row_42	OXA1L	6445	-0.1874903291463852	0.35956997	No	
row_43	NDUFB11	6787	-0.269718736410141	0.33175972	No	
row_44	NDUFA1	7419	-0.4585697650909424	0.2795802	No	
row_45	NDUFAF3	8359	-0.8775787353515625	0.20539062	No	
