NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA5	1134	1.7982889413833618	-0.049264867	No	
row_1	ESR1	1169	1.7609390020370483	0.0051491386	No	
row_2	PCNA	1898	1.1550743579864502	-0.026457477	No	
row_3	PLEKHA1	3194	0.5272725820541382	-0.13269159	No	
row_4	SIRT1	4857	0.0953536182641983	-0.28806657	No	
row_5	ANXA1	5606	-0.03330446779727936	-0.35830933	No	
row_6	GAS2	5681	-0.043401461094617844	-0.3639453	No	
row_7	MDK	5738	-0.05363326892256737	-0.36752972	No	
row_8	TYRO3	5770	-0.059829119592905045	-0.3685271	No	
row_9	CASP3	5884	-0.07752343267202377	-0.37676513	No	
row_10	NRIP1	6241	-0.14331868290901184	-0.40602264	No	
row_11	MAP2K6	6401	-0.17888788878917694	-0.4153286	No	
row_12	AXL	7343	-0.43378695845603943	-0.4908643	No	
row_13	NCOR2	7535	-0.5066149234771729	-0.49249154	No	
row_14	FOXO3	7536	-0.5068802833557129	-0.47589535	No	
row_15	CASP2	9429	-1.7755210399627686	-0.5981925	Yes	
row_16	IGF1R	9651	-2.1253538131713867	-0.54968023	Yes	
row_17	AFP	9764	-2.3534183502197266	-0.4833058	Yes	
row_18	STAT5B	9797	-2.4254722595214844	-0.40694302	Yes	
row_19	SGPL1	9846	-2.516005754470825	-0.32914186	Yes	
row_20	ARRB2	9982	-2.871328115463257	-0.24800353	Yes	
row_21	EGR1	10012	-2.9364376068115234	-0.15462469	Yes	
row_22	TGFB3	10461	-6.164294242858887	0.0044821617	Yes	
