NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2	1075	1.864920973777771	-0.03340166	No	
row_1	AP1G1	3243	0.512065589427948	-0.22108045	No	
row_2	BLOC1S2	3366	0.4700653553009033	-0.21529388	No	
row_3	ABCB6	3672	0.37570568919181824	-0.23045622	No	
row_4	HPS4	4703	0.12367437034845352	-0.3240989	No	
row_5	BLOC1S5	5144	0.044072624295949936	-0.36442626	No	
row_6	BLOC1S6	5386	0.003355523105710745	-0.38728493	No	
row_7	DTNBP1	5508	-0.01624082587659359	-0.3982222	No	
row_8	AP1M1	5857	-0.07224782556295395	-0.42873174	No	
row_9	BLOC1S4	6065	-0.10874344408512115	-0.44444218	No	
row_10	SNAPIN	6465	-0.19215638935565948	-0.47537142	No	
row_11	PIKFYVE	7308	-0.420629620552063	-0.54007995	No	
row_12	BLOC1S3	7661	-0.5544203519821167	-0.5531011	No	
row_13	RAB32	8920	-1.2494932413101196	-0.62676305	Yes	
row_14	TRAPPC6A	9289	-1.606711983680725	-0.60231096	Yes	
row_15	LYST	9329	-1.6490334272384644	-0.54491526	Yes	
row_16	BLOC1S1	9507	-1.884562611579895	-0.49195096	Yes	
row_17	PMEL	9714	-2.250293731689453	-0.4281979	Yes	
row_18	AP3B1	9791	-2.407599687576294	-0.34621742	Yes	
row_19	KIF13A	9816	-2.4590892791748047	-0.25736967	Yes	
row_20	RAB29	9939	-2.7458319664001465	-0.16724074	Yes	
row_21	HPS1	10021	-2.950589418411255	-0.0656133	Yes	
row_22	AP3D1	10038	-3.020979404449463	0.04482161	Yes	
