NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP7	1681	1.312984824180603	-0.114519	No	
row_1	TGFB1	2265	0.914728045463562	-0.13825881	No	
row_2	BMPR2	2866	0.6429656744003296	-0.17307094	No	
row_3	LTF	5762	-0.058698948472738266	-0.4469012	No	
row_4	ATRAID	6665	-0.24059119820594788	-0.52448696	No	
row_5	TMEM119	7210	-0.3878052532672882	-0.5628376	No	
row_6	GPM6B	7944	-0.6720864176750183	-0.60931075	No	
row_7	ACVR2A	8248	-0.8163962960243225	-0.6097888	No	
row_8	ISG15	9481	-1.8457163572311401	-0.6629921	Yes	
row_9	ATP2B1	9606	-2.0539207458496094	-0.6033697	Yes	
row_10	ADRB2	9657	-2.133375883102417	-0.533932	Yes	
row_11	ANO6	10037	-3.0113272666931152	-0.46530896	Yes	
row_12	SMAD3	10096	-3.2441225051879883	-0.358	Yes	
row_13	P2RX7	10411	-5.2517828941345215	-0.20525622	Yes	
row_14	TGFB3	10461	-6.164294242858887	0.0044787275	Yes	
