NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CANX	1998	1.0800354480743408	-0.15866217	No	
row_1	BTBD9	2358	0.8687053918838501	-0.16716729	No	
row_2	ACTG1	2441	0.8354474306106567	-0.15022218	No	
row_3	SYNJ1	3618	0.39204299449920654	-0.25083324	No	
row_4	PPP3CB	3782	0.3463842570781708	-0.25611937	No	
row_5	SCRIB	4951	0.0790446326136589	-0.36524734	No	
row_6	ITSN1	5237	0.029907366260886192	-0.39156044	No	
row_7	PIP5K1C	5360	0.0070199319161474705	-0.40299574	No	
row_8	AP2M1	5441	-0.0066333310678601265	-0.4104341	No	
row_9	FCHO2	5569	-0.02659989707171917	-0.42176604	No	
row_10	TOR1A	5799	-0.06416302919387817	-0.44171894	No	
row_11	ACTB	6060	-0.10759586840867996	-0.4633426	No	
row_12	PICALM	7760	-0.5947849750518799	-0.60785645	Yes	
row_13	ARF6	7790	-0.6080159544944763	-0.5925965	Yes	
row_14	ROCK1	7964	-0.6789587140083313	-0.58897614	Yes	
row_15	ITSN2	8002	-0.6931973099708557	-0.571954	Yes	
row_16	PACSIN1	8388	-0.9042534828186035	-0.58188653	Yes	
row_17	PPP3CC	8401	-0.9138202667236328	-0.555937	Yes	
row_18	GAK	8490	-0.9598431587219238	-0.5358762	Yes	
row_19	CALM3	8575	-1.0138546228408813	-0.51383215	Yes	
row_20	SH3GL1	8676	-1.0733742713928223	-0.49155042	Yes	
row_21	DGKQ	8714	-1.0972967147827148	-0.46254674	Yes	
row_22	VAMP4	8739	-1.1112556457519531	-0.4318885	Yes	
row_23	VAMP2	9010	-1.325218915939331	-0.41836402	Yes	
row_24	DNAJC6	9052	-1.353574275970459	-0.38214347	Yes	
row_25	CDK5	9458	-1.8109147548675537	-0.3671022	Yes	
row_26	STX1A	9804	-2.4380271434783936	-0.3277408	Yes	
row_27	DNM2	9942	-2.750030279159546	-0.25927734	Yes	
row_28	BIN1	10108	-3.280125379562378	-0.17776883	Yes	
row_29	SYNJ2	10132	-3.3824567794799805	-0.07967398	Yes	
row_30	SYP	10235	-3.894205093383789	0.026054598	Yes	
