NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPID	7	7.250855922698975	0.029914873	Yes	
row_1	HSPE1	29	5.861594200134277	0.0526164	Yes	
row_2	CD74	33	5.807124614715576	0.07682658	Yes	
row_3	HSPD1	42	5.5952887535095215	0.09966013	Yes	
row_4	CHCHD4	72	4.921378135681152	0.117622286	Yes	
row_5	HSPA9	100	4.595105171203613	0.13440108	Yes	
row_6	CCT4	103	4.571254730224609	0.15349378	Yes	
row_7	PTGES3	131	4.389127731323242	0.16940357	Yes	
row_8	HSP90AB1	138	4.3175764083862305	0.18703969	Yes	
row_9	CCT3	166	4.142268180847168	0.20190799	Yes	
row_10	CCT6A	207	3.906320571899414	0.21452528	Yes	
row_11	CCT5	233	3.7453911304473877	0.22791235	Yes	
row_12	PFDN2	244	3.683461904525757	0.24248685	Yes	
row_13	CCT8	276	3.504429817199707	0.25427783	Yes	
row_14	HSPBP1	277	3.5025551319122314	0.2690549	Yes	
row_15	RUVBL2	278	3.501028060913086	0.28382555	Yes	
row_16	FKBP4	292	3.450495481491089	0.29712743	Yes	
row_17	MOGS	326	3.312930107116699	0.30791733	Yes	
row_18	PPIC	392	3.097787857055664	0.31470892	Yes	
row_19	TCP1	425	3.0090830326080322	0.3243135	Yes	
row_20	PFDN1	440	2.9633116722106934	0.3354634	Yes	
row_21	HSP90AA1	459	2.9273252487182617	0.34607515	Yes	
row_22	PDCD5	470	2.9063775539398193	0.35737118	Yes	
row_23	CCT7	472	2.9042680263519287	0.36952755	Yes	
row_24	NUDC	564	2.70238995552063	0.3721399	Yes	
row_25	ST13	566	2.695758581161499	0.38341656	Yes	
row_26	PPIF	673	2.4664180278778076	0.38358465	Yes	
row_27	DNAJC19	687	2.442861318588257	0.39263538	Yes	
row_28	PPIE	736	2.3520004749298096	0.39792246	Yes	
row_29	AHSA1	801	2.256523370742798	0.4012614	Yes	
row_30	FKBP1A	807	2.247637987136841	0.41026115	Yes	
row_31	HSPA8	818	2.2368874549865723	0.41873264	Yes	
row_32	DNAJC2	835	2.21451997756958	0.42653027	Yes	
row_33	MKKS	836	2.213735580444336	0.4358699	Yes	
row_34	PDIA4	859	2.1886072158813477	0.4429787	Yes	
row_35	CHORDC1	890	2.133469820022583	0.4490823	Yes	
row_36	LMAN1	893	2.132596254348755	0.4578864	Yes	
row_37	TRAP1	897	2.1300103664398193	0.46658304	Yes	
row_38	ERP29	938	2.074424982070923	0.4714717	Yes	
row_39	SNRNP70	1011	1.9692658185958862	0.47282606	Yes	
row_40	CDC37	1017	1.9629452228546143	0.48062474	Yes	
row_41	TTC1	1041	1.9297778606414795	0.486545	Yes	
row_42	PTGES3L	1043	1.9245097637176514	0.49456778	Yes	
row_43	DNAJA3	1048	1.9157612323760986	0.50226396	Yes	
row_44	P4HB	1083	1.854249358177185	0.50680315	Yes	
row_45	DNAJA1	1099	1.832223653793335	0.51308453	Yes	
row_46	HSPA5	1134	1.7982889413833618	0.5173876	Yes	
row_47	PPIL3	1139	1.7943583726882935	0.5245716	Yes	
row_48	SIL1	1141	1.7933932542800903	0.53204125	Yes	
