NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFRC	256	3.5780036449432373	0.0042147115	No	
row_1	NEDD4	288	3.463336944580078	0.029114079	No	
row_2	ITGB1	726	2.3575551509857178	0.006123275	No	
row_3	TBC1D16	1136	1.7963078022003174	-0.018696062	No	
row_4	CALCRL	1190	1.7393667697906494	-0.009785684	No	
row_5	ZNRF3	1492	1.4590340852737427	-0.026948087	No	
row_6	MKLN1	1656	1.330600380897522	-0.031891588	No	
row_7	ATXN2	1752	1.2648197412490845	-0.030834261	No	
row_8	ANKRD13B	2047	1.0447243452072144	-0.05065921	No	
row_9	FNTA	2076	1.0229977369308472	-0.045114044	No	
row_10	TGFB1	2265	0.914728045463562	-0.05580575	No	
row_11	ARF1	2281	0.9073037505149841	-0.049943365	No	
row_12	ECE1	2284	0.9028067588806152	-0.042868737	No	
row_13	PLEKHJ1	2538	0.7837021350860596	-0.060857266	No	
row_14	RNF43	2628	0.750861644744873	-0.06336059	No	
row_15	SMURF1	2781	0.6805956959724426	-0.072479606	No	
row_16	MVB12A	2887	0.6307353377342224	-0.077486366	No	
row_17	GTF2H2	2984	0.601906418800354	-0.08186086	No	
row_18	TBC1D5	3554	0.4125734269618988	-0.1331833	No	
row_19	CD81	3953	0.3018966317176819	-0.16897479	No	
row_20	PICK1	3955	0.30160805583000183	-0.16664317	No	
row_21	UBQLN2	4080	0.2687220871448517	-0.17638843	No	
row_22	RIN3	4126	0.2577902674674988	-0.17863499	No	
row_23	SH3GLB1	4604	0.14370141923427582	-0.22328646	No	
row_24	VAMP3	4654	0.13432127237319946	-0.22691096	No	
row_25	CLTC	4764	0.11226189136505127	-0.23647505	No	
row_26	SCRIB	4951	0.0790446326136589	-0.25370112	No	
row_27	DLG4	5247	0.028126971796154976	-0.28180468	No	
row_28	RAB5A	5263	0.025527067482471466	-0.28303972	No	
row_29	OPTN	5427	-0.004623185843229294	-0.29865602	No	
row_30	AP2M1	5441	-0.0066333310678601265	-0.2998511	No	
row_31	FMR1	5497	-0.014834550209343433	-0.30501354	No	
row_32	DTNBP1	5508	-0.01624082587659359	-0.30584314	No	
row_33	PIK3R4	5571	-0.02695922739803791	-0.31158024	No	
row_34	AHI1	5683	-0.044317811727523804	-0.3218833	No	
row_35	ITGB3	5874	-0.07494158297777176	-0.3395265	No	
row_36	SNX1	5985	-0.09449995309114456	-0.3493296	No	
row_37	ANKRD13A	6021	-0.10030078142881393	-0.35188344	No	
row_38	AP1AR	6088	-0.112980917096138	-0.3573123	No	
row_39	KIF16B	6100	-0.11497347056865692	-0.35744324	No	
row_40	LAMTOR1	6170	-0.12792308628559113	-0.36303994	No	
row_41	GRK4	6202	-0.13447968661785126	-0.36493456	No	
row_42	ATAD1	6268	-0.14825770258903503	-0.36998343	No	
row_43	SNX25	6411	-0.18224675953388214	-0.38215333	No	
row_44	CHMP5	6444	-0.18707942962646484	-0.3837206	No	
row_45	RAB31	6605	-0.22520974278450012	-0.3972733	No	
row_46	ALS2	7157	-0.37408703565597534	-0.4471769	No	
row_47	PSEN1	7286	-0.41038358211517334	-0.45616603	No	
row_48	MTMR2	7512	-0.4960924983024597	-0.4737806	No	
row_49	PICALM	7760	-0.5947849750518799	-0.4927135	No	
row_50	APOE	8021	-0.7020674347877502	-0.5120314	No	
row_51	NUMB	8141	-0.7588955163955688	-0.51735103	Yes	
row_52	CD9	8193	-0.7851164937019348	-0.51592934	Yes	
row_53	LDLR	8215	-0.7963892221450806	-0.51153594	Yes	
row_54	GRB2	8245	-0.814365565776825	-0.50776607	Yes	
row_55	LMTK2	8323	-0.8531099557876587	-0.508294	Yes	
row_56	SAG	8329	-0.8561180233955383	-0.50188327	Yes	
row_57	ANKRD13D	8351	-0.8691954016685486	-0.4969038	Yes	
row_58	LDLRAP1	8358	-0.8759050965309143	-0.49042985	Yes	
row_59	INSR	8390	-0.906408965587616	-0.48611122	Yes	
row_60	SCYL2	8408	-0.9188916683197021	-0.48034763	Yes	
row_61	ITCH	8439	-0.9364159107208252	-0.4756914	Yes	
row_62	UVRAG	8533	-0.9873387813568115	-0.47667548	Yes	
row_63	ARFGEF2	8741	-1.1130977869033813	-0.48759514	Yes	
row_64	GPRASP1	8764	-1.125009536743164	-0.4806527	Yes	
row_65	RAMP1	8780	-1.1310064792633057	-0.4729897	Yes	
row_66	LRPAP1	8855	-1.2054656744003296	-0.47039342	Yes	
row_67	BECN1	8924	-1.2545688152313232	-0.46682566	Yes	
row_68	INPP5F	9011	-1.325411319732666	-0.46441635	Yes	
row_69	RAB11B	9092	-1.3994795083999634	-0.46083462	Yes	
row_70	FURIN	9229	-1.5522592067718506	-0.46140108	Yes	
row_71	ITGB2	9274	-1.5902782678604126	-0.4528264	Yes	
row_72	EZR	9306	-1.6269704103469849	-0.442708	Yes	
row_73	CDK5	9458	-1.8109147548675537	-0.44263303	Yes	
row_74	RAMP3	9503	-1.879115343093872	-0.4317335	Yes	
row_75	CAPN1	9542	-1.9468644857406616	-0.41971245	Yes	
row_76	ANXA2	9637	-2.100144386291504	-0.41183558	Yes	
row_77	ARC	9667	-2.161738634109497	-0.3972207	Yes	
row_78	ARRB1	9691	-2.2050328254699707	-0.38168117	Yes	
row_79	TRAT1	9758	-2.3464887142181396	-0.3691325	Yes	
row_80	FUT8	9849	-2.520073652267456	-0.35749146	Yes	
row_81	LMBRD1	9851	-2.52388072013855	-0.33727276	Yes	
row_82	NSF	9870	-2.5572941303253174	-0.3184177	Yes	
row_83	MYLIP	9881	-2.570596218109131	-0.2986873	Yes	
row_84	LAPTM5	9908	-2.6335697174072266	-0.27998656	Yes	
row_85	SDCBP	9924	-2.6993045806884766	-0.25970036	Yes	
row_86	RAB29	9939	-2.7458319664001465	-0.23894362	Yes	
row_87	DNM2	9942	-2.750030279159546	-0.21700068	Yes	
row_88	SORL1	9979	-2.867133378982544	-0.19738032	Yes	
row_89	ARRB2	9982	-2.871328115463257	-0.17446107	Yes	
row_90	EHD3	10022	-2.9539084434509277	-0.15443036	Yes	
row_91	ABCA2	10160	-3.4745934009552	-0.13961998	Yes	
row_92	FLOT1	10344	-4.6105055809021	-0.12008418	Yes	
row_93	DTX3L	10382	-4.960660457611084	-0.08370905	Yes	
row_94	PTPN1	10443	-5.717962741851807	-0.043447174	Yes	
row_95	LGMN	10459	-6.161427021026611	0.004705671	Yes	
