NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCOR	1531	1.4264729022979736	-0.12373862	No	
row_1	BMP7	1681	1.312984824180603	-0.11731619	No	
row_2	ATF4	2079	1.020234227180481	-0.13917525	No	
row_3	ROCK2	2169	0.9735248684883118	-0.13236274	No	
row_4	TGFB1	2265	0.914728045463562	-0.1270477	No	
row_5	BMPR2	2866	0.6429656744003296	-0.17422107	No	
row_6	GATA1	3239	0.513775110244751	-0.2016579	No	
row_7	FBXO5	4021	0.2831849157810211	-0.2717701	No	
row_8	TXLNG	4464	0.17679943144321442	-0.31118947	No	
row_9	HEY1	4568	0.1496797353029251	-0.31866947	No	
row_10	ZMPSTE24	5672	-0.041945602744817734	-0.4233182	No	
row_11	LTF	5762	-0.058698948472738266	-0.43089235	No	
row_12	ENPP1	5805	-0.06499175727367401	-0.4338802	No	
row_13	ATRAID	6665	-0.24059119820594788	-0.5121092	No	
row_14	TMEM119	7210	-0.3878052532672882	-0.5579487	No	
row_15	GPM6B	7944	-0.6720864176750183	-0.61736226	No	
row_16	ROCK1	7964	-0.6789587140083313	-0.6084989	No	
row_17	ACVR2A	8248	-0.8163962960243225	-0.6226794	No	
row_18	BMP2K	9135	-1.438145637512207	-0.6846534	Yes	
row_19	TRPM4	9166	-1.475752353668213	-0.6643098	Yes	
row_20	SLC4A2	9338	-1.6571729183197021	-0.6545751	Yes	
row_21	ISG15	9481	-1.8457163572311401	-0.6391066	Yes	
row_22	NBR1	9514	-1.8975062370300293	-0.6123214	Yes	
row_23	ATP2B1	9606	-2.0539207458496094	-0.58870935	Yes	
row_24	ADRB2	9657	-2.133375883102417	-0.5599334	Yes	
row_25	PTK2B	9731	-2.281625986099243	-0.53102195	Yes	
row_26	NOTCH1	9915	-2.658745765686035	-0.5066821	Yes	
row_27	SRGN	9931	-2.717839479446411	-0.46537316	Yes	
row_28	ECM1	9997	-2.901963710784912	-0.42594242	Yes	
row_29	ANO6	10037	-3.0113272666931152	-0.3823095	Yes	
row_30	SMAD3	10096	-3.2441225051879883	-0.3368296	Yes	
row_31	HIF1A	10367	-4.785515785217285	-0.2873502	Yes	
row_32	P2RX7	10411	-5.2517828941345215	-0.20886552	Yes	
row_33	TGFB3	10461	-6.164294242858887	-0.11660344	Yes	
row_34	S1PR1	10497	-7.693912506103516	0.0010502079	Yes	
