NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGR	88	4.757086753845215	0.030301183	No	
row_1	RAB8B	642	2.5174081325531006	-0.0023028818	No	
row_2	IFNG	953	2.0643882751464844	-0.015258958	No	
row_3	DVL1	1121	1.813934087753296	-0.01652117	No	
row_4	DOC2A	1433	1.5088932514190674	-0.034098554	No	
row_5	RAB21	1466	1.4857068061828613	-0.025068821	No	
row_6	ATP2A2	1847	1.1852773427963257	-0.05190947	No	
row_7	BCR	2090	1.0153995752334595	-0.06688006	No	
row_8	CLASP1	2098	1.0101269483566284	-0.0593235	No	
row_9	P2RY1	2239	0.9300537109375	-0.06519297	No	
row_10	ADORA2A	2270	0.9115440249443054	-0.060648486	No	
row_11	PREPL	2525	0.7884347438812256	-0.07862054	No	
row_12	RAB33B	2589	0.7606990933418274	-0.07847431	No	
row_13	ATP13A2	2657	0.7366399168968201	-0.07890826	No	
row_14	STXBP5	2674	0.7302696108818054	-0.074495904	No	
row_15	RAB10	2682	0.7248347401618958	-0.069263436	No	
row_16	GATA1	3239	0.513775110244751	-0.118477955	No	
row_17	AP1G1	3243	0.512065589427948	-0.114594616	No	
row_18	PDPK1	3433	0.4523342251777649	-0.12906186	No	
row_19	STAM	3487	0.4336663782596588	-0.13061935	No	
row_20	VAMP8	3584	0.40378516912460327	-0.13655008	No	
row_21	SNF8	3645	0.3841746151447296	-0.13918304	No	
row_22	GIT1	3793	0.3436580300331116	-0.1505018	No	
row_23	PLA2G6	3926	0.3105132579803467	-0.16064993	No	
row_24	RABGEF1	4004	0.2876492440700531	-0.16570194	No	
row_25	CHMP6	4099	0.2635294795036316	-0.17258318	No	
row_26	LGALS9	4226	0.23353880643844604	-0.18278211	No	
row_27	RAP1A	4601	0.14422018826007843	-0.21752733	No	
row_28	CHMP3	4692	0.126191183924675	-0.22514321	No	
row_29	RAP1B	4788	0.10722283273935318	-0.23339382	No	
row_30	BACE1	5101	0.05139455571770668	-0.26294056	No	
row_31	HGS	5105	0.050108492374420166	-0.26282048	No	
row_32	RAB5A	5263	0.025527067482471466	-0.2776913	No	
row_33	RAB12	5486	-0.013142862357199192	-0.2989058	No	
row_34	FMR1	5497	-0.014834550209343433	-0.29974535	No	
row_35	DTNBP1	5508	-0.01624082587659359	-0.3005735	No	
row_36	ANXA1	5606	-0.03330446779727936	-0.30961835	No	
row_37	TSG101	5622	-0.035333648324012756	-0.31077117	No	
row_38	VPS4B	5991	-0.09554105252027512	-0.34533668	No	
row_39	CHMP2A	6138	-0.12222728878259659	-0.35836324	No	
row_40	RAPGEF4	6424	-0.18399743735790253	-0.3842366	No	
row_41	FBXL20	6431	-0.18465019762516022	-0.38330862	No	
row_42	SNAPIN	6465	-0.19215638935565948	-0.38491267	No	
row_43	RALA	6484	-0.19635535776615143	-0.38504186	No	
row_44	RAB3GAP1	6696	-0.2486579418182373	-0.40328127	No	
row_45	HAP1	6740	-0.2583633065223694	-0.4053064	No	
row_46	STXBP3	6755	-0.26203009486198425	-0.40451643	No	
row_47	CLASP2	7267	-0.4050340950489044	-0.45029485	No	
row_48	REST	7327	-0.42683711647987366	-0.45248422	No	
row_49	GSK3B	7422	-0.45999279618263245	-0.45776498	No	
row_50	SPHK2	7477	-0.48169708251953125	-0.45902723	No	
row_51	PFN2	7767	-0.5990476012229919	-0.4819036	No	
row_52	STXBP2	8062	-0.7180779576301575	-0.5042905	No	
row_53	IL4	8102	-0.7383607029914856	-0.50202125	No	
row_54	GIPC1	8262	-0.8237731456756592	-0.5105813	No	
row_55	RPH3AL	8274	-0.829251229763031	-0.50488245	No	
row_56	TPCN2	8513	-0.9756613969802856	-0.51979256	No	
row_57	CALM3	8575	-1.0138546228408813	-0.517392	No	
row_58	PDCD6IP	8722	-1.1002886295318604	-0.5224509	Yes	
row_59	CCR2	8756	-1.1208134889602661	-0.51648974	Yes	
row_60	SNX4	8766	-1.1258872747421265	-0.5081822	Yes	
row_61	TRPV6	8837	-1.1870241165161133	-0.5052353	Yes	
row_62	GNAI2	8838	-1.1877391338348389	-0.49555957	Yes	
row_63	RAB3D	8856	-1.2058218717575073	-0.48736924	Yes	
row_64	RAB8A	8858	-1.2071657180786133	-0.47763127	Yes	
row_65	GAB2	8871	-1.2156171798706055	-0.46888092	Yes	
row_66	ATP9A	8894	-1.2290029525756836	-0.46098197	Yes	
row_67	KCNB1	8931	-1.2575767040252686	-0.45419484	Yes	
row_68	NCKAP1L	8982	-1.3068561553955078	-0.44835085	Yes	
row_69	VPS18	8983	-1.3073146343231201	-0.437701	Yes	
row_70	VAMP2	9010	-1.325218915939331	-0.42940238	Yes	
row_71	RAB2B	9046	-1.347594141960144	-0.4217859	Yes	
row_72	RAB26	9066	-1.3755812644958496	-0.41240472	Yes	
row_73	VPS4A	9193	-1.5171880722045898	-0.41214657	Yes	
row_74	STXBP1	9268	-1.5854383707046509	-0.4063382	Yes	
row_75	LAMP1	9273	-1.5893841981887817	-0.39377466	Yes	
row_76	ITGB2	9274	-1.5902782678604126	-0.38081968	Yes	
row_77	RAC2	9430	-1.775589108467102	-0.38124174	Yes	
row_78	ITGAM	9450	-1.801298975944519	-0.36839253	Yes	
row_79	CDK5	9458	-1.8109147548675537	-0.35431245	Yes	
row_80	RAB3A	9736	-2.2969284057617188	-0.36220476	Yes	
row_81	RAB27A	9799	-2.4284584522247314	-0.3483763	Yes	
row_82	STX1A	9804	-2.4380271434783936	-0.3288994	Yes	
row_83	F2RL1	9866	-2.5537760257720947	-0.31395406	Yes	
row_84	NSF	9870	-2.5572941303253174	-0.29340953	Yes	
row_85	BAIAP3	9872	-2.561854839324951	-0.27263576	Yes	
row_86	UNC13D	9880	-2.569169044494629	-0.25237867	Yes	
row_87	HMOX1	9903	-2.6173505783081055	-0.23316972	Yes	
row_88	NOTCH1	9915	-2.658745765686035	-0.21256708	Yes	
row_89	SDCBP	9924	-2.6993045806884766	-0.1913459	Yes	
row_90	MICAL1	9957	-2.793658494949341	-0.17166111	Yes	
row_91	SYT13	10050	-3.0719099044799805	-0.15547216	Yes	
row_92	PRKCB	10053	-3.0783300399780273	-0.13058706	Yes	
row_93	CD84	10230	-3.858182430267334	-0.11606046	Yes	
row_94	SYP	10235	-3.894205093383789	-0.08472101	Yes	
row_95	SLC4A8	10268	-4.123136043548584	-0.05420581	Yes	
row_96	SYT11	10508	-9.471718788146973	-1.724402E-9	Yes	
