NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.009026083	Yes	
row_1	NOP16	15	6.486106872558594	0.01764114	Yes	
row_2	NHP2	20	6.136864185333252	0.025771072	Yes	
row_3	RPF2	22	6.088015079498291	0.034129154	Yes	
row_4	C1QBP	32	5.812370300292969	0.041314997	Yes	
row_5	NIP7	34	5.753580570220947	0.049208518	Yes	
row_6	PPAN	35	5.748079776763916	0.057193067	Yes	
row_7	WDR43	54	5.387223243713379	0.062900335	Yes	
row_8	RSL1D1	58	5.337189197540283	0.07001812	Yes	
row_9	EIF2S2	60	5.300622940063477	0.07728245	Yes	
row_10	LYAR	70	4.969549179077148	0.08329754	Yes	
row_11	RPL7A	71	4.968560695648193	0.090199284	Yes	
row_12	HEATR3	73	4.9117655754089355	0.096923456	Yes	
row_13	MRTO4	74	4.910591125488281	0.10374466	Yes	
row_14	NOP56	78	4.855929374694824	0.11019394	Yes	
row_15	RPL5	82	4.819319725036621	0.11659236	Yes	
row_16	NOP58	84	4.801177978515625	0.123162925	Yes	
row_17	NOP2	91	4.713138580322266	0.12911785	Yes	
row_18	NLE1	98	4.633648872375488	0.13496235	Yes	
row_19	FBL	99	4.607914924621582	0.14136313	Yes	
row_20	WDR74	101	4.591402530670166	0.14764228	Yes	
row_21	DENR	104	4.5703301429748535	0.15379351	Yes	
row_22	RCL1	110	4.508786678314209	0.15956324	Yes	
row_23	DKC1	112	4.5052490234375	0.16572273	Yes	
row_24	LTV1	122	4.442068099975586	0.17100511	Yes	
row_25	FTSJ3	124	4.435980796813965	0.17706838	Yes	
row_26	RRP9	130	4.393106460571289	0.18267743	Yes	
row_27	PTGES3	131	4.389127731323242	0.18877429	Yes	
row_28	HSP90AB1	138	4.3175764083862305	0.19417974	Yes	
row_29	NOLC1	141	4.301348686218262	0.19995733	Yes	
row_30	DDX56	142	4.30035400390625	0.20593086	Yes	
row_31	MRPS7	150	4.276183605194092	0.21118015	Yes	
row_32	BYSL	156	4.244655609130859	0.21658298	Yes	
row_33	GPATCH4	157	4.244081020355225	0.22247836	Yes	
row_34	MYBBP1A	159	4.208714008331299	0.22822595	Yes	
row_35	DDX18	170	4.116891384124756	0.23295796	Yes	
row_36	PRMT7	189	3.9930367469787598	0.2367286	Yes	
row_37	AATF	193	3.981710910797119	0.2419635	Yes	
row_38	SNRPD3	196	3.9591190814971924	0.24726571	Yes	
row_39	RSL24D1	212	3.884611129760742	0.25118172	Yes	
row_40	GTPBP4	213	3.8796870708465576	0.25657094	Yes	
row_41	PRMT5	218	3.825890064239502	0.26149073	Yes	
