NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPF2	22	6.088015079498291	0.09071323	Yes	
row_1	PPAN	35	5.748079776763916	0.17719784	Yes	
row_2	MRTO4	74	4.910591125488281	0.24843551	Yes	
row_3	RPL5	82	4.819319725036621	0.32123807	Yes	
row_4	NOP2	91	4.713138580322266	0.39232656	Yes	
row_5	NLE1	98	4.633648872375488	0.46239394	Yes	
row_6	BRIX1	222	3.784864664077759	0.50836396	Yes	
row_7	MRPL20	386	3.131471633911133	0.54055846	Yes	
row_8	RPL6	410	3.04449462890625	0.58477813	Yes	
row_9	BOP1	478	2.8917932510375977	0.6224738	Yes	
row_10	RPL10	569	2.6917612552642822	0.6549266	Yes	
row_11	RPL3	590	2.6358344554901123	0.6932023	Yes	
row_12	RPLP0	635	2.5317580699920654	0.7276027	Yes	
row_13	MDN1	718	2.3808038234710693	0.7560779	Yes	
row_14	RPL11	939	2.074333667755127	0.7667206	Yes	
row_15	FASTKD2	1077	1.8634841442108154	0.7820642	Yes	
row_16	RRS1	1087	1.8490773439407349	0.80939496	Yes	
row_17	DHX30	1133	1.8008278608322144	0.83255696	Yes	
row_18	RPL38	1684	1.3114804029464722	0.8000995	No	
row_19	RPL23A	1911	1.142180323600769	0.7959594	No	
row_20	RPL24	2021	1.0603479146957397	0.8017295	No	
row_21	TRAF7	3893	0.3180638253688812	0.62815	No	
row_22	DDX28	6370	-0.17027270793914795	0.3946214	No	
