NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.05996359	Yes	
row_1	RCL1	110	4.508786678314209	0.08858944	Yes	
row_2	LTV1	122	4.442068099975586	0.1250789	Yes	
row_3	MRPS7	150	4.276183605194092	0.1586341	Yes	
row_4	BYSL	156	4.244655609130859	0.1940297	Yes	
row_5	NOB1	267	3.5448877811431885	0.21345554	Yes	
row_6	TSR2	294	3.4462897777557373	0.24009252	Yes	
row_7	RPS5	399	3.0786116123199463	0.25615215	Yes	
row_8	TBL3	457	2.929062843322754	0.27544892	Yes	
row_9	TSR1	466	2.9159536361694336	0.29932746	Yes	
row_10	PWP2	480	2.8871116638183594	0.32248342	Yes	
row_11	RPS6	510	2.8166792392730713	0.34351182	Yes	
row_12	WDR46	514	2.8123579025268555	0.36699364	Yes	
row_13	NOL11	537	2.7793469429016113	0.3883769	Yes	
row_14	UTP20	572	2.6815292835235596	0.40778422	Yes	
row_15	DCAF13	616	2.5752134323120117	0.4254311	Yes	
row_16	NOL10	628	2.5458381175994873	0.44589424	Yes	
row_17	RPS8	634	2.532282590866089	0.46681744	Yes	
row_18	NAT10	637	2.530890464782715	0.48801616	Yes	
row_19	NOM1	653	2.507387399673462	0.50777125	Yes	
row_20	RRP7A	710	2.40057635307312	0.5226972	Yes	
row_21	RPS27L	866	2.179076671600342	0.52627015	Yes	
row_22	XRCC5	1030	1.941595435142517	0.5270698	Yes	
row_23	RIOK2	1040	1.930647373199463	0.5425251	Yes	
row_24	DHX37	1063	1.8803589344024658	0.5563104	Yes	
row_25	HEATR1	1071	1.8687711954116821	0.5714343	Yes	
row_26	RRS1	1087	1.8490773439407349	0.5856256	Yes	
row_27	RPS7	1153	1.7798781394958496	0.5944437	Yes	
row_28	SRFBP1	1226	1.7026687860488892	0.60193884	Yes	
row_29	UTP6	1337	1.5914865732192993	0.6048552	Yes	
row_30	WDR3	1403	1.5380481481552124	0.6116294	Yes	
row_31	METTL17	1441	1.500835657119751	0.6207706	Yes	
row_32	RPS16	1477	1.4720252752304077	0.6298598	Yes	
row_33	RPS15	1541	1.4204641580581665	0.6358318	Yes	
row_34	RPS25	1558	1.4029964208602905	0.6461572	Yes	
row_35	NOP14	1588	1.3805376291275024	0.6550478	Yes	
row_36	RPL38	1684	1.3114804029464722	0.6570341	Yes	
row_37	RPS17	1703	1.2992138862609863	0.6662908	Yes	
row_38	ABT1	1748	1.2659112215042114	0.67277616	Yes	
row_39	LSM6	1765	1.2536792755126953	0.6818396	Yes	
row_40	RPS19	1859	1.1772502660751343	0.68288296	Yes	
row_41	RPP40	1952	1.1131724119186401	0.68348056	Yes	
row_42	UTP3	2007	1.0739473104476929	0.6873858	Yes	
row_43	RPS24	2008	1.0733542442321777	0.69645745	Yes	
row_44	NOP9	2029	1.0562416315078735	0.7034691	Yes	
row_45	RPS14	2142	0.9877768158912659	0.7010915	No	
row_46	RIOK1	2344	0.8756644129753113	0.6892432	No	
row_47	ERCC2	2596	0.7591966390609741	0.6716221	No	
row_48	RPSA	2693	0.7191480994224548	0.6685065	No	
row_49	RPS28	2753	0.6904450058937073	0.66869164	No	
row_50	BMS1	2820	0.6626753807067871	0.66797173	No	
row_51	RPS21	2853	0.6483086347579956	0.6703865	No	
row_52	ERAL1	3142	0.5474912524223328	0.64743274	No	
row_53	GTF2H5	3184	0.5308347940444946	0.6479928	No	
row_54	RPS27	3409	0.458025187253952	0.630412	No	
row_55	EMG1	3521	0.4217608571052551	0.62334645	No	
row_56	SURF6	3563	0.4094582200050354	0.6228806	No	
row_57	MRPS11	4332	0.2110665887594223	0.55111533	No	
row_58	RRP36	4527	0.16183599829673767	0.5339043	No	
row_59	NGDN	5325	0.014905816875398159	0.45770392	No	
row_60	UTP23	6015	-0.09946046769618988	0.392561	No	
row_61	TSR3	6276	-0.1492062360048294	0.3689226	No	
row_62	HELB	6481	-0.1956060826778412	0.35103932	No	
row_63	DDX52	7261	-0.40334874391555786	0.2798457	No	
row_64	KRI1	7971	-0.6818200945854187	0.21770936	No	
row_65	RIOK3	9050	-1.3515956401824951	0.12589568	No	
row_66	PRKDC	9296	-1.613518238067627	0.116069674	No	
