NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.02939283	Yes	
row_1	NHP2	20	6.136864185333252	0.054370116	Yes	
row_2	NOP58	84	4.801177978515625	0.06850289	Yes	
row_3	KPNB1	97	4.6404290199279785	0.08688758	Yes	
row_4	FBL	99	4.607914924621582	0.10619845	Yes	
row_5	CCT4	103	4.571254730224609	0.12516162	Yes	
row_6	DKC1	112	4.5052490234375	0.14336355	Yes	
row_7	CCT3	166	4.142268180847168	0.1556876	Yes	
row_8	CCT6A	207	3.906320571899414	0.1682743	Yes	
row_9	NSUN2	226	3.771775007247925	0.18242055	Yes	
row_10	CCT5	233	3.7453911304473877	0.19761541	Yes	
row_11	EIF5A	271	3.5260114669799805	0.20889027	Yes	
row_12	CCT8	276	3.504429817199707	0.22326358	Yes	
row_13	RUVBL2	278	3.501028060913086	0.23791248	Yes	
row_14	ZNHIT3	309	3.3785650730133057	0.24924284	Yes	
row_15	ZNHIT6	317	3.351102352142334	0.2626804	Yes	
row_16	SEH1L	320	3.3410847187042236	0.27655903	Yes	
row_17	RUVBL1	329	3.3010473251342773	0.28968912	Yes	
row_18	NAF1	365	3.2023470401763916	0.29979408	Yes	
row_19	NUP54	371	3.1777596473693848	0.31269488	Yes	
row_20	PRPF31	375	3.1682252883911133	0.3257488	Yes	
row_21	XPOT	389	3.1106975078582764	0.33759394	Yes	
row_22	NCBP2	394	3.093069553375244	0.3502347	Yes	
row_23	TCP1	425	3.0090830326080322	0.3600089	Yes	
row_24	SRSF7	432	2.9767565727233887	0.37196645	Yes	
row_25	NUP35	435	2.9698281288146973	0.3842814	Yes	
row_26	CCT7	472	2.9042680263519287	0.39303425	Yes	
row_27	RAN	494	2.8468964099884033	0.40299517	Yes	
row_28	NUP37	625	2.5497231483459473	0.40117002	Yes	
row_29	POLR2D	720	2.3721086978912354	0.40207607	Yes	
row_30	NUP88	760	2.307795286178589	0.40802675	Yes	
row_31	NUP43	788	2.2719192504882812	0.41498613	Yes	
row_32	TOMM20	796	2.2638473510742188	0.42384443	Yes	
row_33	AGFG1	824	2.2248640060424805	0.43060562	Yes	
row_34	SSB	856	2.1898770332336426	0.43683285	Yes	
row_35	HSF1	863	2.1819655895233154	0.44544291	Yes	
row_36	HNRNPA3	910	2.115518093109131	0.44990727	Yes	
row_37	LRPPRC	949	2.0660817623138428	0.4549366	Yes	
row_38	PNPT1	951	2.065568685531616	0.46353966	Yes	
row_39	FYTTD1	968	2.034011125564575	0.47056013	Yes	
row_40	NXT1	988	2.0038511753082275	0.4771636	Yes	
row_41	NUTF2	1020	1.9547337293624878	0.48240048	Yes	
row_42	SHQ1	1135	1.7969648838043213	0.47895122	Yes	
row_43	CCT2	1144	1.7901852130889893	0.4857179	Yes	
row_44	DDX39B	1214	1.7152656316757202	0.48627362	Yes	
row_45	SNUPN	1240	1.68474280834198	0.4909532	Yes	
row_46	SRSF3	1252	1.6751505136489868	0.49694547	Yes	
row_47	NDC1	1257	1.6700509786605835	0.5035928	Yes	
row_48	SRSF1	1383	1.5568795204162598	0.4980692	Yes	
row_49	ENY2	1394	1.547760248184204	0.5036216	Yes	
row_50	RBM15B	1407	1.5349653959274292	0.50892675	Yes	
row_51	SARNP	1435	1.5063928365707397	0.5126619	Yes	
row_52	NOL6	1484	1.4669692516326904	0.5142014	Yes	
row_53	THOC1	1510	1.447059154510498	0.5178799	Yes	
row_54	MVP	1539	1.4209229946136475	0.52115846	Yes	
row_55	DCP2	1572	1.3967416286468506	0.5239485	Yes	
row_56	NOP10	1573	1.3965778350830078	0.5298306	Yes	
row_57	NUP98	1583	1.3846731185913086	0.5347927	Yes	
row_58	CETN3	1659	1.3280514478683472	0.5331377	Yes	
row_59	NUP85	1694	1.3062076568603516	0.5353532	Yes	
row_60	PABPN1	1730	1.2787058353424072	0.5373562	Yes	
row_61	ATXN2	1752	1.2648197412490845	0.54065377	Yes	
row_62	MRPL18	1763	1.2557836771011353	0.54497635	Yes	
row_63	THOC3	1807	1.21453058719635	0.54593587	Yes	
row_64	AAAS	1878	1.1684528589248657	0.54409194	Yes	
row_65	SMG7	1981	1.0940719842910767	0.53884196	Yes	
row_66	RAE1	1991	1.0874595642089844	0.5425523	Yes	
row_67	ALYREF	2003	1.0773075819015503	0.5460265	Yes	
row_68	YY1	2037	1.0497591495513916	0.54725856	Yes	
row_69	HNRNPA2B1	2061	1.034718632698059	0.5493937	Yes	
row_70	ATR	2187	0.9653208255767822	0.5413786	Yes	
row_71	NCBP1	2208	0.9500609636306763	0.54344714	Yes	
row_72	DHX36	2220	0.9454067945480347	0.54636586	Yes	
row_73	PHAX	2280	0.9076480865478516	0.5444866	Yes	
row_74	HNRNPA1	2294	0.8976671695709229	0.54701096	Yes	
row_75	EXOSC10	2297	0.8960273265838623	0.5505915	Yes	
row_76	XPO5	2456	0.8276522159576416	0.5388073	No	
row_77	BICD2	2507	0.7979835867881775	0.5373359	No	
row_78	NUP133	2601	0.7566133141517639	0.53153443	No	
row_79	HNRNPU	2637	0.7454180717468262	0.53129137	No	
row_80	HNRNPAB	2647	0.7390851974487305	0.5335344	No	
row_81	NUP155	2677	0.7288364171981812	0.5338014	No	
row_82	DHX9	2745	0.694375216960907	0.5302506	No	
row_83	NUP214	2758	0.6886076927185059	0.5319911	No	
row_84	POM121	2767	0.6865628957748413	0.5341096	No	
row_85	NUP160	2771	0.6851981282234192	0.53670555	No	
