NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.032716617	Yes	
row_1	PUS1	44	5.471492767333984	0.06138801	Yes	
row_2	METTL1	65	5.024819850921631	0.08782692	Yes	
row_3	NOP2	91	4.713138580322266	0.112024546	Yes	
row_4	FBL	99	4.607914924621582	0.1373626	Yes	
row_5	DKC1	112	4.5052490234375	0.16163929	Yes	
row_6	FTSJ3	124	4.435980796813965	0.18562132	Yes	
row_7	PUS7	126	4.427617073059082	0.2105197	Yes	
row_8	TRMT61A	148	4.282327175140381	0.23267074	Yes	
row_9	METTL16	221	3.7860822677612305	0.24710615	Yes	
row_10	NSUN2	226	3.771775007247925	0.2680131	Yes	
row_11	DIMT1	243	3.689640522003174	0.2873001	Yes	
row_12	WDR4	246	3.6724400520324707	0.307839	Yes	
row_13	THUMPD1	312	3.3666422367095947	0.3205811	Yes	
row_14	TRMT6	316	3.3524951934814453	0.3392175	Yes	
row_15	PUSL1	342	3.2752764225006104	0.35529813	Yes	
row_16	NAF1	365	3.2023470401763916	0.3712561	Yes	
row_17	GAR1	374	3.170020818710327	0.38838062	Yes	
row_18	TRMT5	377	3.1571292877197266	0.4060105	Yes	
row_19	DUS1L	414	3.033384084701538	0.41966566	Yes	
row_20	ELP3	415	3.032257318496704	0.43678334	Yes	
row_21	DPH3	523	2.8006491661071777	0.44228324	Yes	
row_22	TRMT11	545	2.7660491466522217	0.45587462	Yes	
row_23	TRMT1	602	2.619614839553833	0.46526682	Yes	
row_24	TRMT2A	611	2.5909223556518555	0.4791222	Yes	
row_25	NAT10	637	2.530890464782715	0.49100062	Yes	
row_26	ELP5	669	2.476346731185913	0.501993	Yes	
row_27	TRMT10A	686	2.443743944168091	0.51424664	Yes	
row_28	METTL5	794	2.2651941776275635	0.5167238	Yes	
row_29	DUS4L	823	2.227350950241089	0.52659965	Yes	
row_30	QTRT1	848	2.1976094245910645	0.536693	Yes	
row_31	SSB	856	2.1898770332336426	0.54838073	Yes	
row_32	TRMT10C	891	2.133017063140869	0.5571459	Yes	
row_33	NSUN5	950	2.0657243728637695	0.56321853	Yes	
row_34	DTWD2	972	2.024434804916382	0.5726234	Yes	
row_35	TGS1	1033	1.9362365007400513	0.5777723	Yes	
row_36	THG1L	1064	1.8776541948318481	0.5854813	Yes	
row_37	CTU2	1159	1.7704834938049316	0.5864184	Yes	
row_38	TYW3	1170	1.7553842067718506	0.5953643	Yes	
row_39	RBM15B	1407	1.5349653959274292	0.58128905	No	
row_40	TRUB1	1553	1.4074712991714478	0.57526267	No	
row_41	NOP10	1573	1.3965778350830078	0.5813158	No	
row_42	RPUSD2	1599	1.3742631673812866	0.5866648	No	
row_43	DUS3L	1613	1.3645975589752197	0.59311557	No	
row_44	MRM1	2019	1.0616743564605713	0.5600841	No	
row_45	OSGEPL1	2124	0.9953184127807617	0.55568165	No	
row_46	ALKBH8	2177	0.9703547358512878	0.5561489	No	
row_47	TFB1M	2247	0.9265493750572205	0.5547308	No	
row_48	WDR6	2253	0.924330472946167	0.55946696	No	
row_49	METTL8	2274	0.9103381633758545	0.5626789	No	
row_50	METTL4	2289	0.900791585445404	0.566415	No	
row_51	PUS10	2490	0.8070850372314453	0.5516996	No	
row_52	FTSJ1	2527	0.7876542210578918	0.5526772	No	
row_53	RBM15	2534	0.7850517630577087	0.55653083	No	
row_54	HNRNPAB	2647	0.7390851974487305	0.549911	No	
row_55	CBLL1	2666	0.7327156662940979	0.5523129	No	
row_56	RPUSD1	2687	0.722740888595581	0.5544658	No	
row_57	CMTR2	2719	0.708085298538208	0.55547595	No	
row_58	JMJD6	2723	0.7067117094993591	0.5591764	No	
row_59	HSD17B10	2769	0.6855514645576477	0.5587104	No	
row_60	TRMT13	2776	0.6826492547988892	0.5619859	No	
row_61	MTO1	2816	0.6636104583740234	0.56197417	No	
row_62	TRMT44	2833	0.6571670174598694	0.5641423	No	
row_63	THUMPD3	2927	0.6187943816184998	0.5586742	No	
row_64	ADAT2	2960	0.6091679334640503	0.55902964	No	
row_65	FDXACB1	3045	0.5804686546325684	0.55421245	No	
row_66	MTFMT	3057	0.5769469141960144	0.5564095	No	
row_67	METTL14	3104	0.559180498123169	0.5551337	No	
row_68	ADARB1	3156	0.5400908589363098	0.55326843	No	
row_69	APOBEC2	3171	0.5358638763427734	0.55494446	No	
row_70	ELP4	3187	0.5290684103965759	0.5564858	No	
row_71	METTL6	3208	0.5214971303939819	0.55750257	No	
row_72	PARN	3209	0.5214523673057556	0.56044626	No	
row_73	TRMT112	3210	0.5211318731307983	0.56338817	No	
row_74	PUS3	3276	0.4982883036136627	0.55993783	No	
row_75	CDKAL1	3277	0.4976304769515991	0.56274706	No	
row_76	TRUB2	3367	0.4700615406036377	0.5568248	No	
row_77	TYW1	3375	0.468146950006485	0.55879307	No	
row_78	TYW5	3447	0.4458756446838379	0.55446875	No	
row_79	EMG1	3521	0.4217608571052551	0.54981554	No	
row_80	NSUN4	3534	0.41932061314582825	0.5510264	No	
row_81	LCMT2	3603	0.39784738421440125	0.54672	No	
row_82	TRMT1L	3619	0.391577810049057	0.5474852	No	
row_83	ALKBH1	3628	0.38843613862991333	0.5489071	No	
row_84	TPRKB	3647	0.3837950527667999	0.5493393	No	
row_85	TRMT10B	3648	0.3835357129573822	0.5515044	No	
row_86	PUS7L	3649	0.38323721289634705	0.55366784	No	
row_87	CMTR1	3747	0.35829636454582214	0.5463438	No	
row_88	LARP7	3760	0.35394009947776794	0.5471856	No	
row_89	ZCCHC4	3773	0.350791871547699	0.5480096	No	
row_90	TRMU	3783	0.3462536931037903	0.549097	No	
row_91	KTI12	3818	0.3379180133342743	0.5477285	No	
row_92	ZC3H13	3831	0.3349965810775757	0.5484633	No	
row_93	TFB2M	4147	0.2526855170726776	0.5195371	No	
row_94	METTL3	4170	0.2477288842201233	0.5188157	No	
row_95	DTWD1	4250	0.22608385980129242	0.5124797	No	
row_96	CTU1	4304	0.21708768606185913	0.50859827	No	
row_97	TRMT61B	4419	0.1874253749847412	0.49867153	No	
row_98	WTAP	4478	0.17484086751937866	0.4940698	No	
row_99	OSGEP	4589	0.14563685655593872	0.4842926	No	
row_100	RPUSD4	4631	0.13912370800971985	0.48112732	No	
row_101	TRMT2B	4743	0.11547058820724487	0.47108346	No	
row_102	ALKBH3	4925	0.08515367656946182	0.45412344	No	
row_103	MEPCE	4957	0.07811824977397919	0.45157734	No	
row_104	AARS2	5075	0.056082870811223984	0.4406201	No	
row_105	RNMT	5328	0.014369888231158257	0.4164191	No	
row_106	TRIT1	5331	0.0139982420951128	0.4163054	No	
row_107	TRMT12	5340	0.011854113079607487	0.41560143	No	
row_108	ALKBH5	5462	-0.00985126756131649	0.40399778	No	
row_109	FTO	5702	-0.047031037509441376	0.38123378	No	
row_110	NSUN6	5856	-0.07215705513954163	0.36689842	No	
row_111	DNAJB11	6102	-0.11552237719297409	0.3439429	No	
row_112	MOCS3	6164	-0.12614452838897705	0.3387772	No	
row_113	TSR3	6276	-0.1492062360048294	0.3289238	No	
row_114	DUS2	6476	-0.19492176175117493	0.310849	No	
row_115	CDK5RAP1	6524	-0.20533797144889832	0.30747935	No	
row_116	GTPBP3	6735	-0.2580142319202423	0.2887008	No	
row_117	METTL15	6794	-0.2717399597167969	0.28464606	No	
row_118	BCDIN3D	6929	-0.3089165687561035	0.27347803	No	
row_119	DALRD3	7048	-0.3414260149002075	0.26403522	No	
row_120	URM1	7079	-0.34950360655784607	0.26311752	No	
row_121	ANKRD16	7154	-0.3734855353832245	0.25809544	No	
row_122	NSUN3	7346	-0.4343094527721405	0.24214289	No	
row_123	TRDMT1	7638	-0.5475849509239197	0.21719402	No	
row_124	THADA	7936	-0.669925332069397	0.19235764	No	
row_125	RPUSD3	7967	-0.6806291937828064	0.1933092	No	
row_126	THUMPD2	8605	-1.0309782028198242	0.13774943	No	
row_127	APOBEC1	9371	-1.69459068775177	0.07360209	No	
row_128	NUDT16	9406	-1.7344744205474854	0.08011737	No	
row_129	PCIF1	9635	-2.092867374420166	0.06996245	No	
row_130	ADAR	9837	-2.490891695022583	0.064656116	No	
