NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QBP	32	5.812370300292969	0.012701619	Yes	
row_1	MAGOHB	121	4.447060585021973	0.016176008	Yes	
row_2	NCL	155	4.245023250579834	0.024506018	Yes	
row_3	PRMT7	189	3.9930367469787598	0.032148995	Yes	
row_4	SNRPD3	196	3.9591190814971924	0.04235358	Yes	
row_5	PRMT5	218	3.825890064239502	0.050720435	Yes	
row_6	RRP1B	220	3.8092150688171387	0.06100781	Yes	
row_7	METTL16	221	3.7860822677612305	0.07133041	Yes	
row_8	SYNCRIP	264	3.5561676025390625	0.07689759	Yes	
row_9	MPHOSPH10	269	3.5360121726989746	0.08614519	Yes	
row_10	SRSF6	296	3.436363697052002	0.09295852	Yes	
row_11	ZRANB2	302	3.4091804027557373	0.10176202	Yes	
row_12	PRPF19	361	3.2075374126434326	0.10480588	Yes	
row_13	PRPF31	375	3.1682252883911133	0.112166025	Yes	
row_14	PRMT1	387	3.128174066543579	0.11961358	Yes	
row_15	GEMIN6	390	3.106204032897949	0.12788592	Yes	
row_16	NCBP2	394	3.093069553375244	0.13602416	Yes	
row_17	SRSF7	432	2.9767565727233887	0.1405031	Yes	
row_18	TXNL4A	436	2.9675939083099365	0.14829922	Yes	
row_19	CLNS1A	453	2.9335432052612305	0.15472463	Yes	
row_20	LSM2	473	2.9005680084228516	0.16076522	Yes	
row_21	U2AF2	492	2.847628116607666	0.16675977	Yes	
row_22	GEMIN4	504	2.829960823059082	0.17339426	Yes	
row_23	TRA2A	534	2.7841200828552246	0.17813437	Yes	
row_24	LSM3	539	2.776625871658325	0.18531154	Yes	
row_25	LSM7	555	2.735093832015991	0.19129416	Yes	
row_26	TSEN2	576	2.6739089488983154	0.19661848	Yes	
row_27	LUC7L	614	2.5817081928253174	0.20002034	Yes	
row_28	STRAP	620	2.560087203979492	0.20650882	Yes	
row_29	RBM8A	623	2.5522077083587646	0.21327071	Yes	
row_30	RNPS1	632	2.5350122451782227	0.21939594	Yes	
row_31	LUC7L3	696	2.4307961463928223	0.21983054	Yes	
row_32	PRPF39	708	2.4110889434814453	0.22532298	Yes	
row_33	GEMIN5	712	2.3950796127319336	0.23155817	Yes	
row_34	MAGOH	717	2.381319761276245	0.23765755	Yes	
row_35	HNRNPC	732	2.3542542457580566	0.24270014	Yes	
row_36	PPIE	736	2.3520004749298096	0.24881788	Yes	
row_37	SMNDC1	755	2.3210842609405518	0.25337684	Yes	
row_38	HSPA8	818	2.2368874549865723	0.25338107	Yes	
row_39	RTCB	831	2.2194719314575195	0.25825277	Yes	
row_40	SNRPD1	861	2.183228015899658	0.26135457	Yes	
row_41	DDX1	870	2.1693758964538574	0.2664829	Yes	
row_42	SNRPA1	878	2.158540725708008	0.27167997	Yes	
row_43	RBMXL1	879	2.158264636993408	0.2775644	Yes	
row_44	TRA2B	904	2.119415283203125	0.28098372	Yes	
row_45	SREK1	909	2.115712881088257	0.28635892	Yes	
row_46	HNRNPA3	910	2.115518093109131	0.2921268	Yes	
row_47	SRSF10	931	2.084455728530884	0.29584402	Yes	
row_48	PHF5A	940	2.072814464569092	0.30070907	Yes	
row_49	DHX15	955	2.062919855117798	0.30495733	Yes	
row_50	TARDBP	959	2.04406476020813	0.3102355	Yes	
