NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QBP	32	5.812370300292969	0.017110966	Yes	
row_1	MAGOHB	121	4.447060585021973	0.024013711	Yes	
row_2	NCL	155	4.245023250579834	0.035572354	Yes	
row_3	PRMT7	189	3.9930367469787598	0.046254005	Yes	
row_4	SNRPD3	196	3.9591190814971924	0.059448417	Yes	
row_5	PRMT5	218	3.825890064239502	0.07071759	Yes	
row_6	METTL16	221	3.7860822677612305	0.083699524	Yes	
row_7	SYNCRIP	264	3.5561676025390625	0.091983795	Yes	
row_8	MPHOSPH10	269	3.5360121726989746	0.10390053	Yes	
row_9	SRSF6	296	3.436363697052002	0.11332683	Yes	
row_10	PRPF19	361	3.2075374126434326	0.118254125	Yes	
row_11	PRPF31	375	3.1682252883911133	0.12801391	Yes	
row_12	GEMIN6	390	3.106204032897949	0.1374604	Yes	
row_13	NCBP2	394	3.093069553375244	0.14793299	Yes	
row_14	SRSF7	432	2.9767565727233887	0.1546879	Yes	
row_15	TXNL4A	436	2.9675939083099365	0.16472378	Yes	
row_16	CLNS1A	453	2.9335432052612305	0.17337449	Yes	
row_17	LSM2	473	2.9005680084228516	0.18161811	Yes	
row_18	U2AF2	492	2.847628116607666	0.18977492	Yes	
row_19	GEMIN4	504	2.829960823059082	0.1985523	Yes	
row_20	TRA2A	534	2.7841200828552246	0.20541628	Yes	
row_21	LSM3	539	2.776625871658325	0.21469009	Yes	
row_22	LSM7	555	2.735093832015991	0.22274756	Yes	
row_23	LUC7L	614	2.5817081928253174	0.22608139	Yes	
row_24	STRAP	620	2.560087203979492	0.23450415	Yes	
row_25	RBM8A	623	2.5522077083587646	0.2431918	Yes	
row_26	RNPS1	632	2.5350122451782227	0.25123498	Yes	
row_27	LUC7L3	696	2.4307961463928223	0.2535564	Yes	
row_28	PRPF39	708	2.4110889434814453	0.26087597	Yes	
row_29	GEMIN5	712	2.3950796127319336	0.26891932	Yes	
row_30	MAGOH	717	2.381319761276245	0.27681735	Yes	
row_31	HNRNPC	732	2.3542542457580566	0.2836468	Yes	
row_32	PPIE	736	2.3520004749298096	0.29154024	Yes	
row_33	SMNDC1	755	2.3210842609405518	0.2978645	Yes	
row_34	HSPA8	818	2.2368874549865723	0.29960847	Yes	
row_35	SNRPD1	861	2.183228015899658	0.30311444	Yes	
row_36	DDX1	870	2.1693758964538574	0.30988508	Yes	
row_37	SNRPA1	878	2.158540725708008	0.31671548	Yes	
row_38	RBMXL1	879	2.158264636993408	0.32422695	Yes	
