NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT5	25	5.968021392822266	0.04240501	No	
row_1	CPTP	685	2.444523334503174	-0.0025465777	No	
row_2	HACD2	749	2.3296611309051514	0.008892115	No	
row_3	HTRA2	1189	1.7420440912246704	-0.020200003	No	
row_4	DEGS1	1498	1.4562771320343018	-0.03885354	No	
row_5	B4GALNT1	1663	1.326572299003601	-0.04464802	No	
row_6	ELOVL1	1727	1.2809417247772217	-0.041082874	No	
row_7	ST6GALNAC4	1941	1.1202764511108398	-0.05313319	No	
row_8	CLN8	1951	1.1134779453277588	-0.045638002	No	
row_9	PEMT	2112	1.0035417079925537	-0.053473476	No	
row_10	PLA2G15	2283	0.9032157063484192	-0.063022785	No	
row_11	TECR	2288	0.9008651375770569	-0.056643546	No	
row_12	B4GALT4	2393	0.8555641770362854	-0.060210556	No	
row_13	ACER2	2410	0.8477718234062195	-0.05538266	No	
row_14	VAPA	2453	0.830234169960022	-0.053184036	No	
row_15	SMPD4	2656	0.736843466758728	-0.0670564	No	
row_16	PRKCD	2954	0.6123350262641907	-0.09098939	No	
row_17	TEX2	3005	0.5940384268760681	-0.091332555	No	
row_18	ST8SIA6	3115	0.557076632976532	-0.09762085	No	
row_19	ORMDL2	3220	0.5185922384262085	-0.103717774	No	
row_20	SAMD8	3301	0.49152302742004395	-0.10771245	No	
row_21	ST3GAL2	3365	0.4701990783214569	-0.11023417	No	
row_22	CERS6	3738	0.3598279058933258	-0.14326754	No	
row_23	ST8SIA4	3749	0.35781702399253845	-0.14154175	No	
row_24	PPP2R1A	3751	0.3572237193584442	-0.13895585	No	
row_25	PLA2G6	3926	0.3105132579803467	-0.15333928	No	
row_26	ST6GALNAC6	3982	0.29416608810424805	-0.15641414	No	
row_27	KDSR	4059	0.27298393845558167	-0.1616653	No	
row_28	SMPDL3B	4161	0.24962390959262848	-0.16949339	No	
row_29	ORMDL1	4383	0.19734683632850647	-0.18924135	No	
row_30	AGK	4495	0.17007488012313843	-0.1986273	No	
row_31	BAX	4605	0.1435282975435257	-0.2080204	No	
row_32	PPP2CA	4827	0.10092534869909286	-0.22849227	No	
row_33	CLN6	4896	0.08882563561201096	-0.23435757	No	
row_34	NEU1	5090	0.053341738879680634	-0.25249696	No	
row_35	ENPP2	5116	0.04842906817793846	-0.2545349	No	
row_36	TM9SF2	5267	0.024660812690854073	-0.26875898	No	
row_37	OSBP	5316	0.016174962744116783	-0.2732485	No	
row_38	ST3GAL3	5495	-0.01415267214179039	-0.29024118	No	
row_39	ACER3	5541	-0.0216397512704134	-0.29440147	No	
row_40	HACD1	5677	-0.042846594005823135	-0.30704808	No	
row_41	CERS5	6084	-0.11210277676582336	-0.34520742	No	
row_42	GBA2	6219	-0.1381181925535202	-0.3570427	No	
row_43	CERS2	6318	-0.15887491405010223	-0.3652639	No	
row_44	B4GALT3	6377	-0.1716833859682083	-0.36954653	No	
row_45	HACD3	6387	-0.174296572804451	-0.3691025	No	
row_46	GLB1	6613	-0.22682933509349823	-0.38901335	No	
row_47	PRKAA1	6841	-0.2848960757255554	-0.40868038	No	
row_48	GLA	6905	-0.3026571571826935	-0.41245997	No	
row_49	SIRT3	7059	-0.3442806899547577	-0.4245726	No	
row_50	ARV1	7082	-0.3505149483680725	-0.42405435	No	
row_51	SGPP1	7383	-0.4454014003276825	-0.4495288	No	
row_52	SPHK2	7477	-0.48169708251953125	-0.45484605	No	
row_53	ST3GAL5	7604	-0.5296158790588379	-0.46297356	No	
row_54	SPTSSA	7680	-0.5633776187896729	-0.46594846	No	
row_55	ZPBP2	7704	-0.5723975896835327	-0.46386045	No	
row_56	NEU3	7872	-0.6414663791656494	-0.47508675	No	
row_57	SMPD2	7895	-0.6504124402999878	-0.47231695	No	
row_58	ELOVL5	8290	-0.8355614542961121	-0.50389194	No	
row_59	ASAH1	8430	-0.9334969520568848	-0.510236	No	
row_60	SGPP2	8524	-0.98348468542099	-0.511786	Yes	
row_61	CERK	8588	-1.020688772201538	-0.51017475	Yes	
row_62	NSMAF	8596	-1.0262882709503174	-0.50314206	Yes	
row_63	ORMDL3	8606	-1.0311745405197144	-0.49626476	Yes	
row_64	PRKD3	8611	-1.0329911708831787	-0.48889354	Yes	
row_65	ST6GALNAC3	8653	-1.061570167541504	-0.48486203	Yes	
row_66	SUMF1	8684	-1.0789008140563965	-0.47964373	Yes	
row_67	CSNK1G2	8746	-1.1146749258041382	-0.47713476	Yes	
row_68	UGCG	8791	-1.137513518333435	-0.47282127	Yes	
row_69	SERINC3	8808	-1.152504324913025	-0.4657055	Yes	
row_70	SPTLC2	9113	-1.4231488704681396	-0.4842235	Yes	
row_71	NAAA	9125	-1.4345204830169678	-0.47451016	Yes	
row_72	NAGA	9253	-1.572555422782898	-0.47490358	Yes	
row_73	CERKL	9397	-1.7268517017364502	-0.47567555	Yes	
row_74	DEGS2	9409	-1.7394890785217285	-0.46367255	Yes	
row_75	PPT1	9469	-1.8287098407745361	-0.45561063	Yes	
row_76	SMPDL3A	9599	-2.035938262939453	-0.45271719	Yes	
