NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNB1	1985	1.0906826257705688	-0.15517423	No	
row_1	TMEM230	2216	0.9464200735092163	-0.1474419	No	
row_2	BLOC1S2	3366	0.4700653553009033	-0.24231961	No	
row_3	SYNJ1	3618	0.39204299449920654	-0.25397304	No	
row_4	AP3S2	3996	0.29004165530204773	-0.28084528	No	
row_5	BLOC1S5	5144	0.044072624295949936	-0.38888907	No	
row_6	BLOC1S6	5386	0.003355523105710745	-0.41177568	No	
row_7	DTNBP1	5508	-0.01624082587659359	-0.42281005	No	
row_8	TOR1A	5799	-0.06416302919387817	-0.4484647	No	
row_9	AP3M1	5837	-0.07013211399316788	-0.4497956	No	
row_10	BLOC1S4	6065	-0.10874344408512115	-0.46804214	No	
row_11	SNAPIN	6465	-0.19215638935565948	-0.5000824	No	
row_12	KIF5B	6842	-0.2849843502044678	-0.52701783	No	
row_13	SPG11	6937	-0.3109368681907654	-0.52623624	No	
row_14	BLOC1S3	7661	-0.5544203519821167	-0.57782793	No	
row_15	PICALM	7760	-0.5947849750518799	-0.568528	No	
row_16	AP3M2	8820	-1.1657040119171143	-0.633008	No	
row_17	CDK5	9458	-1.8109147548675537	-0.6369982	Yes	
row_18	BLOC1S1	9507	-1.884562611579895	-0.5824876	Yes	
row_19	RAB3A	9736	-2.2969284057617188	-0.53221965	Yes	
row_20	AP3S1	9771	-2.3667616844177246	-0.46125415	Yes	
row_21	AP3B1	9791	-2.407599687576294	-0.3875772	Yes	
row_22	RAB27A	9799	-2.4284584522247314	-0.31210142	Yes	
row_23	PINK1	9865	-2.55189847946167	-0.23828852	Yes	
row_24	DNM2	9942	-2.750030279159546	-0.15931265	Yes	
row_25	AP3D1	10038	-3.020979404449463	-0.07365389	Yes	
row_26	KIF5C	10218	-3.776057481765747	0.027666379	Yes	
