NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.11081746	Yes	
row_1	CCT4	103	4.571254730224609	0.18696688	Yes	
row_2	DKC1	112	4.5052490234375	0.26895824	Yes	
row_3	CCT3	166	4.142268180847168	0.3399924	Yes	
row_4	CCT6A	207	3.906320571899414	0.4079319	Yes	
row_5	CCT5	233	3.7453911304473877	0.47434533	Yes	
row_6	CCT8	276	3.504429817199707	0.5347121	Yes	
row_7	RUVBL2	278	3.501028060913086	0.5989249	Yes	
row_8	RUVBL1	329	3.3010473251342773	0.6547932	Yes	
row_9	NAF1	365	3.2023470401763916	0.7102785	Yes	
row_10	TCP1	425	3.0090830326080322	0.75992596	Yes	
row_11	CCT7	472	2.9042680263519287	0.8088874	Yes	
row_12	SHQ1	1135	1.7969648838043213	0.778787	Yes	
row_13	CCT2	1144	1.7901852130889893	0.8109071	Yes	
row_14	DCP2	1572	1.3967416286468506	0.7958575	Yes	
row_15	NOP10	1573	1.3965778350830078	0.8215103	Yes	
row_16	EXOSC10	2297	0.8960273265838623	0.76904607	No	
row_17	PARN	3209	0.5214523673057556	0.6917797	No	
row_18	WRAP53	4318	0.2139841765165329	0.5900858	No	
