NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	0	8.165655136108398	0.044853408	No	
row_1	RARA	589	2.6405277252197266	0.0029060396	No	
row_2	RIPK2	699	2.424180746078491	0.0057572345	No	
row_3	MAPKAPK2	728	2.3559515476226807	0.016010148	No	
row_4	PTPN11	740	2.347698926925659	0.027849838	No	
row_5	MIF	887	2.1453709602355957	0.025617322	No	
row_6	IFNG	953	2.0643882751464844	0.030716471	No	
row_7	TNFRSF8	1053	1.898692011833191	0.031641252	No	
row_8	CD274	1230	1.7002699375152588	0.024083642	No	
row_9	PTPN6	1261	1.6649576425552368	0.03034896	No	
row_10	TREX1	1334	1.596392273902893	0.032205395	No	
row_11	CYBB	1577	1.3926640748977661	0.016621722	No	
row_12	TIRAP	1989	1.0881935358047485	-0.016859429	No	
row_13	MAVS	2038	1.0496695041656494	-0.015701957	No	
row_14	AKAP8	2111	1.0040037631988525	-0.017099474	No	
row_15	FOXP1	2116	0.9991675615310669	-0.011995137	No	
row_16	DICER1	2147	0.9860876202583313	-0.009458806	No	
row_17	CYBA	2238	0.9301607012748718	-0.012990048	No	
row_18	AGER	2378	0.8617449402809143	-0.021601394	No	
row_19	PARK7	2387	0.8584687113761902	-0.017653931	No	
row_20	HDAC2	2473	0.8165193200111389	-0.021329366	No	
row_21	TRIM27	2484	0.8104355335235596	-0.01783776	No	
row_22	IFIH1	2524	0.7891051769256592	-0.017247494	No	
row_23	DHX9	2745	0.694375216960907	-0.03455469	No	
row_24	HAVCR2	2799	0.6732461452484131	-0.03594492	No	
row_25	TICAM1	2946	0.6141510009765625	-0.046588324	No	
row_26	CACTIN	3001	0.5948958396911621	-0.048504934	No	
row_27	UBE2J1	3677	0.37380799651145935	-0.11125578	No	
row_28	NFKBIL1	3945	0.30486100912094116	-0.13521484	No	
row_29	LGALS9	4226	0.23353880643844604	-0.16081375	No	
row_30	HMGB1	4238	0.22844776511192322	-0.16061497	No	
row_31	GSTP1	4712	0.12232507020235062	-0.20535395	No	
row_32	TLR2	4818	0.10330452769994736	-0.21486714	No	
row_33	FADD	4973	0.07463923841714859	-0.2292421	No	
row_34	LTF	5762	-0.058698948472738266	-0.30457252	No	
row_35	PIK3R1	5826	-0.06818898022174835	-0.31024635	No	
row_36	ARHGEF2	7056	-0.34325966238975525	-0.42635238	No	
row_37	TYROBP	7088	-0.3535420596599579	-0.4273866	No	
row_38	APP	7231	-0.3921118378639221	-0.43886563	No	
row_39	PSEN1	7286	-0.41038358211517334	-0.44179574	No	
row_40	AXL	7343	-0.43378695845603943	-0.44478932	No	
row_41	ZC3H12A	7450	-0.4687708914279938	-0.45239106	No	
row_42	SPHK2	7477	-0.48169708251953125	-0.45224127	No	
row_43	TNFAIP3	7505	-0.4935843050479889	-0.4521222	No	
row_44	RIPK1	7623	-0.5394817590713501	-0.4603916	No	
row_45	CX3CR1	7713	-0.5747388601303101	-0.46577916	No	
row_46	GPNMB	7826	-0.6220098733901978	-0.47311518	No	
row_47	LBP	8003	-0.6945131421089172	-0.48619735	No	
row_48	DDT	8006	-0.6950480937957764	-0.4825715	No	
row_49	POMC	8034	-0.706733763217926	-0.48128164	No	
row_50	SLAMF1	8097	-0.7358255386352539	-0.48319218	No	
row_51	IL4	8102	-0.7383607029914856	-0.4795204	No	
row_52	GPR18	8187	-0.7805295586585999	-0.48329756	No	
row_53	FOXP3	8461	-0.9473974108695984	-0.5043032	No	
row_54	PYCARD	8567	-1.0102697610855103	-0.50883454	No	
row_55	ARFGEF2	8741	-1.1130977869033813	-0.5193294	No	
row_56	CCR2	8756	-1.1208134889602661	-0.51451695	No	
row_57	ZBTB20	8935	-1.261258602142334	-0.52467805	Yes	
row_58	LY96	8954	-1.2768023014068604	-0.5193927	Yes	
row_59	C1QTNF4	8973	-1.2939646244049072	-0.51401323	Yes	
row_60	ERRFI1	9075	-1.384848713874817	-0.5161029	Yes	
row_61	ADAM8	9188	-1.51054847240448	-0.51855826	Yes	
row_62	RASGRP1	9220	-1.5449825525283813	-0.513048	Yes	
row_63	MYD88	9262	-1.582313060760498	-0.5082927	Yes	
row_64	BCL10	9474	-1.8390239477157593	-0.51844835	Yes	
row_65	STAT3	9593	-2.02829647064209	-0.5186358	Yes	
row_66	CD47	9735	-2.2922310829162598	-0.51958156	Yes	
row_67	IL27RA	9745	-2.3184783458709717	-0.5077104	Yes	
row_68	IFNGR1	9928	-2.7109415531158447	-0.5102925	Yes	
row_69	OAS3	9950	-2.777846336364746	-0.49705008	Yes	
row_70	NOD1	9955	-2.787872791290283	-0.48212048	Yes	
row_71	TMEM106A	9978	-2.865811586380005	-0.46849093	Yes	
row_72	ARRB2	9982	-2.871328115463257	-0.45300692	Yes	
row_73	SETD4	10024	-2.959303617477417	-0.44068792	Yes	
row_74	FRMD8	10063	-3.1187262535095215	-0.42720518	Yes	
row_75	PTPRC	10093	-3.2255778312683105	-0.41227147	Yes	
row_76	BCL3	10100	-3.2551443576812744	-0.39496723	Yes	
row_77	NLRC3	10106	-3.273564577102661	-0.37746578	Yes	
row_78	JAK2	10109	-3.28725528717041	-0.3596011	Yes	
row_79	CD2	10111	-3.3026833534240723	-0.34155568	Yes	
row_80	PTPN22	10168	-3.514885902404785	-0.327625	Yes	
row_81	SPN	10202	-3.6835410594940186	-0.31055975	Yes	
row_82	OAS2	10226	-3.812650442123413	-0.29182526	Yes	
row_83	CD84	10230	-3.858182430267334	-0.27092054	Yes	
row_84	ZFP36	10300	-4.298184394836426	-0.2539353	Yes	
row_85	TLR1	10301	-4.299626350402832	-0.23031776	Yes	
row_86	DDX58	10390	-5.030605792999268	-0.21113351	Yes	
row_87	SASH3	10401	-5.204038619995117	-0.18350813	Yes	
row_88	ARID5A	10432	-5.543564796447754	-0.15593788	Yes	
row_89	TSPO	10433	-5.552476406097412	-0.12543848	Yes	
row_90	AKAP12	10481	-6.917952537536621	-0.091950916	Yes	
row_91	ACP5	10498	-7.7050580978393555	-0.05116364	Yes	
row_92	SYT11	10508	-9.471718788146973	-1.6702688E-7	Yes	
