NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DVL1	1121	1.813934087753296	-0.086648	No	
row_1	DOC2A	1433	1.5088932514190674	-0.09906972	No	
row_2	ATP2A2	1847	1.1852773427963257	-0.12502055	No	
row_3	CTNNB1	1985	1.0906826257705688	-0.1255715	No	
row_4	CANX	1998	1.0800354480743408	-0.11424699	No	
row_5	P2RY1	2239	0.9300537109375	-0.12654023	No	
row_6	ADORA2A	2270	0.9115440249443054	-0.11888987	No	
row_7	BTBD9	2358	0.8687053918838501	-0.11720568	No	
row_8	ACTG1	2441	0.8354474306106567	-0.115425736	No	
row_9	PREPL	2525	0.7884347438812256	-0.114284866	No	
row_10	STXBP5	2674	0.7302696108818054	-0.12005511	No	
row_11	VPS35	2978	0.6026925444602966	-0.1421772	No	
row_12	PLAA	3191	0.5277828574180603	-0.15642974	No	
row_13	SLC18A2	3526	0.42082804441452026	-0.1836283	No	
row_14	SYNJ1	3618	0.39204299449920654	-0.18783438	No	
row_15	PPP3CB	3782	0.3463842570781708	-0.19947901	No	
row_16	GIT1	3793	0.3436580300331116	-0.19646902	No	
row_17	BSN	3917	0.3128594756126404	-0.20466141	No	
row_18	GRIPAP1	4431	0.18559642136096954	-0.25175914	No	
row_19	RAP1A	4601	0.14422018826007843	-0.26631504	No	
row_20	RAP1B	4788	0.10722283273935318	-0.28293017	No	
row_21	PRRT2	4903	0.08805921673774719	-0.2928555	No	
row_22	SCRIB	4951	0.0790446326136589	-0.29645383	No	
row_23	BACE1	5101	0.05139455571770668	-0.31016228	No	
row_24	STX3	5204	0.03431958705186844	-0.3195566	No	
row_25	ITSN1	5237	0.029907366260886192	-0.3222827	No	
row_26	RAB5A	5263	0.025527067482471466	-0.32438752	No	
row_27	STX2	5334	0.013249198906123638	-0.3309536	No	
row_28	PIP5K1C	5360	0.0070199319161474705	-0.3332722	No	
row_29	BLOC1S6	5386	0.003355523105710745	-0.33563313	No	
row_30	AP2M1	5441	-0.0066333310678601265	-0.34073985	No	
row_31	FMR1	5497	-0.014834550209343433	-0.34584782	No	
row_32	DTNBP1	5508	-0.01624082587659359	-0.34662005	No	
row_33	FCHO2	5569	-0.02659989707171917	-0.35207206	No	
row_34	TOR1A	5799	-0.06416302919387817	-0.37331203	No	
row_35	CDK5R1	5834	-0.07007595151662827	-0.37576613	No	
row_36	ITGB3	5874	-0.07494158297777176	-0.37864393	No	
row_37	NAPA	6036	-0.10365142673254013	-0.3929006	No	
row_38	ACTB	6060	-0.10759586840867996	-0.39386538	No	
row_39	SYN3	6148	-0.12385354936122894	-0.40078557	No	
row_40	CLSTN1	6230	-0.14072662591934204	-0.40693495	No	
row_41	CLCN3	6272	-0.1485242247581482	-0.4091547	No	
row_42	RAPGEF4	6424	-0.18399743735790253	-0.42152333	No	
row_43	FBXL20	6431	-0.18465019762516022	-0.41996622	No	
row_44	SNAPIN	6465	-0.19215638935565948	-0.42091405	No	
row_45	SNAP29	6473	-0.19474375247955322	-0.41933635	No	
row_46	CYFIP1	6505	-0.19995877146720886	-0.42000207	No	
row_47	DNAJC5	6628	-0.23079165816307068	-0.4290465	No	
row_48	SNAP23	6654	-0.23635999858379364	-0.42871583	No	
row_49	RAB3GAP1	6696	-0.2486579418182373	-0.42977887	No	
row_50	PSEN1	7286	-0.41038358211517334	-0.48157495	No	
row_51	GSK3B	7422	-0.45999279618263245	-0.48921955	No	
row_52	UNC13A	7732	-0.5825380086898804	-0.51215035	Yes	
row_53	PICALM	7760	-0.5947849750518799	-0.5078712	Yes	
row_54	PFN2	7767	-0.5990476012229919	-0.501527	Yes	
row_55	ARF6	7790	-0.6080159544944763	-0.49661508	Yes	
row_56	ROCK1	7964	-0.6789587140083313	-0.50537777	Yes	
row_57	ITSN2	8002	-0.6931973099708557	-0.5009216	Yes	
row_58	GRIK5	8043	-0.7116596102714539	-0.49654016	Yes	
row_59	NUMB	8141	-0.7588955163955688	-0.49708435	Yes	
row_60	GIPC1	8262	-0.8237731456756592	-0.4990868	Yes	
row_61	SNAP47	8295	-0.8372704386711121	-0.49248642	Yes	
row_62	PACSIN1	8388	-0.9042534828186035	-0.49087152	Yes	
row_63	PPP3CC	8401	-0.9138202667236328	-0.48146707	Yes	
row_64	GAK	8490	-0.9598431587219238	-0.47882608	Yes	
row_65	CALM3	8575	-1.0138546228408813	-0.47517717	Yes	
row_66	SH3GL1	8676	-1.0733742713928223	-0.47237653	Yes	
row_67	DGKQ	8714	-1.0972967147827148	-0.4632523	Yes	
row_68	VAMP4	8739	-1.1112556457519531	-0.452719	Yes	
row_69	RAB8A	8858	-1.2071657180786133	-0.4501006	Yes	
row_70	VPS18	8983	-1.3073146343231201	-0.4469012	Yes	
row_71	VAMP2	9010	-1.325218915939331	-0.4340882	Yes	
row_72	DNAJC6	9052	-1.353574275970459	-0.42238748	Yes	
row_73	PLD2	9059	-1.3612033128738403	-0.40723902	Yes	
row_74	SV2A	9254	-1.5729453563690186	-0.40769026	Yes	
row_75	STXBP1	9268	-1.5854383707046509	-0.39062342	Yes	
row_76	CDK5	9458	-1.8109147548675537	-0.38784575	Yes	
row_77	PTEN	9580	-2.0087554454803467	-0.37625548	Yes	
row_78	STX11	9630	-2.0887913703918457	-0.35682955	Yes	
row_79	ARC	9667	-2.161738634109497	-0.3353131	Yes	
row_80	RAB3A	9736	-2.2969284057617188	-0.3153066	Yes	
row_81	AP3B1	9791	-2.407599687576294	-0.2926778	Yes	
row_82	STX1A	9804	-2.4380271434783936	-0.265666	Yes	
row_83	DNM2	9942	-2.750030279159546	-0.24704848	Yes	
row_84	AP3D1	10038	-3.020979404449463	-0.22126952	Yes	
row_85	PRKCB	10053	-3.0783300399780273	-0.18705305	Yes	
row_86	BIN1	10108	-3.280125379562378	-0.15434499	Yes	
row_87	SYNJ2	10132	-3.3824567794799805	-0.11747919	Yes	
row_88	SYP	10235	-3.894205093383789	-0.08228481	Yes	
row_89	SLC4A8	10268	-4.123136043548584	-0.03772671	Yes	
row_90	P2RX7	10411	-5.2517828941345215	0.009310653	Yes	
