NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	33	5.807124614715576	0.049895287	No	
row_1	HSP90AA1	459	2.9273252487182617	0.03598781	No	
row_2	HSPA8	818	2.2368874549865723	0.022181168	No	
row_3	GUSB	841	2.205779790878296	0.040228073	No	
row_4	PLBD2	1057	1.8913260698318481	0.036942184	No	
row_5	GAA	2245	0.9269484877586365	-0.068123765	No	
row_6	CHID1	2291	0.9002305865287781	-0.06420376	No	
row_7	ATP13A2	2657	0.7366399168968201	-0.09238563	No	
row_8	ACP2	3347	0.47652357816696167	-0.15393376	No	
row_9	TXNDC5	3836	0.3339799642562866	-0.1975589	No	
row_10	GNS	3869	0.32467129826545715	-0.19765355	No	
row_11	NEU1	5090	0.053341738879680634	-0.3138568	No	
row_12	PPT2	5209	0.03284616395831108	-0.32484323	No	
row_13	AGRN	5412	-0.002568803960457444	-0.34414065	No	
row_14	IDS	5639	-0.03701993450522423	-0.3654189	No	
row_15	GLB1	6613	-0.22682933509349823	-0.4564122	No	
row_16	GLA	6905	-0.3026571571826935	-0.4814808	No	
row_17	IFI30	7041	-0.33922114968299866	-0.4912943	No	
row_18	IDUA	7130	-0.3662990629673004	-0.49636495	No	
row_19	NAGLU	7294	-0.41613292694091797	-0.5081539	No	
row_20	GPC1	7446	-0.4667128622531891	-0.5183331	No	
row_21	CTSB	7463	-0.4762096107006073	-0.515513	No	
row_22	CTSS	7522	-0.5006044507026672	-0.51648724	No	
row_23	GPC2	8331	-0.8577359914779663	-0.5859349	No	
row_24	ASAH1	8430	-0.9334969520568848	-0.5867803	No	
row_25	GALNS	8607	-1.031328558921814	-0.59419256	No	
row_26	CTSL	8862	-1.2084280252456665	-0.6074474	Yes	
row_27	FUCA1	8913	-1.2387428283691406	-0.6009131	Yes	
row_28	MAN2B1	9031	-1.3376926183700562	-0.5998833	Yes	
row_29	NAAA	9125	-1.4345204830169678	-0.5956733	Yes	
row_30	MAN2B2	9223	-1.5474690198898315	-0.5908141	Yes	
row_31	MANBA	9344	-1.6665211915969849	-0.5870671	Yes	
row_32	LAMP2	9417	-1.7494860887527466	-0.57797116	Yes	
row_33	PPT1	9469	-1.8287098407745361	-0.56614286	Yes	
row_34	CTSD	9600	-2.0382370948791504	-0.5599565	Yes	
row_35	EPDR1	9653	-2.1265289783477783	-0.5455031	Yes	
row_36	NSG2	9699	-2.218636989593506	-0.5295386	Yes	
row_37	NPC2	9786	-2.395517587661743	-0.5158798	Yes	
row_38	ARSA	9840	-2.4936609268188477	-0.498168	Yes	
row_39	HEXA	9917	-2.6674158573150635	-0.48106876	Yes	
row_40	GBA	9961	-2.8001248836517334	-0.45960075	Yes	
row_41	PLD3	10005	-2.914839029312134	-0.43708476	Yes	
row_42	TPP1	10023	-2.9560225009918213	-0.41170567	Yes	
row_43	ARSB	10072	-3.1719448566436768	-0.38731912	Yes	
row_44	SMPD1	10090	-3.2183468341827393	-0.35954353	Yes	
row_45	PSAP	10113	-3.3156168460845947	-0.3313576	Yes	
row_46	TCN2	10163	-3.487506866455078	-0.3041838	Yes	
row_47	SCARB2	10324	-4.46625280380249	-0.2786855	Yes	
row_48	GM2A	10347	-4.626353740692139	-0.23852517	Yes	
row_49	LIPA	10405	-5.233608722686768	-0.19616486	Yes	
row_50	HEXB	10412	-5.256989002227783	-0.1487129	Yes	
row_51	SGSH	10421	-5.342502593994141	-0.10067103	Yes	
row_52	CTSA	10444	-5.748120307922363	-0.050262652	Yes	
row_53	LGMN	10459	-6.161427021026611	0.0046867183	Yes	
